报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),258433,164660,88072,318591,228915,139609,62395,250681,177531,117316,55077,246941,184722,118360,60088,250430,186531,124519,60046,236221,228859,236521,,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,192552,
利息收入(万元),368341,242623,118203,468284,347152,224279,110928,435305,319897,207372,100466,416650,304511,205049,102268,433334,319466,218237,106030,425718,412311,415183,297446,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),7047,4073,2491,9418,5633,3610,2224,7659,5740,4020,2066,6612,5467,3751,2148,6661,5048,3281,2353,6555,7354,5432,4861,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),1230,828,382,1893,1366,875,436,1589,1200,781,495,1729,1701,880,480,1802,1351,916,465,1718,1784,1838,1799,
营业总成本(万元),185705,125121,74928,249539,189680,105988,46126,162419,133001,85115,37634,165535,129092,79942,43173,161695,124956,82057,37456,150175,110128,114259,,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,82742,
利息支出(万元),185314,120820,57321,234115,177820,121895,60843,225328,165907,107962,52065,190475,140598,93779,46416,196280,149738,101448,51168,200446,194647,188505,113410,
手续费及佣金支出(万元),1949,1281,572,2936,1825,1152,585,2330,1514,982,479,1650,1051,688,309,1276,856,552,247,993,943,904,741,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),819,550,282,958,802,512,254,570,397,263,129,542,392,263,131,1164,1266,1065,129,1531,306,326,323,
营业税金及附加(万元),2063,1440,860,2513,1888,1431,767,2336,1542,1208,636,4832,4060,3732,2637,12259,8558,5952,2673,11255,11327,11969,8595,
销售费用(万元),73024,47873,24382,102038,69113,45385,23572,95979,64239,43050,22486,88788,61650,39375,19978,79115,55395,35889,15164,84934,70532,58432,43244,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,144029,117877,58659,21532,63534,66823,40594,14383,71373,62991,36573,20426,69157,59736,39151,19490,52456,27964,43533,30581,
公允价值变动收益(万元),5349,12315,13334,1295,1157,974,183,67,231,-1536,-494,-2910,-1411,-1463,-519,1579,335,-163,,,,,,
投资收益(万元),61999,26133,11564,71711,50831,31797,10162,33091,17754,15642,4889,14624,14826,3823,2389,2903,9725,3753,2364,2419,1963,2049,1416,
对联营企业和合营企业的投资收益(万元),,,,5833,,,,2503,,1390,,2464,,1367,644,2099,,1200,602,2052,1946,1685,1135,
汇兑收益(万元),1585,720,-8,2510,2223,1097,-142,152,129,-19,197,2361,1277,787,47,1706,1200,495,249,1249,1036,1429,1181,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),72729,39539,13145,69052,39235,33621,16269,88262,44837,32356,17442,81406,55630,38419,16916,88735,61576,42463,22590,86046,118731,122262,109810,
营业外收入(万元),17,13,7,579,460,325,1,2353,2256,17,169,2211,2091,1981,1872,1608,1038,759,675,10360,4904,1520,2245,
营业外支出(万元),1599,839,10,9055,7408,7221,30,13407,320,187,165,287,260,137,106,389,291,178,84,553,568,419,274,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),71146,38712,13141,60576,32286,26725,16241,77208,46773,32186,17446,83330,57461,40263,18681,89954,62322,43044,23182,95853,123067,123363,111781,
所得税费用(万元),7276,-126,-6294,-17437,-14480,-5913,-2434,1406,-3295,-1874,-406,6591,5743,4127,974,8462,6832,3224,2629,10716,20351,22959,21797,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),63870,38838,19435,78012,46767,32638,18675,75802,50068,34059,17852,76739,51718,36136,17708,81493,55491,39820,20552,85136,102716,100405,89984,
归属于母公司所有者的净利润(万元),63675,40164,19386,85735,53988,36750,18302,80845,51230,35244,17473,77793,51023,36175,17679,81450,54578,38191,19884,81792,99972,98550,88444,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),195,-1326,48,-7723,-7222,-4112,373,-5043,-1162,-1184,379,-1053,695,-39,29,43,913,1630,669,3344,2744,1855,1540,
基本每股收益,0.32,0.21,0.11,0.49,0.31,0.21,0.1,0.46,0.29,0.2,0.1,0.48,0.32,0.23,0.11,0.52,0.35,0.25,0.13,0.53,0.64,0.79,0.78,
稀释每股收益,0.28,0.19,0.1,0.44,0.28,0.2,0.1,0.46,0.29,0.2,0.1,0.48,0.32,0.23,0.11,0.52,0.35,0.25,0.13,0.53,0.64,0.79,0.78,
