报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),76384,50529,25551,101790,74718,47713,21479,87800,64617,72390,68803,72858,
营业收入(万元),76384,50529,25551,101790,74718,47713,21479,87800,64617,72390,68803,72858,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),65635,43631,22317,89488,65750,42288,19938,78697,57402,65500,64319,69095,
营业成本(万元),54639,35979,17976,73454,54768,35163,16090,63521,46506,54242,52740,55205,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),3915,2446,1165,4309,3125,1899,882,3886,2414,3091,2947,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),678,428,206,848,565,362,157,720,483,626,521,563,
销售费用(万元),3519,2423,1257,4711,3446,1899,941,3495,2860,2955,2704,2842,
管理费用(万元),4545,3013,1459,6690,4498,2721,1092,5113,3572,5045,5041,8602,
财务费用(万元),-1660,-657,129,-909,-964,-29,909,1722,1320,-701,-196,880,
资产减值损失(万元),,,125,386,312,273,-132,240,246,241,563,1003,
公允价值变动收益(万元),,-26,,,,,,,,,9,13,
投资收益(万元),-45,-25,9,33,16,6,4,3,0,11,33,-41,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),11980,7985,4479,12559,9103,5523,1591,9294,7396,7779,4526,3734,
营业外收入(万元),187,166,155,262,273,52,6,307,215,378,395,249,
营业外支出(万元),19,12,8,128,13,3,1,21,5,320,283,69,
非流动资产处置损失(万元),,,,,,,,,,,,65,
利润总额(万元),12147,8138,4626,12693,9363,5572,1595,9580,7606,7836,4637,3913,
所得税费用(万元),1649,1113,774,1723,1390,740,193,1202,996,1077,503,1137,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),10499,7025,3852,10970,7973,4832,1402,8378,6610,6759,4135,2776,
归属于母公司所有者的净利润(万元),10499,7025,3852,10970,7973,4832,1402,8378,6610,6759,4085,3184,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,0,50,-407,
基本每股收益,0.36,0.24,0.21,0.73,0.58,0.35,0.1,0.61,0.48,0.49,0.3,0.23,
稀释每股收益,0.36,0.24,0.21,0.73,0.58,0.35,0.1,0.61,0.48,0.49,0.3,0.23,
