报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,
营业总收入(万元),383533,163735,21815,535140,383593,174141,27893,712368,573039,228406,222190,131791,52553,6929,298746,203441,134431,7881,430186,228117,120819,3505,245080,81974,37342,188512,139244,
营业收入(万元),383533,163735,21815,535140,383593,174141,27893,712368,573039,228406,222190,131203,52225,6843,298746,202840,134146,5370,428809,226840,120325,3423,244415,81974,37342,188287,139176,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,589,328,87,,601,286,2511,1377,1277,495,82,666,,,225,68,
营业总成本(万元),370772,160452,26133,511505,362332,166672,32021,680524,546936,213682,216181,128812,50461,8235,290720,199722,132190,8349,422684,222850,118699,3623,239317,80426,36449,183288,136383,
营业成本(万元),353140,149160,21161,480076,337153,151638,25349,642853,517660,195385,184976,109979,42527,4922,265180,179773,120279,5081,384549,203448,110757,1659,217539,71531,31280,168675,127952,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),593,485,49,931,194,194,17,621,,721,881,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,517,259,116,,403,277,120,1844,2237,283,121,774,,,82,35,
营业税金及附加(万元),822,404,149,1090,628,408,129,1604,1037,1036,6359,3463,1437,48,9117,5424,3897,140,13987,6100,1910,108,8340,2752,1260,6321,4588,
销售费用(万元),943,653,389,1378,910,596,410,1264,827,696,550,629,349,105,635,642,378,92,469,509,135,64,,,,,13,
