报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),113004,71285,32064,155379,118573,78587,35072,126408,56513,84049,36683,67708,85560,44997,81155,60509,66018,
营业收入(万元),113004,71285,32064,155379,118573,78587,35072,126408,56513,84049,36683,67708,85560,44997,81155,60509,66018,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),104477,65794,29818,142183,108515,72573,32856,119169,53354,78373,33929,65498,81894,41940,77557,57999,61698,
营业成本(万元),92500,57669,25824,125594,95838,64039,28920,104483,46845,67260,29310,54339,68578,35346,65881,48598,53708,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),3650,2621,1101,4962,3686,2488,1209,4049,,2790,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),528,349,131,901,663,447,110,727,287,542,103,398,402,234,266,258,158,
销售费用(万元),3614,2225,1080,4484,3342,2150,847,4126,1788,3404,1113,2674,3247,1567,3245,2360,1785,
管理费用(万元),3464,2279,1025,4224,3105,1998,986,3530,3529,3313,2797,5421,6119,3056,5580,4655,4065,
财务费用(万元),721,652,590,2295,1881,1450,712,2274,891,835,470,2009,2884,1404,2270,1885,1891,
资产减值损失(万元),,,68,-278,,,72,-21,14,229,137,657,664,332,314,244,91,
公允价值变动收益(万元),4,4,4,-21,-17,-17,,17,,15,15,-15,,,,,,
投资收益(万元),60,-6,,5,3,3,3,7,,-17,-17,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),8597,5467,2307,13228,10308,6056,2219,7297,3160,5677,2752,2195,3665,3057,3598,2509,4320,
营业外收入(万元),358,55,19,497,435,67,8,84,69,263,173,582,156,89,210,105,96,
营业外支出(万元),18,15,15,116,61,58,19,78,51,58,8,44,20,12,20,15,28,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,
利润总额(万元),8938,5507,2312,13610,10682,6065,2208,7303,3178,5881,2917,2733,3802,3135,3789,2600,4388,
所得税费用(万元),389,14,365,2052,1595,912,360,1122,481,897,432,423,596,483,620,465,630,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),8549,5493,1947,11558,9087,5153,1848,6181,2697,4985,2484,2310,3206,2652,3169,2134,3758,
归属于母公司所有者的净利润(万元),8549,5493,1947,11558,9087,5153,1848,6181,2697,4985,2484,2310,3206,2652,3169,2134,3758,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,
基本每股收益,0.58,0.4,0.15,0.9,0.7,0.38,0.14,0.48,0.21,0.39,0.19,0.18,0.25,0.21,0.26,0.18,0.34,
稀释每股收益,0.58,0.4,,0.9,0.7,0.38,,0.48,0.21,0.39,0.19,0.18,0.25,0.21,0.26,0.18,0.34,
