报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),4313875,2652268,1287562,5082792,3705706,2301040,1091955,4563796,3351574,2141661,1001963,3302642,2008647,1308014,686491,2330377,1629472,959996,418846,2085312,1517907,972008,442054,1742933,414100,1771520,1597279,1242669,
营业收入(万元),4313875,2652268,1287562,5082792,3705706,2301040,1089967,4563796,3344587,2136827,997612,3302642,1997919,1301219,683638,2330377,1614052,951716,411457,2085312,1508853,963541,442054,1742933,,,1597279,,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,1988,,6987,4834,4351,,10728,6795,2853,,15420,8281,7389,,9054,8467,,,,,,,
营业总成本(万元),3185456,2024770,959097,3850604,2617767,1690824,775697,3536258,2372514,1536178,716622,2574967,1341914,887239,435820,1661223,1083953,658145,267678,1505757,1024678,669494,309674,1305348,,,1092737,,
营业成本(万元),2372748,1483082,715025,2850385,1960139,1259483,574609,2518504,1698026,1072525,490132,1808501,951997,619327,295753,1177941,753816,467148,198697,1046487,681934,434286,207055,898060,,,805998,,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),29782,22685,10251,101983,14045,17028,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,3059,,7253,4901,3539,,12921,9764,3304,,20713,13548,8680,,20493,9822,,,,,,,
营业税金及附加(万元),51705,34408,18279,63277,43310,27623,14311,62755,43774,27781,12643,43707,29474,18881,9844,38794,27020,17274,7679,30415,19715,12129,5989,25538,,,22082,,
销售费用(万元),5356,3174,1675,10212,6670,4480,2017,9109,5909,4032,1983,9970,147,95,42,238,114,78,41,405,204,155,96,411,200,400,112,100,
管理费用(万元),172571,119812,56745,236290,153687,96654,47133,305347,155429,115211,53852,291630,115224,79996,43283,176530,88261,56412,25147,160304,80433,56450,23856,116216,28300,97300,99607,67200,
财务费用(万元),553295,361610,161718,600087,440346,285802,134569,610681,462125,311912,152042,405531,232152,159177,83594,263368,191556,101212,27433,263618,217791,153515,70353,257333,54200,305000,156023,37200,
资产减值损失(万元),,,,10719,-405,,,29862,-2,-184,2431,15628,,,,4351,2472,2472,,4529,4109,3137,2325,7789,,,8916,,
公允价值变动收益(万元),-551,-287,-987,1608,2922,1062,-1952,20744,9671,7469,1343,12041,5038,5410,4563,1501,36,230,-1750,-35416,-29008,-15796,-10524,16341,,,-14089,,
投资收益(万元),102320,63974,43620,104456,71419,34203,19555,231214,222133,207771,189067,112772,86087,25387,13575,51689,48529,11074,15724,60263,30307,-8733,-6904,32598,-290,44695,25661,21742,
对联营企业和合营企业的投资收益(万元),86957,47187,29531,102951,72421,-158645,19571,60264,42615,25689,5070,129055,86303,25251,11408,69840,54890,18368,16028,46073,13898,-14652,-8502,31269,,,5537,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),1451387,837246,447037,1494577,1296012,751078,406037,1429339,1335985,918697,475751,852488,757858,451572,268810,722344,594083,313156,165142,604403,494528,277984,114952,486525,,,516115,,
营业外收入(万元),697,553,228,764,419,341,52,429,2957,4040,45394,139981,113354,50959,9714,141616,127672,86022,33908,164288,128333,90867,70226,134506,,,103367,,
营业外支出(万元),1661,837,155,5393,4036,2895,633,4306,1268,568,363,2177,894,655,92,1541,261,190,66,3022,768,603,331,2101,,,3175,,
非流动资产处置损失(万元),,,,,,,,,244,172,66,1565,784,646,85,1254,218,164,44,2767,481,331,331,1618,,,2478,,
利润总额(万元),1450424,836962,447111,1489948,1292395,748524,405455,1425462,1337674,922169,520782,990291,870319,501876,278432,862418,721494,398988,198984,765668,622092,368247,184847,618929,198300,599100,616307,651000,
所得税费用(万元),174061,94406,53221,121780,125186,76000,38441,145771,153261,111017,73044,73257,69680,40691,27910,100764,79888,51009,25625,89312,75166,53660,25270,102034,29800,84100,92007,129800,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),1276363,742556,393890,1368168,1167209,672524,367015,1279691,1184413,811151,447738,917034,800638,461184,250522,761654,641607,347978,173359,676357,546926,314587,159576,516895,,,524300,,
归属于母公司所有者的净利润(万元),829833,502258,251813,870263,745688,431734,248475,962544,880946,623757,338756,740490,649698,376634,193746,631067,542088,304387,149183,562805,457674,260391,137009,429210,168500,515000,457410,521200,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),446530,240297,142076,497904,421521,240790,118540,317146,303466,187395,108982,176544,150940,84550,56776,130587,99519,43592,24176,113552,89252,54196,22568,87685,,,66890,,
基本每股收益,0.18,0.11,0.06,0.19,0.16,0.1,0.06,0.21,0.19,0.14,0.07,0.16,0.14,0.08,0.04,0.14,0.12,0.07,0.03,0.17,,,,,,,,,
