报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),44243,26860,10590,69749,41678,24959,10480,60100,35052,20690,8399,45747,26926,16673,7215,35061,13469,37597,26801,15970,
营业收入(万元),44243,26860,10590,69749,41678,24959,10480,60100,35052,20690,8399,45747,26926,16673,7215,35061,13469,37597,26801,15970,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),43753,26911,12285,67753,41562,25200,10573,55490,31483,19306,8177,43783,25726,16376,7384,33888,13539,32835,23561,12907,
营业成本(万元),29887,17589,7664,44145,25635,15124,6225,37507,20337,11785,4666,27332,15275,9647,4220,20601,8249,21039,15281,8200,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,
研发费用(万元),4443,2982,1501,7562,5662,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),332,214,68,483,291,168,73,604,383,250,148,362,198,108,45,289,92,321,114,159,
销售费用(万元),5658,3863,1895,9755,6310,4102,1783,8263,5528,3756,1608,8495,5207,3238,1528,6153,2620,4744,3727,2177,
管理费用(万元),3238,2253,1155,4856,3448,5783,2791,9158,5750,3603,1469,6565,4643,3096,1434,5792,2518,5571,3824,1939,
财务费用(万元),195,10,-2,1,-83,-168,-149,-196,-136,69,107,570,408,293,157,515,243,630,308,14,
资产减值损失(万元),,,4,951,299,191,-149,154,-380,-156,179,458,-5,-5,,538,-182,528,307,418,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,
投资收益(万元),7,7,4,125,90,90,11,30,,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,
营业利润(万元),2351,1071,-708,5852,2913,1928,1085,8397,5433,2886,222,1965,1200,297,-170,1173,-69,4762,3239,3063,
营业外收入(万元),1,1,,0,0,,,0,287,238,864,3077,1855,1293,775,2554,1543,670,15,124,
营业外支出(万元),9,5,1,32,2,2,2,7,0,0,0,,,,,6,2,1,5,,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,5,2,,5,,
利润总额(万元),2343,1067,-709,5820,2911,1926,1084,8390,5720,3124,1085,5042,3054,1590,605,3722,1472,5430,3250,3187,
所得税费用(万元),263,108,-1,571,521,341,259,1204,992,555,207,670,534,285,98,492,236,666,453,479,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,
净利润(万元),2080,959,-708,5249,2390,1584,824,7186,4728,2569,878,4372,2521,1305,507,3230,1235,4764,2797,2708,
归属于母公司所有者的净利润(万元),2080,959,-708,5249,2390,1584,824,7186,4728,2569,878,4372,2521,1305,507,3230,1235,4764,2797,2708,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,
基本每股收益,0.1,0.05,-0.04,0.26,0.12,0.08,0.08,0.78,0.53,0.31,0.12,0.58,0.34,0.17,0.07,0.44,0.17,0.66,,,
稀释每股收益,0.1,0.05,-0.04,0.26,0.12,0.08,0.08,0.78,0.53,0.31,,0.58,0.34,0.17,,0.44,0.17,0.66,,,
