报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),107159,80915,34188,139035,83512,54677,9814,101176,52155,36675,9068,98059,51229,38122,9961,112144,61103,113909,97909,74871,54804,
营业收入(万元),107159,80915,34188,139035,83512,54677,9814,101176,52155,36675,9068,98059,51229,38122,9961,112144,61103,113909,97909,74871,54804,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),103793,78744,33722,132862,80813,52565,10255,96071,49994,34541,9577,91475,48645,35349,10105,105395,58832,107420,92072,69346,50963,
营业成本(万元),93490,71820,30657,116972,72101,46866,7758,82498,41694,29155,6977,78752,39818,29509,7441,92390,50532,94522,81344,61068,43816,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1883,1271,246,4298,1445,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),285,209,141,253,91,78,23,293,64,21,8,318,76,76,1,290,9,344,360,769,932,
销售费用(万元),2608,1737,882,4368,2713,1800,878,4253,2748,1741,993,3506,2478,1603,875,3395,2270,2863,2788,2225,1543,
管理费用(万元),4221,2870,1500,5245,3684,3249,1352,7791,4899,3381,1637,7607,5444,3598,1613,8213,5257,8231,6689,5146,4151,
财务费用(万元),1305,836,334,1465,1012,719,350,795,601,273,56,1022,793,474,173,1120,722,1288,839,537,419,
资产减值损失(万元),,,-39,261,-234,-146,-107,440,-13,-30,-96,270,36,90,1,-13,42,171,53,-400,102,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),860,303,-401,-223,-71,-14,-38,-167,66,10,,,,,,2,2,,-2,1,0,
对联营企业和合营企业的投资收益(万元),860,303,-401,-223,-71,-14,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),4560,2723,79,6098,2739,2168,-456,5066,2295,2159,-509,6584,2584,2773,-144,6751,2272,6489,5835,5526,3842,
营业外收入(万元),5,1,0,38,5,4,0,28,1,0,21,400,242,212,162,453,370,77,143,105,139,
营业外支出(万元),2,2,0,39,1,1,0,4,0,0,0,0,0,0,0,1,0,25,1,4,10,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,1,,11,,,,
利润总额(万元),4563,2722,79,6097,2742,2171,-456,5089,2296,2159,-488,6984,2827,2985,18,7203,2641,6541,5977,5627,3971,
所得税费用(万元),589,387,86,978,467,357,-12,796,387,344,-51,1033,448,458,3,1107,412,1141,1000,882,685,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
净利润(万元),3974,2335,-7,5119,2275,1814,-445,4293,1909,1815,-437,5951,2379,2527,15,6096,2230,5401,4977,4745,3286,
归属于母公司所有者的净利润(万元),3974,2335,-7,5119,2275,1814,-445,4293,1909,1815,-437,5951,2379,2527,15,6096,2230,5401,4977,4745,3286,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,
基本每股收益,0.22,0.13,-0,0.28,0.13,0.1,-0.04,0.36,0.16,0.15,-0.04,0.61,0.26,0.28,0,0.68,0.25,0.6,0.55,0.54,,
稀释每股收益,0.22,0.13,-0,0.28,0.13,0.1,-0.04,0.36,0.16,0.15,-0.04,0.61,0.26,0.28,0,0.68,0.25,0.6,0.55,0.54,,
