报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),56969,37476,19271,81086,59102,36655,16192,53454,38499,24386,11100,43988,31179,19520,31881,14518,33609,33010,33571,
营业收入(万元),56969,37476,19271,81086,59102,36655,16192,53454,38499,24386,11100,43988,31179,19520,31881,14518,33609,33010,33571,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,0,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,0,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),55057,36241,19020,76058,55146,34603,15445,48026,34892,22196,10301,40033,28631,17940,29017,12905,27904,29631,31048,
营业成本(万元),41869,27710,14592,57897,42176,26474,11999,38284,27738,17687,7981,30358,21540,13282,20931,9379,21408,22196,23604,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),2204,1402,720,3330,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,0,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,0,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),322,213,143,511,361,258,94,353,254,154,66,270,201,71,235,101,266,209,193,
销售费用(万元),4440,2769,1405,5726,4044,2509,1115,3447,2541,1630,829,2928,2186,1429,2268,1041,2183,2138,2431,
管理费用(万元),4483,3126,1740,5923,6782,4265,1887,5528,4135,2570,1311,5656,4215,2820,5049,2153,3571,4795,3687,
财务费用(万元),1738,1020,380,1943,1411,805,271,256,142,116,67,448,292,182,385,161,231,202,473,
资产减值损失(万元),,,130,727,372,292,79,159,82,39,47,373,198,155,149,71,244,91,660,
公允价值变动收益(万元),-1,,,,,,,,,,,,,,,,,,,
投资收益(万元),92,54,-22,-77,-50,-22,-6,33,18,15,10,41,32,24,90,51,151,139,25,
对联营企业和合营企业的投资收益(万元),74,,,,-80,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),2920,2042,735,6792,4902,2658,1024,6121,4142,2573,808,3996,2580,1604,2954,1664,5855,3518,2549,
营业外收入(万元),0,0,,3,152,171,135,67,54,22,215,1245,947,594,1690,969,1101,923,554,
营业外支出(万元),5,5,6,35,18,18,16,7,3,0,,66,57,57,39,0,67,61,109,
非流动资产处置损失(万元),,,,,,,,,,,,3,1,1,34,0,63,6,18,
利润总额(万元),2915,2037,729,6760,5036,2812,1144,6181,4193,2595,1023,5174,3469,2140,4605,2633,6889,4380,2994,
所得税费用(万元),380,293,62,1083,692,370,177,819,632,358,139,767,508,384,699,444,1013,911,704,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),2535,1744,667,5677,4344,2441,966,5362,3561,2237,884,4407,2961,1757,3906,2189,5876,3468,2290,
归属于母公司所有者的净利润(万元),2080,1444,579,5022,3943,2391,929,3618,2306,1431,648,3390,2241,1380,2841,1564,4042,2274,1335,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),454,300,89,655,401,50,38,1744,1255,806,235,1018,720,377,1064,625,1834,1194,955,
基本每股收益,0.14,0.1,0.04,0.34,0.26,0.16,0.11,0.46,0.26,0.16,0.1,0.51,0.34,0.21,0.43,0.24,,,,
稀释每股收益,0.14,0.1,0.04,0.34,0.26,0.16,0.11,0.46,0.26,0.16,0.1,0.51,0.34,0.21,0.43,0.24,,,,
