报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),19983,13645,26461,13972,20813,7647,14104,9005,6250,
营业收入(万元),19983,13645,26461,13972,20813,7647,14104,9005,6250,
利息收入(万元),,,,,,,,,,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),,,,,,,,,,
营业总成本(万元),15365,9972,19613,11148,15369,5980,10987,8358,5732,
营业成本(万元),9521,5997,12410,6321,9442,3503,6665,3683,2763,
利息支出(万元),,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),2745,1919,2880,2217,,,,,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,,
营业税金及附加(万元),243,186,359,244,190,73,191,178,120,
销售费用(万元),1349,926,1660,1060,1339,626,917,808,716,
管理费用(万元),1671,1081,2150,1335,4164,1680,3062,3565,2037,
财务费用(万元),-164,-137,153,-29,-16,-6,19,54,52,
资产减值损失(万元),,,,,250,105,134,69,44,
公允价值变动收益(万元),,,,,,,,,,
投资收益(万元),32,21,99,86,142,79,78,8,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,
汇兑收益(万元),,,,,,,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),5856,4663,8921,4196,7136,2317,3195,656,519,
营业外收入(万元),6,,0,0,5,228,890,1339,801,
营业外支出(万元),13,,4,3,5,0,10,0,2,
非流动资产处置损失(万元),,,,,,0,,,2,
利润总额(万元),5849,4663,8917,4193,7136,2544,4075,1994,1318,
所得税费用(万元),625,516,558,555,934,326,454,185,115,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),5224,4147,8360,3639,6202,2219,3621,1809,1203,
归属于母公司所有者的净利润(万元),5224,4147,8360,3639,6202,2219,3621,1809,1203,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),,,,,,,,,,
基本每股收益,1.46,1.2,2.42,1.06,1.8,0.64,1.21,0.82,0.6,
稀释每股收益,1.46,1.2,2.42,1.06,1.8,0.64,1.21,0.82,0.6,
