报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),37675,23597,50558,32918,19280,39823,37090,36596,
营业收入(万元),37675,23597,50558,32918,19280,39823,37090,36596,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),33241,21071,46057,30585,18279,37931,34348,33831,
营业成本(万元),21036,13235,28854,19557,11453,22994,21095,21437,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),3010,1897,4933,3065,,,,,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),253,165,364,241,149,353,243,358,
销售费用(万元),4961,3287,6730,4347,2922,5741,5532,5421,
管理费用(万元),3998,2497,5150,3383,3930,8485,7182,6428,
财务费用(万元),-17,-11,24,-9,1,3,-142,-161,
资产减值损失(万元),,,,,-176,356,438,348,
公允价值变动收益(万元),,,,,,,,,
投资收益(万元),,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),5637,3227,7030,3804,1874,4607,2742,2765,
营业外收入(万元),303,126,313,158,66,266,2345,2786,
营业外支出(万元),57,27,150,91,77,86,81,80,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),5882,3326,7194,3871,1863,4787,5006,5471,
所得税费用(万元),708,379,769,370,164,541,567,726,
未确认投资损失(万元),,,,,,,,,
净利润(万元),5174,2947,6425,3501,1699,4246,4439,4745,
归属于母公司所有者的净利润(万元),5178,2951,6423,3507,1701,4245,4440,4749,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),-4,-4,2,-7,-2,0,-1,-4,
基本每股收益,0.28,0.16,0.35,0.19,0.09,0.23,,,
稀释每股收益,0.28,0.16,0.35,0.19,0.09,0.23,,,
