报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),88420,54378,124471,89656,54279,111753,50235,89685,90142,44955,90941,62486,55374,
营业收入(万元),88420,54378,124471,89656,54279,111753,50235,89685,90142,44955,90941,62486,55374,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),73471,45147,102656,73620,45777,100302,46976,81821,84231,39627,83079,58129,50332,
营业成本(万元),61216,36988,83563,59984,36765,82273,38774,68255,66836,33599,70116,48578,42450,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),3314,2199,4797,3723,2181,4339,,,,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),465,284,1082,748,487,734,309,504,268,82,160,212,191,
销售费用(万元),5743,3668,8125,5961,3544,8762,4210,6593,6735,3032,5324,4320,3283,
管理费用(万元),3442,2363,5037,3353,2704,3481,3419,6827,11017,3157,5650,4461,4090,
财务费用(万元),-551,-124,-242,-288,87,755,291,-479,-748,-222,27,422,350,
资产减值损失(万元),,,295,139,7,-43,-27,120,123,-23,1802,137,-31,
公允价值变动收益(万元),,,,,,,,,-0,-0,-2,3,,
投资收益(万元),165,162,246,74,74,5,5,35,25,9,61,84,8,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),16037,9765,22231,16251,8692,11816,3264,7900,5936,5337,7921,4443,5050,
营业外收入(万元),2,1,1,1,0,2,236,281,460,213,142,246,28,
营业外支出(万元),39,26,31,31,26,74,73,135,118,72,77,117,57,
非流动资产处置损失(万元),,,,,,,57,67,1,,,,,
利润总额(万元),15999,9740,22200,16221,8666,11744,3427,8045,6278,5479,7986,4571,5021,
所得税费用(万元),2404,1394,3588,2518,1309,1879,515,1358,1707,870,1261,814,835,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),13595,8346,18612,13702,7357,9866,2912,6687,4571,4609,6725,3757,4185,
归属于母公司所有者的净利润(万元),13595,8346,18612,13702,7357,9866,2912,6687,4571,4609,6725,3757,4185,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,
基本每股收益,1.51,0.93,2.07,1.52,0.82,1.1,0.32,0.74,0.55,0.61,,,,
稀释每股收益,1.51,0.93,2.07,1.52,0.82,1.1,0.32,0.74,0.55,0.61,,,,
