报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),34578,24383,43152,17155,29411,22814,18143,
营业收入(万元),34578,24383,43152,17155,29411,22814,18143,
利息收入(万元),,,,,,,,
已赚保费(万元),,,,,,,,
手续费及佣金收入(万元),,,,,,,,
房地产销售收入(万元),,,,,,,,
其他业务收入(万元),,,,,,,,
营业总成本(万元),27496,19144,35149,14383,25024,20299,14967,
营业成本(万元),18811,13591,23075,9485,16127,13676,10031,
利息支出(万元),,,,,,,,
手续费及佣金支出(万元),,,,,,,,
房地产销售成本(万元),,,,,,,,
研发费用(万元),2358,1498,2880,1172,1903,1424,1009,
退保金(万元),,,,,,,,
赔付支出净额(万元),,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,
保单红利支出(万元),,,,,,,,
分保费用(万元),,,,,,,,
其他业务成本(万元),,,,,,,,
营业税金及附加(万元),331,182,349,164,224,169,58,
销售费用(万元),3589,2252,4442,1909,3688,2727,2159,
管理费用(万元),2545,1697,3754,1410,2750,1741,1457,
财务费用(万元),-138,-76,-38,-16,12,30,35,
资产减值损失(万元),,,687,259,318,533,219,
公允价值变动收益(万元),,,,,,,,
投资收益(万元),,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,
汇兑收益(万元),,,,,,,,
期货损益(万元),,,,,,,,
托管收益(万元),,,,,,,,
补贴收入(万元),,,,,,,,
其他业务利润(万元),,,,,,,,
营业利润(万元),8355,5739,8853,3310,5744,2515,3175,
营业外收入(万元),7,7,1,1,134,109,72,
营业外支出(万元),0,0,3,2,26,15,18,
非流动资产处置损失(万元),,,,1,1,3,3,
利润总额(万元),8362,5745,8851,3310,5851,2609,3229,
所得税费用(万元),1130,729,1179,515,924,377,440,
未确认投资损失(万元),,,,,,,,
净利润(万元),7232,5017,7672,2794,4927,2232,2789,
归属于母公司所有者的净利润(万元),7204,5053,7333,2731,4866,2212,2789,
被合并方在合并前实现净利润(万元),,,,,,,,
少数股东损益(万元),28,-36,339,63,62,20,,
基本每股收益,1.24,0.87,1.26,0.47,0.86,0.49,,
稀释每股收益,1.24,0.87,1.26,0.47,0.86,0.49,,
