报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2013-06-30,2012-12-31,
营业总收入(万元),1604701,1045963,529438,1705426,1275100,831900,418070,1412152,1020784,658267,325418,1373284,1072025,680298,343993,1240394,946082,628795,1102712,977529,475406,978789,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,
利息收入(万元),2856009,1871116,937248,3654799,2719902,1805104,913704,3131440,2274831,1450970,690445,2467674,1833233,1228967,630499,2524384,1900850,1249259,2044414,1720157,1186100,1595902,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),147970,90632,35305,136330,103452,65959,33484,176275,125379,80154,43831,229732,172527,101281,44522,145968,110097,83996,166589,124968,,103435,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),505,218,200,814,553,298,233,745,551,299,234,709,561,292,276,1039,784,583,1515,613,92,586,
营业总成本(万元),1013602,634395,325470,1124694,802608,502175,248284,913515,598975,364819,171982,901259,670771,393071,193356,790666,560827,354861,670887,502840,,533149,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,
利息支出(万元),1722280,1147836,567204,2255562,1654155,1112008,563270,1904709,1355808,859853,402750,1297994,949667,625191,326198,1420642,1061723,700123,1114857,804389,,711716,
手续费及佣金支出(万元),17850,9780,4679,18021,14690,10362,4959,14587,8872,6079,3523,23402,14905,10863,4150,27034,14136,10287,33756,16931,,12744,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),710,404,7,442,482,12,6,335,327,302,340,2935,2390,2188,1236,1099,373,,889,1,,,
营业税金及附加(万元),11987,7770,3960,13122,8987,5948,3245,12350,9509,6756,2891,35328,31718,28469,21599,88158,67182,42525,84652,77852,,75822,
销售费用(万元),419999,263016,128217,510127,360073,232629,105088,448226,320499,199801,73826,415141,307555,192213,70280,391148,287584,181778,340713,322542,138176,318717,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,601002,433066,263586,139946,452604,268640,157961,94926,447855,329108,170201,100241,310261,205689,130558,244634,102445,,138610,
公允价值变动收益(万元),-21726,2101,-8278,425323,552836,344415,-119611,-326843,-230069,-150014,-51799,67757,9675,9864,-15823,16075,8692,-11488,16796,-14508,-27813,-9108,
投资收益(万元),346577,229213,127822,255370,193700,132492,69187,82497,27604,13843,1284,19562,44467,-3816,5563,23994,21749,17578,16212,-34742,-17289,7890,
对联营企业和合营企业的投资收益(万元),5450,4168,1530,5334,4105,2759,1500,6466,7080,3247,3000,10874,8409,5575,1843,11223,8163,6440,10865,10643,,9588,
汇兑收益(万元),14882,9931,8991,-496810,-628433,-395921,88966,265524,187168,128949,47696,-90753,-23867,-20235,9305,-23390,-20231,-723,5800,2361,1796,4545,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),591099,411569,203968,580732,472491,329725,169786,498637,421809,293448,153435,472025,401253,287228,150637,449728,385255,273934,431825,474689,,445639,
营业外收入(万元),2580,1586,586,3140,2038,1113,489,3930,2792,2140,621,5571,3072,1013,477,9186,1888,1188,3588,5806,,3506,
营业外支出(万元),1146,751,454,4686,1609,865,205,2165,1322,1008,569,5068,2894,2985,851,5580,2446,1817,6185,3324,,1688,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),592532,412403,204100,579186,472921,329973,170069,500402,423278,294580,153487,472528,401432,285256,150262,453334,384697,273306,429228,477171,256845,447457,
所得税费用(万元),61925,49523,22587,37978,31679,28135,17861,45366,56704,41468,22469,73851,69167,53929,28671,82813,71236,52755,78093,97285,,91675,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),530607,362881,181513,541208,441242,301838,152209,455037,366574,253112,131018,398677,332265,231327,121591,370521,313461,220551,351135,379886,202434,355782,
归属于母公司所有者的净利润(万元),530607,362881,181513,541208,441242,301838,152209,455037,366574,253112,131018,402093,335681,234665,121588,370448,313287,220411,350639,378836,202434,355182,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,-3416,-3416,-3339,3,73,174,141,496,1050,,600,
基本每股收益,1.03,0.71,0.35,0.95,0.86,0.59,0.42,1.24,1,0.69,0.5,1.68,1.42,1,0.52,1.64,1.4,1.01,1.75,1.89,,2.13,
稀释每股收益,1.03,0.71,0.35,0.95,0.86,0.59,0.42,1.24,1,0.69,0.5,1.68,1.42,1,0.52,1.64,1.4,1.01,1.75,1.89,,2.13,
