报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),831846,658668,439547,1196874,808563,634286,428012,999201,642551,484883,306867,707095,434145,322959,439506,210914,430166,239820,520555,255170,468139,221796,372551,185283,318708,163903,224875,152107,101959,
营业收入(万元),831846,658668,438281,1196874,803812,634286,427015,999201,636370,482583,305794,707095,429778,322959,439506,210914,422421,236818,514943,253213,468139,220563,372551,184637,318708,163903,224875,152107,101959,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,1266,,4751,,997,,6181,2300,1073,,4367,,,,7746,3001,5612,1957,,1232,,647,,,,,,
营业总成本(万元),713727,534060,352238,1011069,671057,501074,336289,860398,538939,391433,230851,613703,365062,254255,376569,170886,416428,204059,459964,219577,390548,168481,307734,145843,267558,124448,188722,126183,87489,
营业成本(万元),610744,468733,321959,863769,573667,439791,305543,711556,437332,322604,202756,475233,289820,205500,294257,133791,310288,165459,385354,185756,320180,140367,246373,120900,225698,107118,158072,109098,76796,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1787,735,,1034,,3,,801,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,779,,2466,,348,,4771,1683,701,,2673,,,,21639,1691,363,800,,219,,160,,,,,,
营业税金及附加(万元),2466,1848,1078,3881,2723,2074,1222,2748,1970,1318,871,2199,1660,1256,1561,730,,836,,1051,2048,,2630,1310,1897,726,600,384,66,
销售费用(万元),90,36,6,56,20,12,2,47,29,6,1,48,38,10,37,3,30,34,39,11,106,31,51,10,66,56,36,41,111,
管理费用(万元),31250,17868,7454,55428,29296,17618,8378,46871,23413,13815,6886,42319,19219,13442,29193,11060,27244,10318,25544,10817,23145,9329,18928,7684,14783,5963,10188,6508,4987,
财务费用(万元),67389,44841,22339,86900,63741,41577,21248,78101,57215,38908,19714,78332,52544,34010,51530,25313,57227,25721,48664,21142,41692,18536,34467,15781,25114,10584,19827,10152,5529,
资产减值损失(万元),,,-1376,,-855,,-451,2864,14209,13097,-78,15572,-893,37,-9,-11,,,,,3378,,5285,,-0,,,,,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),15428,11649,8136,22234,14623,13291,9552,29507,19246,14050,9630,21478,8132,7741,9165,6014,6298,6098,6870,1711,5069,2219,10239,6221,7663,5067,5077,201,,
对联营企业和合营企业的投资收益(万元),14187,10410,8123,21498,13956,,9735,28987,19208,14043,9605,,2738,7759,,2663,,5664,,1462,3918,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),145274,142726,96299,213488,159511,151008,102174,172014,125741,109890,86822,120688,81374,76445,72102,46042,70965,41859,109255,37304,82660,55533,75056,45662,58812,44523,41230,26125,14469,
营业外收入(万元),295,152,61,5012,350,170,59,3758,2925,2921,9,1171,869,4109,3174,1388,,735,,125,715,,5427,6964,11283,5303,7772,4851,1799,
营业外支出(万元),132,73,32,180,33,7,6,1456,437,201,193,1473,309,72,898,50,,71,,60,145,,140,48,16,11,262,149,153,
非流动资产处置损失(万元),,,24,,17,,0,,81,7,7,,73,4,807,36,,2,,0,53,,122,32,,,,,,
利润总额(万元),145437,142805,96327,218320,159829,151170,102227,174316,128230,112609,86638,120386,81934,80482,74378,47380,20037,42523,67461,37369,83230,55533,80344,52578,70078,49815,48740,30826,16116,
所得税费用(万元),24385,23138,15700,35339,26636,24241,16241,16799,14524,12469,10029,9915,10113,9549,9671,6221,1142,6943,17628,10002,15750,8370,741,3592,8180,5793,5818,1874,1007,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),121052,119666,80628,182981,133192,126930,85986,157516,113706,100141,76609,110472,71822,70933,64708,41159,18894,35580,49833,27367,67480,47163,79602,48985,61899,44022,42922,28953,15109,
归属于母公司所有者的净利润(万元),94176,94743,61961,141562,105079,100989,66904,126851,93939,83883,61930,93975,59314,60036,54146,34725,16835,27181,33505,19227,45952,32969,54970,36123,44889,34018,27835,16773,8672,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),26876,24923,18666,41419,28113,25940,19082,30666,19766,16258,14679,16497,12507,10897,10562,6434,2059,8398,16328,8140,21529,14194,24632,12862,17010,10004,15087,12180,6437,
基本每股收益,0.23,0.24,,0.38,,,,0.33,,,,0.25,,0.19,0.17,0.11,0.05,,0.09,,,0.1,,0.11,,0.11,0.13,0.08,0.04,
稀释每股收益,0.23,0.24,,0.38,,,,0.33,,,,0.25,,0.19,0.17,0.11,,,,,,,,0.11,,0.11,0.13,0.08,0.04,
