报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),974656,651958,319415,1305229,928996,594192,312575,1230074,907598,571816,282809,802737,526120,301256,162595,708064,583159,371814,170621,344920,266231,174602,84209,404290,179845,73337,321403,227675,133322,60036,358978,219955,281616,164094,162915,71217,7589,
营业收入(万元),974656,651958,319415,1305229,928996,594192,312575,1230074,907598,571816,282809,802737,526120,301256,162595,708064,583159,371814,170621,344920,266231,174602,84209,404290,179845,73337,321403,227675,133322,60036,358978,219955,281616,164094,162915,71217,7589,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
营业总成本(万元),649820,441288,199780,852838,626716,417132,206646,855495,641906,416924,203910,590183,392673,252301,135807,524906,441109,305432,145073,330928,220091,143712,68235,343485,141860,53907,260148,205116,122167,53422,247675,165686,231846,126381,154097,69051,7637,
营业成本(万元),540505,369406,174846,693114,513083,337987,168982,698386,530098,343235,166834,477807,315345,201967,104957,461383,362113,244452,117095,283084,183154,120962,56019,293909,113472,37401,203813,146842,83960,35756,197928,118826,189662,100659,139389,66952,7279,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
研发费用(万元),4576,488,325,1957,1282,879,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
营业税金及附加(万元),12398,8887,5074,25835,17484,12186,3886,21007,15971,11086,6394,11050,7159,3639,2063,3273,5897,2077,718,475,239,148,62,1639,746,302,2960,1981,1385,436,4097,3006,2427,183,690,872,8,
销售费用(万元),30753,19406,8813,40126,30237,21036,11658,46476,34171,22478,10674,30789,21894,14928,9185,17763,16146,13040,6312,6287,4415,2388,1741,16304,9376,5127,17155,12510,8277,3050,11257,7598,7491,5970,962,534,268,
管理费用(万元),34362,22190,8339,38600,24688,16924,8244,29130,20145,12796,4749,24048,18805,11232,7203,22602,17494,15243,7013,24235,16014,10724,4773,21711,9183,4959,21094,19000,12819,5799,21104,16959,15445,9137,8135,275,57,
财务费用(万元),27226,20912,9942,53179,39942,28119,13876,50946,41521,27328,15259,45381,29471,20535,12399,19859,39458,30619,13934,16261,16270,9490,5639,9565,9083,6118,15122,24783,15725,8381,13289,19298,16709,10432,4755,417,-10,
资产减值损失(万元),,,-7558,27,1,1,-0,8753,,,,1108,,,,26,,,,586,,,,357,,,3,,,,,,113,,166,0,36,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,,20820,,,8504,,,,1173,,-11,,,0,2093,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
营业利润(万元),332553,218314,118534,450411,303029,175535,106208,373983,266739,155243,78899,212056,133446,48955,26788,183157,142051,66383,25549,13992,46140,30890,15975,81625,37985,19430,69759,22559,11155,6614,112475,54269,49759,37713,8818,2166,2045,
营业外收入(万元),2061,932,449,1434,453,672,180,974,610,363,461,3398,1247,770,297,3484,2225,1751,1311,2991,1070,679,190,2514,610,294,7342,6382,270,105,1042,9765,7853,1518,697,2352,4300,
营业外支出(万元),6191,162,4,23514,25413,17624,9676,41575,25200,12710,12074,24246,1833,1230,266,17718,2774,13906,12071,3052,10137,2778,673,10092,2388,1034,10348,12696,2875,37,6833,11872,798,674,366,32,5,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,410,,,,435,,,,,,,,,,,,,,,,0,,
利润总额(万元),328424,219084,118979,428331,278070,158582,96711,333382,242150,142896,67286,191207,132861,48495,26820,168923,141502,54228,14789,13931,37073,28791,15492,74047,36207,18690,66753,16245,8550,6682,106685,52162,56814,38556,9149,4486,6340,
