报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,
营业总收入(万元),2097068,1351650,615033,3357211,2103927,1410897,622420,3606535,2237897,1387965,559979,2696629,1579860,878364,413459,2096218,1588981,951381,574814,2540577,1371067,893492,1818276,706324,1646597,689883,1219445,
营业收入(万元),2097068,1351650,615033,3357211,2103927,1410897,622420,3606535,2237897,1387965,559979,2696629,1579860,878364,409432,2096218,1574425,942331,571389,2534382,1350549,885024,1814475,705378,1628627,687577,1203055,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,4026,,14556,9050,3425,6195,20519,8468,3801,946,17971,2307,16389,
营业总成本(万元),2070892,1335789,603870,3301662,2053192,1369931,610440,3515646,2190836,1357519,554168,2612426,1529158,858920,401782,2030341,1554241,916093,563335,2432988,1318603,841175,1749014,662754,1510448,615139,1118705,
营业成本(万元),1907906,1229456,565277,3030357,1923864,1282187,575163,3268353,2051526,1260582,516266,2403756,1429144,789253,371466,1856951,1444726,841572,531719,2289905,1212087,783548,1606755,604900,1360271,560360,980101,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),29890,17318,4395,48300,13023,8116,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
