报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,
营业总收入(万元),332362,228426,119600,316800,234706,181414,93108,401153,312370,216308,98711,303812,346129,157206,471528,706478,453671,178677,201316,228482,133703,225914,156455,91121,141153,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入(万元),101400,67480,32693,135376,13452,70809,9086,117230,18844,56215,6457,28112,23224,20225,84994,104129,66843,29391,36102,49907,31987,49594,34860,21137,39398,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,34210,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),869,508,203,881,618,398,160,927,2138,1177,449,842,860,328,1510,252065,149525,71953,789,39662,19041,15858,5143,771,1391,
营业总成本(万元),213153,146674,78726,228263,161520,115360,52174,219913,166532,113196,51800,148895,182092,81237,222159,470745,288870,125091,109541,155181,92575,162943,104155,68864,123346,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出(万元),88000,59159,30113,122003,,57171,,90986,,43727,,,,,,,,,,,,,,,2826,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),134,90,45,182,137,91,45,180,134,89,45,220,131,53,224,236741,146986,70225,217,38608,18576,14423,2,1,213,
营业税金及附加(万元),1303,898,335,1736,1240,855,361,2001,1273,842,435,8145,9888,7203,29014,25839,16687,5779,11972,9042,5488,10277,6876,4051,5804,
销售费用(万元),209596,146448,78992,205489,161630,115207,52052,208223,159137,108012,51676,143825,,76111,185906,207028,121772,49368,99857,109033,71602,138067,97694,64998,117824,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,20855,-1486,-793,-283,9509,5988,4254,-355,-3294,-2374,-2129,7015,1136,3426,-281,-2506,-1502,-3091,175,-418,-186,-495,
公允价值变动收益(万元),53718,58641,54710,844,-17284,-14109,6996,-9501,6174,1852,-1014,-14085,3287,-6121,7376,6275,6161,3033,1515,1556,678,-1138,3576,2327,2733,
投资收益(万元),106116,62231,20105,148974,131811,110884,41894,203521,161449,123539,58608,116616,122081,56013,70248,54266,35485,6938,22620,23891,13421,17110,12551,4681,1986,
对联营企业和合营企业的投资收益(万元),43083,35262,16734,31286,30527,23060,12864,49472,40363,27249,15734,21024,24695,9256,12213,,,,3382,,,2346,,,,
汇兑收益(万元),149,-17,-54,215,192,96,-75,-78,-60,-7,3,263,109,61,235,201,51,57,12,26,34,-168,-83,-71,-8,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),74170,40038,14457,62329,39509,24879,11275,67426,43625,27283,12397,,63117,,,34840,20254,6514,19139,10962,9115,7672,4091,2828,1223,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),119209,81752,40874,88537,73187,66054,40934,181240,145837,103111,46911,154917,164037,75969,249369,235733,164801,53585,91776,73301,41128,62971,52300,22256,17807,
营业外收入(万元),25,11,10,68,526,404,19,731,2093,1598,318,366,363,223,31464,4929,4857,349,830,255,169,814,664,383,5089,
营业外支出(万元),869,683,9,1499,1180,985,24,977,747,497,10,823,661,130,458,641,529,1434,808,650,-11,4942,391,270,209,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),118365,81080,40875,87106,72532,65473,40929,180994,147183,104212,47219,154460,163739,76062,280376,240020,169129,52501,91798,72907,41308,58842,52573,22370,22687,
所得税费用(万元),18448,7446,1771,5802,5847,7007,4974,33313,28879,24493,8742,32178,27143,15527,67185,54808,40537,12781,20888,15946,8644,15582,11542,5783,6877,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),99918,73634,39105,81304,66686,58466,35954,147681,118304,79719,38477,122282,136596,60535,213191,185212,128592,39720,70910,56961,32664,43260,41031,16587,15810,
归属于母公司所有者的净利润(万元),99500,73233,39104,81884,67280,58451,35928,150393,120970,82085,38492,122282,137416,60535,213191,166776,118973,35306,70910,46803,26812,32643,27724,12084,9825,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),418,401,1,-579,-594,15,27,-2712,-2666,-2366,-15,,-819,,,18436,9619,4414,,10158,5851,10617,13306,4503,5985,
基本每股收益,0.27,0.2,0.1,0.22,0.18,0.16,0.09,0.45,0.37,0.25,0.11,,0.43,,,,,,,,,,,,,
稀释每股收益,0.27,0.2,0.1,0.22,0.18,0.16,0.09,0.45,0.37,0.25,0.11,,0.43,,,,,,,,,,,,,
