报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),572188,367340,926543,610209,446910,188906,952279,662312,482307,191972,319940,209644,116489,53088,330197,225935,160108,91061,251206,182606,118147,45106,390690,297186,193771,79441,489755,391173,294711,135712,398843,291038,187773,63249,722034,505541,323192,125715,672498,455581,302181,139563,755483,543076,356284,749799,129739,546053,416086,301792,
营业收入(万元),572188,367340,926543,610209,446910,188906,952279,662312,482307,191972,319940,209644,116489,53088,330197,225935,160108,91061,251206,182606,118147,45106,390690,297186,193771,79441,489755,391173,294711,135712,398843,291038,187773,63249,722034,505541,323192,125715,672498,455581,302181,139563,755483,543076,356284,749799,128724,546053,416086,301792,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,1015,,,0,
营业总成本(万元),540076,358444,862222,573929,431020,188063,898860,625741,466053,204316,276712,169644,78753,51314,312443,237350,168700,97416,553372,308116,209682,75084,1158881,439994,288531,110044,794245,541441,393715,165918,677553,391693,228224,78440,751976,499896,315385,125031,648588,437830,290196,135724,725794,523388,345935,705988,120827,508448,400801,299621,
营业成本(万元),495077,323453,781463,519256,390769,168095,785125,544867,409113,173252,265963,177802,96529,48475,272248,194706,142139,82246,272849,196202,127724,46414,496548,334683,216581,82888,574552,436466,325160,140856,497469,312426,179875,56687,610458,426708,268866,102419,544491,366587,243040,114526,615889,449230,298337,615812,102527,430995,332310,246942,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
研发费用(万元),4932,5111,26484,7645,5520,1656,7968,3791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,1113,,,0,
营业税金及附加(万元),4114,3777,8076,5846,4941,1285,7900,4392,3590,662,4790,2637,1153,286,6944,883,161,59,221,114,44,21,572,482,351,107,1626,1149,903,352,1446,839,546,343,4492,2624,1390,350,3366,1546,962,289,4696,2470,1399,3232,668,3415,2534,1692,
销售费用(万元),12120,8372,25186,16206,12292,6750,26966,16241,10663,4045,8090,6326,4308,1427,7394,5074,3551,1813,7247,3868,2262,931,7404,5775,3536,1473,10310,5603,2603,477,11720,6897,2478,772,15751,10594,6444,3817,12901,9054,5493,2812,12958,7992,5159,12597,2176,11243,9609,7871,
管理费用(万元),34030,25620,30599,32703,21200,11162,47708,36066,29017,17787,39424,24727,16388,7766,40206,27996,20354,7513,79225,31112,24686,6955,163579,40194,23932,9483,82581,47482,29071,11442,73086,36159,22236,9670,77291,35427,24252,12876,58228,37268,22813,11853,58117,39091,23697,52655,9835,46716,48065,37710,
财务费用(万元),-10197,-7888,-9586,-7727,-3701,-1042,5058,15165,11135,8171,12789,9663,6837,3255,19810,16055,11524,5838,83315,62233,40380,20764,77648,50237,35506,16093,65564,45819,31057,12792,60310,33652,21368,10968,34412,23371,14101,5568,22534,17889,13382,6244,27777,20841,13610,21194,4650,14038,9307,4748,
资产减值损失(万元),,,,,,157,18133,5218,2535,399,-54345,-51510,-46462,-9895,-34159,-7365,-9028,-53,110516,14587,14587,,413130,8624,8626,,59612,4922,4922,,33522,1721,1721,,9573,1172,332,-0,7069,5485,4506,,6358,3763,3733,499,-143,2040,-1024,659,
公允价值变动收益(万元),-58,-58,-1,9,9,,-230,-218,-218,,,,,,37,37,37,,18,42,4,4,-55,,,,193,158,158,32,24,-190,-241,,-475,-210,53,,258,0,0,,,0,,,0,,,0,
投资收益(万元),443,388,1669,739,278,,1497,268,51,64,905,735,735,,18168,21107,21107,-28,-59,-6,-5,-5,-3,6,-6,-1,90,64,16,3,-217,-75,-17,,826,685,412,,106,5,2,,9,4,-2,-235,0,3678,,3,
