报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),5585457,3772058,1800118,7731184,5574302,3649411,1747923,7315751,5442132,2778319,4720678,2185087,957511,4593483,3468107,2339007,1126378,4761377,3422452,2261085,1015481,4796943,3687279,2519832,1178281,4777722,3593866,2326795,992648,4400938,3234091,2063568,922670,4270421,2788065,3536834,
营业收入(万元),5585457,3772058,1800118,7731184,5574302,3649411,1747923,7315751,5442132,2778319,4720678,2185087,957511,4593483,3468107,2339007,1126378,4761377,3422452,2261085,1015481,4796943,3687279,2519832,1178281,4777722,3593866,2316001,992648,4400938,3234091,2063568,922670,4270421,2788065,3536834,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,10794,,,,,,,,,
营业总成本(万元),5524507,3710885,1775100,7659353,5451700,3553986,1712684,7172902,5307679,2704339,4624244,2127694,938784,4502190,3387180,2281732,1099225,4687861,3367353,2226669,991519,4713282,3617788,2472307,1161170,4724459,3539470,2277507,980920,4353498,3182662,2024167,902935,4207582,2762912,3486965,
营业成本(万元),5255928,3533023,1680504,7176722,5147879,3355441,1606919,6760828,5017168,2577868,4377216,2014291,884636,4268510,3222329,2172713,1047493,4422963,3172635,2092090,938431,4480804,3451357,2362904,1107748,4477135,3370233,125664,928755,4110944,3016416,1918736,853823,3993466,2579983,3313010,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
