报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),721028,401516,174591,690215,453848,254289,52427,529820,379404,652036,474116,339801,158191,693963,457985,282419,508755,317063,155387,60125,357933,273526,160645,72895,289028,199894,120885,49230,480216,353577,400576,307333,52905,
营业收入(万元),721028,401516,174591,690215,453848,254289,52427,529820,379404,652036,474116,339801,158191,693963,457985,282419,508755,317063,155387,60125,352033,273526,160645,72895,282037,199894,120885,49230,480216,353130,399051,307333,52905,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,5900,,,,6991,,,,,447,1524,,,
营业总成本(万元),694986,396477,172822,670190,440990,250638,65682,509110,370047,627586,447905,319289,149433,659662,442168,274072,503752,312865,159125,64967,367631,273522,160699,72854,322103,215771,136410,59602,474403,321580,364314,272422,60482,
营业成本(万元),556944,308637,133021,517094,329123,182822,36575,389009,276547,483370,396814,284846,132493,516537,394361,244761,432940,272815,133715,55547,308209,233175,138218,64524,243679,170034,104821,44421,406460,260732,299959,241073,53171,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),21477,13921,6277,19656,,10433,,26232,,23455,,,,20783,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,4375,,,,6127,,,,,321,1307,,,
营业税金及附加(万元),3394,1711,411,7694,5450,3570,1151,4908,3707,4766,2247,1801,533,4913,1192,735,1768,951,379,178,847,649,314,159,1040,656,426,227,2218,1312,360,297,18,
销售费用(万元),62062,37379,14817,71543,45827,27526,9267,55245,38553,58246,19719,13023,7228,64064,18843,11425,28516,15036,8961,3652,21391,13307,6246,2453,16648,12479,8666,4869,23862,32811,29497,8700,1041,
管理费用(万元),28849,19256,10449,36473,44126,17120,13049,31402,43570,31985,25835,17267,8300,29219,21822,14665,27673,23400,15153,5157,27521,24784,14950,4630,28111,21387,13833,8037,25828,24387,29025,18321,4448,
财务费用(万元),22259,15574,5887,25748,18624,11591,4767,11798,6239,12025,3290,2353,878,10026,5950,2485,7677,662,917,433,7084,5407,4347,1063,6844,8235,6420,2049,9491,2026,4157,4031,1804,
资产减值损失(万元),,,54,-8017,-2161,-2425,874,-9484,1431,13740,,,,14120,,,5179,,,,-1796,-3801,-3375,26,19654,2980,2245,,6545,-9,9,,,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),29980,29190,-535,6331,3048,2901,793,6681,10867,2792,5380,3607,1915,3120,4256,3719,8041,-60,369,14,7658,-178,-179,-80,5476,-692,-882,-78,474,-39,44,62,4,
对联营企业和合营企业的投资收益(万元),1685,822,198,3171,3331,3184,781,5815,-93,2385,,,,2315,,,-519,-60,369,14,-174,-178,-179,-80,,-692,-882,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),52615,31522,3363,38042,20640,9343,-11398,36014,25048,27272,31591,24119,10673,37440,20073,12067,13044,4137,-3369,-4828,-2040,-173,-234,-38,-27599,-16569,-16408,-10450,6287,31959,36305,34973,-7573,
营业外收入(万元),2491,2328,72,1368,1440,953,1128,1021,591,8052,2397,1439,626,7376,1268,693,3507,7282,6810,5595,4795,2496,1371,615,9017,4963,3937,879,3139,909,2802,258,164,
营业外支出(万元),708,666,187,756,390,205,826,2025,843,1325,327,323,2,2361,119,114,293,183,130,96,234,99,24,4,569,366,198,,553,58,261,1139,37,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,21,90,88,86,117,105,3,1,,44,33,,,,,,,
利润总额(万元),54398,33184,3249,38654,21690,10092,-11096,35010,24795,34000,33660,25235,11297,42455,21223,12646,16258,11236,3311,671,2521,2224,1114,573,-19152,-11972,-12669,-9571,8874,32810,38846,34092,-7446,
所得税费用(万元),4874,1010,-324,-3621,-3728,-4774,-2145,2168,909,5204,5410,4284,1695,7795,3183,1897,2527,1982,574,109,1440,-150,-597,,431,303,68,-1436,1507,6262,8850,2857,,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),49524,32173,3573,42275,25418,14866,-8950,32842,23887,28796,28250,20951,9603,34660,18039,10744,13732,9254,2737,562,1081,2375,1711,573,-19583,-12275,-12737,-8135,7366,26548,29997,31235,-7446,
归属于母公司所有者的净利润(万元),51361,33384,3903,42597,25418,14559,-9023,35604,26090,31544,28594,21143,9648,35758,18033,6103,14297,9768,3098,737,1811,2898,2060,817,-19045,-12013,-12543,-8067,7654,26548,29997,31240,-7440,
被合并方在合并前实现净利润(万元),,,,,,,,18,,1596,,,,13027,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-1837,-1210,-330,-322,,307,73,-2762,-2204,-2748,-344,-191,-46,-1097,6,-6,-565,-513,-361,-175,-730,-524,-348,-244,-538,-262,-195,-68,-288,,,-5,-6,
基本每股收益,0.38,0.25,0.04,0.39,,0.13,,0.32,0.25,0.25,,,,0.3,,,,,,,,,,,,,,,,,,,,
稀释每股收益,0.38,0.25,0.04,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
