报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),193195,131239,269399,194951,128607,262083,124070,247594,238971,243010,
营业收入(万元),193195,131239,269399,194951,128607,262083,124070,247594,238971,243010,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),139159,92502,186564,121136,81067,175921,87376,174971,144797,151439,
营业成本(万元),120286,78488,150998,109439,72416,139617,67080,138312,120097,123517,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),3276,2243,5329,2877,1894,,,,,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),1133,1048,2157,1562,1088,2353,1444,1119,466,2155,
销售费用(万元),3839,2530,5187,3294,2038,4283,1503,3218,3583,3580,
管理费用(万元),12955,8935,17678,12779,7684,21363,10106,20201,19428,20581,
财务费用(万元),-2330,-742,-8952,-8815,-4052,1529,-608,130,-1424,1726,
资产减值损失(万元),,,14167,,,6775,7851,11990,2646,-121,
公允价值变动收益(万元),-310,-318,156,-6855,-3192,-1437,-1014,-1344,-458,-3335,
投资收益(万元),-656,-241,-10498,-2490,-792,-465,-520,14834,2062,4836,
对联营企业和合营企业的投资收益(万元),-1329,-914,-3389,-3218,-1520,-1367,-520,300,321,-661,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),52402,37700,75155,50733,31675,86137,36049,86112,95778,93073,
营业外收入(万元),4026,3872,14000,2945,1647,54,3,3949,2256,2506,
营业外支出(万元),41,41,55,33,6,30,16,288,115,192,
非流动资产处置损失(万元),,,,,,,16,284,34,192,
利润总额(万元),56386,41531,89100,53645,33315,86161,36036,89773,97919,95387,
所得税费用(万元),7871,5317,14553,12923,7543,13980,6997,14247,14953,13618,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),48515,36214,74547,40721,25773,72181,29039,75526,82967,81770,
归属于母公司所有者的净利润(万元),30616,20844,41826,25015,16764,38850,12735,43260,51448,51293,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),17899,15370,32721,15706,9009,33331,16304,32266,31519,30476,
基本每股收益,0.08,0.06,0.12,0.07,0.05,0.11,0.04,0.12,0.14,0.14,
稀释每股收益,0.08,0.06,0.12,0.07,0.05,0.11,0.04,0.12,0.14,0.14,
