报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-03-31,2012-12-31,
营业总收入(万元),410830,267554,124641,369480,261334,176397,81078,461061,328531,206020,100927,459490,337542,211380,95870,618890,327380,322684,140700,47079,191471,125071,39858,124011,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
利息收入(万元),117609,79606,33551,147358,25148,71075,9767,141723,27974,66466,9416,154271,54113,77431,18845,179998,43097,73912,28234,11149,45402,26279,6619,31329,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),159351,105929,38810,104891,72672,51474,17187,138517,87333,50075,23495,106651,49507,29553,7605,83459,48464,72482,46249,228,19489,933,229,628,
营业总成本(万元),315822,203877,88271,271393,187093,122769,54629,320991,223316,137386,66304,296936,205169,141597,69278,367309,193186,222763,109415,31979,135993,87087,27161,101364,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,
利息支出(万元),96899,62775,27679,115646,,55083,,99931,,48622,,82254,,41787,,94482,,23676,6411,,5951,,,2486,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),158857,104750,37458,105641,72301,51372,17069,134756,85404,48379,21833,92475,44441,26187,6938,83841,47536,73383,47424,34,18612,,28,110,
营业税金及附加(万元),1940,1383,726,2619,1698,1315,458,3063,1689,1067,555,9603,9106,8486,5252,30778,16323,12971,4580,2434,9084,,1923,5473,
销售费用(万元),154001,97045,49596,167279,119345,76728,37318,177420,133106,88900,44916,193922,,107227,57108,244594,127770,134584,57563,29607,107238,,25209,95780,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,-4145,-6251,-6646,-216,5752,3116,-960,-1001,936,-1616,-303,-20,8096,1558,1825,-152,-95,1059,,,,
公允价值变动收益(万元),18362,13690,26273,9112,6330,165,189,-3186,5446,7251,4228,-8905,-1149,-4521,-1827,3703,1778,4428,2420,-1215,-2291,-490,909,2809,
投资收益(万元),88087,48294,15483,80375,47848,30457,14489,81425,52581,30269,9299,29985,32741,15741,6714,53465,30342,21301,8170,2958,10806,8227,3085,6074,
对联营企业和合营企业的投资收益(万元),182,102,54,-179,-25,-219,-81,359,669,490,12,540,355,421,319,-161,-360,-806,-181,-143,-617,,-127,-1192,
汇兑收益(万元),120,9,-80,204,215,49,-151,-256,-186,-106,-24,279,113,84,-5,227,,12,,,-104,,,-7,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),16445,11380,4814,24045,16236,11221,5331,34206,26279,18634,10005,58309,44553,29680,12651,59338,31584,28495,8595,4649,12107,7487,1719,4746,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),95008,63677,36371,98087,74242,53628,26449,140071,105215,68635,34624,162555,132373,69783,26592,251581,134194,99922,31285,15100,55478,37983,12697,22647,
营业外收入(万元),369,274,211,1501,674,620,298,1191,2314,1767,540,2259,1778,1294,1081,1752,1129,1532,136,13,713,,61,673,
营业外支出(万元),446,160,6,481,188,147,19,731,349,66,29,491,344,137,65,825,424,365,179,48,374,,36,106,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),94931,63791,36576,99106,74728,54102,26728,140531,107180,70335,35135,164322,133807,70940,27608,252508,134899,101089,31242,15064,55817,38100,12722,23214,
所得税费用(万元),24041,15658,9257,25410,18539,13988,6727,34180,26002,17657,8742,40222,35856,19079,7793,69074,36695,26064,8846,3982,15494,,3398,6281,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),70890,48134,27318,73696,56190,40114,20001,106351,81178,52678,26392,124100,97951,51861,19815,183434,98204,75024,22396,11083,40323,,9325,16934,
归属于母公司所有者的净利润(万元),70890,48134,27318,73696,56190,40114,20001,106351,81178,52678,26392,124089,97951,51861,19815,183446,98204,75024,22396,11083,40323,27714,9325,16934,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,11,,,,-12,,,,,,,,,
基本每股收益,0.21,0.14,0.08,0.22,0.17,0.12,0.06,0.34,0.26,0.18,0.09,0.41,0.33,0.17,0.07,0.61,0.33,0.25,0.07,,0.13,,,0.06,
稀释每股收益,0.21,0.14,0.08,0.22,0.17,0.12,0.06,0.34,0.26,0.18,0.09,0.41,0.33,0.17,0.07,0.61,0.33,0.25,0.07,,0.13,,,0.06,
