报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),296712,193159,97389,337824,249020,169321,84390,372922,274241,182389,96363,578124,430603,290167,133103,547930,401879,262855,113716,520212,406979,292626,166512,730681,546763,364839,191114,662918,454730,295598,145092,508825,368636,239141,117805,429328,317568,215330,107370,335869,231184,153242,81238,319200,223372,141611,71132,205613,101725,69268,28955,244059,153402,98371,48897,
营业收入(万元),296712,193159,97389,337824,249020,169321,84390,372922,274241,182389,96363,578124,430603,290167,133103,547930,401879,262855,113716,520212,406979,292626,166512,730681,546763,364839,191114,662918,454730,295598,145092,508825,368636,239141,117805,429328,317568,215330,107370,335869,231184,153242,81238,319200,223372,141611,71132,205613,101725,69268,28955,244059,153402,98371,48897,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
营业总成本(万元),232330,153637,76404,300964,224946,149114,77379,333457,244965,162272,83511,523047,389252,261210,118116,485867,354698,235878,101358,721585,485133,362485,192049,1315892,645716,437921,226795,788973,551041,362350,172831,594304,423817,271727,127203,426618,301441,200543,97247,333271,230641,150486,75691,274034,190315,115537,55498,163080,80622,55785,22857,209748,129179,79364,39420,
营业成本(万元),212493,139640,68892,273220,205403,135795,71163,298957,218615,142703,72289,474002,349700,230738,108463,442585,324274,214932,91613,560898,449304,319305,171153,771779,585664,388226,202961,711129,496676,318306,151197,527936,375296,236431,109588,381301,275061,179268,87125,307160,205850,134243,68438,246273,170332,102920,50434,152496,76543,53553,21465,197665,124469,76460,38076,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
研发费用(万元),,0,,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,0,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
