报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,
营业总收入(万元),1680094,1049252,2249188,1119373,1853965,1526024,
营业收入(万元),,,,,,,
利息收入(万元),401916,250077,480019,-60776,,297966,
已赚保费(万元),,,,,,,
手续费及佣金收入(万元),,,,,,,
房地产销售收入(万元),,,,,,,
其他业务收入(万元),907,750,,1649,,,
营业总成本(万元),1063283,666357,1754128,718079,1427087,1172972,
营业成本(万元),,,,,,,
利息支出(万元),481283,299946,589551,,,326758,
手续费及佣金支出(万元),,,,,,,
房地产销售成本(万元),,,,,,,
研发费用(万元),,,,,,,
退保金(万元),,,,,,,
赔付支出净额(万元),,,,,,,
提取保险合同准备金净额(万元),,,,,,,
保单红利支出(万元),,,,,,,
分保费用(万元),,,,,,,
其他业务成本(万元),54,48,,58,,188373,
营业税金及附加(万元),8134,5095,8439,5616,,6184,
销售费用(万元),1037715,644487,,709105,,575280,
管理费用(万元),,,,,,,
财务费用(万元),,,,,,,
资产减值损失(万元),,,,,,-5861,
公允价值变动收益(万元),-250086,-209223,,-293401,,,
投资收益(万元),1224659,760236,695864,815480,,400848,
对联营企业和合营企业的投资收益(万元),2064,946,,,,,
汇兑收益(万元),-97332,16820,,69450,,,
期货损益(万元),,,,,,,
托管收益(万元),57423,38770,,40961,,,
补贴收入(万元),,,,,,,
其他业务利润(万元),,,,,,,
营业利润(万元),616811,382895,524123,401293,426878,353052,
营业外收入(万元),482,319,,496,,,
营业外支出(万元),2997,2346,,3690,,,
非流动资产处置损失(万元),,,,,,,
利润总额(万元),614296,380869,530163,398099,438735,360104,
所得税费用(万元),121726,72994,105380,81505,,78988,
未确认投资损失(万元),,,,,,,
净利润(万元),492571,307875,424783,316594,353462,281116,
归属于母公司所有者的净利润(万元),489128,305179,423872,313932,349216,276635,
被合并方在合并前实现净利润(万元),,,,,,,
少数股东损益(万元),3443,2697,911,2662,,4481,
基本每股收益,1.11,0.69,0.99,,,0.76,
稀释每股收益,,,,,,0.76,
