报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),28566,15590,5596,38417,31358,24024,8809,93639,66293,44210,9272,114859,70328,160287,86926,37936,
营业收入(万元),28566,15590,5596,38417,31358,24024,8809,93639,66293,44210,9272,114859,70328,160287,86926,37936,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),24826,14313,6290,34619,25294,19029,7812,79768,59807,40119,10804,105352,66429,145784,84835,43947,
营业成本(万元),14336,7820,3173,20763,15594,13227,5428,71690,52476,34978,7961,90542,54674,133942,76344,35903,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),1052,368,207,1723,1236,,,,1199,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),94,64,37,475,396,303,101,508,497,317,164,720,386,108,,0,
销售费用(万元),147,83,47,164,287,196,79,389,317,194,29,330,235,467,213,134,
管理费用(万元),5892,3912,1849,7403,5066,3323,1746,6461,3742,3586,2535,13024,10257,5986,3800,3944,
财务费用(万元),3306,2066,959,2688,1875,1108,308,985,755,317,42,-131,64,2865,3445,3919,
资产减值损失(万元),,,17,1404,840,872,150,-264,821,727,73,866,812,2416,1032,48,
公允价值变动收益(万元),-394,-398,473,442,,,,,,,,,,,,,
投资收益(万元),120,119,1,0,,,,,,,,11,11,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),3425,863,34,5595,6898,5147,1046,14585,6968,4338,-1450,9516,3910,14517,2091,-6011,
营业外收入(万元),888,243,22,750,60,49,11,811,15,66,,324,145,249,109,245,
营业外支出(万元),31,4,1,80,75,10,5,40,21,5,0,124,133,211,15,9,
非流动资产处置损失(万元),,,,,,,,,,,,,4,,1,4,
利润总额(万元),4282,1102,55,6266,6884,5186,1052,15356,6963,4399,-1450,9716,3922,14555,2186,-5775,
所得税费用(万元),-225,-214,19,-351,-304,-122,-36,3717,1465,949,-69,1956,1008,2584,419,-710,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),4507,1316,36,6616,7188,5308,1088,11638,5498,3451,-1381,7760,2914,11971,1767,-5065,
归属于母公司所有者的净利润(万元),4507,1316,36,6616,7188,5308,1088,11638,5498,3451,-1381,7771,2926,12036,1884,-4995,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,-862,-255,
少数股东损益(万元),,,,,,,,,,,,-11,-11,-65,-116,-70,
基本每股收益,0.09,0.03,0,0.15,0.17,0.13,0.03,0.28,0.13,0.08,-0.03,0.2,0.08,0.61,0.21,-0.55,
稀释每股收益,0.09,0.03,0,0.15,0.17,0.13,0.03,0.28,0.13,0.08,-0.03,0.2,0.08,0.61,0.21,-0.55,
