报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
营业总收入(万元),256777,165244,81178,291857,214027,135051,60305,221053,94103,154430,68443,158324,84784,203457,206715,
营业收入(万元),256777,165244,81178,291857,214027,135051,60305,221053,94103,154430,68443,158324,84784,203457,206715,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),217471,141491,69203,260037,186114,116464,51710,196402,83371,134108,57914,140097,71824,181211,190799,
营业成本(万元),172523,113851,56023,203773,150280,94702,41996,153191,65137,96943,42415,98041,52405,131104,145699,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),4839,3011,1245,4874,3368,2179,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),2757,2017,1489,2800,2265,1520,674,2802,1526,2421,646,1639,855,1997,1760,
销售费用(万元),28900,17088,8186,34360,22993,13185,6194,28617,12051,19706,8008,24277,13090,31058,27389,
管理费用(万元),8754,5728,2307,12831,6626,4376,3088,12149,4834,11897,5788,9887,4114,9598,9600,
财务费用(万元),-302,-203,85,-135,-260,43,276,111,15,180,317,3333,1926,4324,4539,
资产减值损失(万元),,,-131,1534,842,460,-517,-469,-191,2961,739,2919,-575,3129,1812,
公允价值变动收益(万元),,,,,,,,,,,,,,,,
投资收益(万元),,,,,,,0,,,,,,8,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),36806,22364,12126,33099,29082,19714,8634,25098,10732,20322,10529,18227,12976,22245,15916,
营业外收入(万元),920,514,428,673,570,499,1056,1328,1339,838,393,446,190,329,181,
营业外支出(万元),130,87,7,769,246,202,53,829,369,918,337,-303,-361,684,29,
非流动资产处置损失(万元),,,,,,,,,145,162,50,39,35,24,14,
利润总额(万元),37596,22791,12547,33003,29406,20011,9638,25597,11702,20242,10585,18976,13528,21890,16068,
所得税费用(万元),8628,5167,3141,8555,7417,5032,1956,5002,2265,4268,2592,4714,3532,5654,4743,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),28968,17623,9406,24448,21989,14979,7681,20596,9437,15974,7993,14261,9996,16236,11325,
归属于母公司所有者的净利润(万元),28968,17623,9406,24448,21989,14979,7681,20596,9437,15974,7993,14261,9996,16236,11325,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,
基本每股收益,0.79,0.49,0.26,0.68,0.61,0.42,0.21,0.57,0.26,0.49,0.24,0.47,0.33,0.54,0.39,
稀释每股收益,0.79,0.49,0.26,0.68,0.61,0.42,0.21,0.57,0.26,0.49,0.24,0.47,0.33,0.54,0.39,
