报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),716744,443929,990031,702524,807812,560038,408218,183709,310602,241705,182165,
营业收入(万元),716744,443929,990031,702524,807812,560038,408218,183709,310602,241705,182165,
利息收入(万元),,,,,,,,0,,,,
已赚保费(万元),,,,,,,,0,,,,
手续费及佣金收入(万元),,,,,,,,0,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),669388,423121,903785,653190,757847,516499,364566,174227,304722,241254,178891,
营业成本(万元),640771,405642,869541,628157,730643,474359,351417,167806,293343,235621,174410,
利息支出(万元),,,,,,,,0,,,,
手续费及佣金支出(万元),,,,,,,,0,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),1055,622,1047,821,1368,478,45,,,,,
退保金(万元),,,,,,,,0,,,,
赔付支出净额(万元),,,,,,,,0,,,,
提取保险合同准备金净额(万元),,,,,,,,0,,,,
保单红利支出(万元),,,,,,,,0,,,,
分保费用(万元),,,,,,,,0,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),703,460,1178,719,828,862,574,156,832,372,331,
销售费用(万元),1179,660,2130,1222,1663,1282,952,0,,,,
管理费用(万元),9826,5525,12636,9398,11645,36355,6928,4251,7725,4333,3468,
财务费用(万元),15853,10212,17252,12873,11590,3949,3671,1589,2609,681,645,
资产减值损失(万元),,,,,111,-785,979,424,213,246,38,
公允价值变动收益(万元),,,,,,,,0,,,,
投资收益(万元),5600,3540,6302,4637,3922,3155,2613,571,1177,822,38,
对联营企业和合营企业的投资收益(万元),49,-19,141,69,-124,,,-200,,-604,-595,
汇兑收益(万元),,,,,,,,0,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),66313,33363,115223,74202,73797,64119,46266,10054,7057,1274,3311,
营业外收入(万元),39,0,31,43,13,4,15007,87,11063,6022,5228,
营业外支出(万元),6,6,281,353,19,16,16,9,18,32,1,
非流动资产处置损失(万元),,,,,,,,0,,0,0,
利润总额(万元),66346,33357,114972,73891,73790,64107,61256,10132,18103,7264,8538,
所得税费用(万元),16569,8316,28791,18534,18536,23463,15651,2609,4677,1985,2301,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),49778,25041,86182,55357,55254,40644,45605,7523,13426,5279,6237,
归属于母公司所有者的净利润(万元),49452,24857,85759,55149,55111,40643,45605,7523,13426,5279,6237,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),326,185,423,208,144,1,,0,,,,
基本每股收益,0.82,0.41,1.43,0.92,0.92,0.73,0.83,0.52,1.04,0.56,1.39,
稀释每股收益,0.82,0.41,1.43,0.92,0.92,0.73,0.83,0.52,1.04,0.56,1.39,
