报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),65855,44722,23177,88404,65539,44238,21684,88065,63922,42942,21081,82262,59580,40255,20060,90752,49310,104987,94979,36997,17636,67121,48881,34149,16096,65290,56633,37786,27781,
营业收入(万元),65855,44722,23177,88404,65539,44238,21684,88065,63922,42942,21081,82262,59580,40255,20060,90752,49310,104987,94979,36997,17636,67121,48881,34149,16096,65290,56633,37786,27781,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),61209,41805,22021,83409,61705,41631,20139,79981,57658,37874,18475,70150,51103,34737,17445,79333,42611,87059,80767,30806,15893,57910,42122,29018,13612,54523,45168,31069,25364,
营业成本(万元),53679,36836,19231,72258,53849,36118,17381,67530,48548,32259,15692,59115,42947,29042,14340,66172,35807,73652,67886,25725,13273,47592,34716,24116,11271,45829,38138,25679,20379,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),2227,1404,737,3537,2667,,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),548,389,230,785,620,464,212,958,725,513,265,865,347,224,131,599,321,486,638,257,117,396,273,172,74,319,328,278,181,
销售费用(万元),1563,850,421,2553,1379,708,419,2432,1715,1080,455,2191,1441,989,392,2589,1343,3366,3234,1472,674,2731,1843,1227,579,2547,1866,1489,1124,
管理费用(万元),3562,2423,1310,4800,3470,4398,2105,8442,6389,3820,1974,7370,5871,4145,2313,8857,4343,7775,7142,2521,1421,4748,3492,2343,1084,4607,3679,2278,2006,
财务费用(万元),-370,-244,70,-817,-74,26,22,287,270,190,95,552,577,417,284,1275,846,1564,1558,831,407,2339,1798,1161,604,1157,881,1131,1636,
资产减值损失(万元),,22,22,293,-206,-83,,331,11,11,-6,57,-81,-81,-15,-159,-49,216,309,,,104,,,,64,275,215,38,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),498,402,277,992,1291,1025,488,397,,,,,,,,,,1528,,,,0,0,0,0,8,80,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),6165,3839,1443,6258,5336,3664,2043,9035,6264,5068,2605,12113,8477,5518,2616,11419,6699,19456,14212,6191,1743,9211,6759,5132,2484,10775,11546,6716,2417,
营业外收入(万元),8,8,264,15,105,3,0,0,236,27,4,178,170,17,1,372,153,504,824,568,43,270,262,216,76,552,336,371,159,
营业外支出(万元),91,71,18,76,102,34,28,74,71,70,3,115,49,35,20,318,98,501,149,46,22,109,70,57,34,118,109,91,53,
非流动资产处置损失(万元),,,,,,,,,68,68,1,15,0,,,224,47,358,22,,,1,0,,,8,4,7,3,
利润总额(万元),6083,3777,1689,6196,5339,3633,2014,8960,6428,5025,2607,12175,8598,5500,2596,11474,6754,19458,14887,6713,1764,9372,6950,5291,2526,11209,11772,6996,2523,
所得税费用(万元),662,1,1,591,429,429,248,1160,875,660,355,1689,1290,745,409,1513,893,3530,2693,1349,586,1719,1236,1051,494,1859,2170,1600,-217,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),5421,3776,1688,5605,4910,3205,1767,7800,5554,4365,2251,10486,7308,4755,2187,9962,5860,15928,12193,5365,1178,7654,5714,4239,2032,9351,9602,5396,2741,
归属于母公司所有者的净利润(万元),5421,3776,1688,5605,4910,3205,1767,7800,5554,4365,2251,10486,7308,4755,2187,9962,5860,15928,12193,5365,1178,7654,5714,4239,2032,9351,9602,5396,2741,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,874,1721,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本每股收益,0.18,0.13,0.06,0.19,0.16,0.11,0.08,0.42,0.31,0.27,,0.66,0.46,0.3,,0.74,0.53,1.45,1.11,,,0.7,,,,0.85,0.96,0.61,0.36,
稀释每股收益,0.18,0.13,0.06,0.19,0.16,0.11,0.08,0.42,0.31,0.27,,0.66,0.46,0.3,,0.74,0.53,1.45,1.11,,,0.7,,,,0.85,0.96,0.61,0.36,
