报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),188498,126629,62262,243610,173619,108145,57480,205305,137935,77717,33955,113206,68314,39838,18026,83529,57636,36399,17912,74395,53750,32645,17470,71041,59910,49913,
营业收入(万元),188498,126629,62262,243610,173619,108145,57480,205305,137935,77717,33955,113206,68314,39838,18026,83529,57636,36399,17912,74395,53750,32645,17470,71041,59910,49913,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),150006,98149,48825,190014,134623,85037,44392,158131,107227,60608,25413,89063,56411,33080,14740,63704,44540,27974,13505,56614,40484,24912,13035,53152,43707,36947,
营业成本(万元),63949,41748,21902,77447,53337,33841,18939,63982,41695,21651,9269,35142,21327,12164,5710,27054,18356,11178,6066,24171,15601,8830,4721,21597,20222,15710,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),7076,4634,2366,7944,6629,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1358,1003,543,2252,1552,995,573,2508,1753,1174,521,1855,917,620,274,1266,884,632,303,1023,728,485,285,919,740,608,
销售费用(万元),58344,38327,20469,73046,52303,34034,16914,59302,40260,25975,11120,34334,23193,14578,6773,27038,18968,12308,5413,22994,16300,10795,5046,20575,16417,13069,
管理费用(万元),18265,12541,3787,23938,16880,15678,7774,29469,21499,12029,3707,15795,9851,5993,2504,8866,6108,3629,1510,6973,5226,3387,1421,6344,5107,5028,
财务费用(万元),1013,-104,118,51,-161,-166,-513,-2464,-2050,-1777,-402,-631,-939,-831,-759,-1117,-572,-83,-13,2,1,-3,0,17,34,1,
资产减值损失(万元),,,-359,5337,4083,656,704,5334,4070,1555,1198,2568,2062,556,238,597,796,310,225,1452,2629,1419,1562,3702,1186,2532,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),2988,332,128,204,-21,-10,73,-414,-870,-345,143,1385,-187,395,6,1037,548,297,103,309,256,198,72,160,155,335,
对联营企业和合营企业的投资收益(万元),-4,-7,-7,-196,-142,-108,-8,637,-126,451,140,1056,-205,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
