报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),64624,44653,24871,93024,67937,45725,24857,84228,58308,38404,17247,64382,46548,60112,30469,61343,48422,39099,
营业收入(万元),64624,44653,24871,93024,67937,45725,24857,84228,58308,38404,17247,64382,46548,60112,30469,61343,48422,39099,
利息收入(万元),,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,
营业总成本(万元),55273,37736,20578,73356,53048,34983,19084,66596,45133,29305,13012,50778,36805,47000,22591,45239,36415,28275,
营业成本(万元),45761,31616,17733,61426,44418,29807,16278,53873,36867,24072,10645,40227,29578,37433,18273,36664,28264,21777,
利息支出(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,
研发费用(万元),3054,1900,722,3501,2416,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),561,393,250,652,463,363,199,768,532,295,92,563,332,344,190,467,410,377,
销售费用(万元),1455,988,312,2345,1735,1148,545,2796,1804,1096,490,1834,1281,1447,585,1274,1200,1139,
管理费用(万元),4026,2692,1374,5743,3860,4028,1802,8250,5087,3407,1640,7693,5305,7535,3430,6490,5772,4498,
财务费用(万元),416,147,70,-191,414,-84,227,508,586,334,73,319,224,211,-13,440,563,335,
资产减值损失(万元),,,117,-120,-259,-278,32,400,258,102,72,142,86,30,126,-96,205,149,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,
投资收益(万元),782,516,276,268,479,128,22,-130,-129,-143,-91,-371,-208,,,,,,
对联营企业和合营企业的投资收益(万元),-170,-129,-69,-117,-50,-21,,-130,-129,-143,,-371,-208,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,
营业利润(万元),10332,7461,4622,20139,15375,10913,5802,17645,13046,8956,4145,13233,9534,13112,7877,16105,12007,10825,
营业外收入(万元),36,26,10,594,224,50,,266,405,310,227,2775,2280,365,46,249,685,471,
营业外支出(万元),6,6,4,503,504,502,0,8,66,2,,148,91,118,31,58,171,41,
非流动资产处置损失(万元),,,,,,,,,,,,133,,71,7,55,166,8,
利润总额(万元),10362,7480,4628,20231,15095,10461,5802,17903,13385,9263,4372,15860,11723,13360,7893,16296,12520,11255,
所得税费用(万元),1574,1154,707,2858,2265,1448,862,2592,1990,1309,669,2198,1568,2063,1108,2286,1857,1740,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,
净利润(万元),8788,6326,3921,17372,12830,9013,4940,15312,11395,7954,3703,13663,10155,11297,6784,14009,10664,9514,
归属于母公司所有者的净利润(万元),8586,6224,3841,16098,11864,8249,4678,14989,11253,7804,3567,12627,9401,10660,6449,13642,10558,9574,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,
少数股东损益(万元),202,102,80,1274,966,764,262,323,142,150,136,1035,754,637,335,368,106,-60,
基本每股收益,0.41,0.3,0.26,1.08,0.79,0.55,0.44,1.82,1.41,0.98,0.45,1.58,1.18,1.33,0.81,1.73,1.33,1.2,
稀释每股收益,0.41,0.3,0.23,1.08,0.79,0.55,0.44,1.82,1.41,0.98,0.45,1.58,1.18,1.33,0.81,1.73,1.33,1.2,
