报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),121145,75315,26825,115522,81204,56817,27044,106664,56264,116024,87109,76092,
营业收入(万元),121145,75315,26825,115522,81204,56817,27044,106664,56264,116024,87109,76092,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),96640,58274,22614,94094,68490,47129,22255,87089,44868,92920,75150,65807,
营业成本(万元),81645,49326,19309,80160,57935,39772,18607,73339,38276,81079,66288,57788,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),6277,3686,1233,6202,4355,2901,1578,5310,2380,,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),618,380,119,682,502,347,176,744,341,919,781,617,
销售费用(万元),2451,1462,338,2354,1358,1189,317,1857,990,1313,262,583,
管理费用(万元),5309,3313,1349,3991,2873,1920,910,4873,2029,7685,6753,6199,
财务费用(万元),340,106,266,705,1467,999,667,967,479,926,369,336,
资产减值损失(万元),,,,,,,,,373,998,698,283,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),349,330,123,-46,-155,-139,-58,-219,-57,-107,0,,
对联营企业和合营企业的投资收益(万元),349,330,123,-46,-155,-139,-58,-219,-57,-107,0,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),24720,17066,5114,29403,13298,10001,4513,19647,11491,23247,12186,10729,
营业外收入(万元),1037,1014,164,1916,498,498,127,1519,35,59,42,30,
营业外支出(万元),42,41,21,18,14,2,0,75,33,144,63,70,
非流动资产处置损失(万元),,,,,,,,,,,,,
利润总额(万元),25715,18039,5258,31300,13782,10496,4640,21091,11493,23162,12165,10688,
所得税费用(万元),3574,2360,741,4054,1612,1277,564,2612,1624,3204,1605,2114,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),22140,15679,4516,27246,12170,9220,4075,18479,9869,19958,10560,8574,
归属于母公司所有者的净利润(万元),21731,15444,4425,26881,11943,9059,4021,18150,9691,19596,10370,8458,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),410,235,92,365,227,161,55,328,178,362,191,116,
基本每股收益,1.09,0.84,0.25,1.55,0.69,0.52,0.23,1.05,0.56,1.13,0.6,0.49,
稀释每股收益,1.09,0.84,0.25,1.55,0.69,0.52,0.23,1.05,0.56,1.13,0.6,0.49,
