报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,
营业总收入(万元),116648,74079,32031,115735,83215,61415,30599,92864,77346,60410,46633,34628,44010,53804,
营业收入(万元),116648,74079,32031,115735,83215,61415,30599,92864,77346,60410,46633,34628,44010,53804,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),99820,62205,25966,97360,70750,51621,24727,78273,65749,54542,44666,32693,43765,52668,
营业成本(万元),91853,57905,24359,87379,63686,47043,22878,69730,55911,45983,38354,28392,38000,45309,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),3375,1663,376,3734,2712,1719,546,2695,2219,1789,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),536,383,160,448,320,206,113,494,727,462,228,189,134,164,
销售费用(万元),1460,859,434,2292,1484,989,496,2225,2349,2176,2018,1253,2068,2334,
管理费用(万元),2416,1247,594,3486,2545,1664,652,2976,2787,3221,3617,2356,3370,4091,
财务费用(万元),180,147,44,20,3,-1,41,35,1203,492,142,131,588,572,
资产减值损失(万元),,,,,,,,119,555,419,307,372,-394,198,
公允价值变动收益(万元),,,,,,,,,,,,,,,
投资收益(万元),,,,,,,,,572,,,,,31,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),15881,11531,5546,18667,12565,9321,5732,14622,12198,5868,1967,1935,245,1167,
营业外收入(万元),914,46,1,855,769,79,64,265,513,46,11,11,39,24,
营业外支出(万元),1,1,,25,0,0,,4,1048,18,1,1,4,0,
非流动资产处置损失(万元),,,,,,,,,,,,1,0,0,
利润总额(万元),16794,11576,5547,19498,13335,9401,5796,14883,11663,5896,1977,1945,280,1191,
所得税费用(万元),2885,2141,905,3545,2548,1869,1024,2933,2210,1218,270,265,131,178,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),13910,9435,4643,15953,10787,7532,4772,11951,9453,4679,1707,1680,149,1013,
归属于母公司所有者的净利润(万元),13696,9311,4575,15620,10535,7359,4687,11597,9213,4537,1707,1680,149,1013,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),213,124,68,333,252,173,85,354,240,142,,,,,
基本每股收益,2.03,1.43,0.66,2.4,1.62,1.13,0.72,1.78,1.57,0.86,0.34,0.34,0.03,0.26,
稀释每股收益,2.03,1.43,0.66,2.4,1.62,1.13,0.72,1.78,1.57,0.86,,0.34,0.03,0.26,
