报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),318640,210883,352853,250234,276585,234688,107762,205375,184432,166714,
营业收入(万元),,210883,352853,,276585,234688,107762,205375,184432,166714,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),,197943,330949,,259006,222117,102972,196539,181894,164478,
营业成本(万元),,142546,228828,,172092,147537,68331,126472,115178,104663,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),,,,,,,,,,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),,647,1552,,1898,1737,767,1570,1743,1616,
销售费用(万元),,48966,88840,,75194,62852,30231,60518,57625,51592,
管理费用(万元),,5274,10614,,7965,8343,2785,6454,5743,4627,
财务费用(万元),,509,1115,,877,982,350,1031,1033,1594,
资产减值损失(万元),,,,,981,666,507,494,571,387,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),,20,6,,16,43,,20,26,33,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),19407,12143,22145,16445,17882,12831,4820,8856,2564,2269,
营业外收入(万元),,1695,403,,320,286,131,640,481,532,
营业外支出(万元),,395,693,,186,169,83,260,258,151,
非流动资产处置损失(万元),,,,,,,1,23,15,71,
利润总额(万元),20639,13443,21855,16286,18015,12947,4867,9235,2787,2650,
所得税费用(万元),,2395,5214,,4746,3577,948,1973,1118,1087,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),,11048,16641,,13269,9371,3919,7262,1669,1563,
归属于母公司所有者的净利润(万元),17109,11118,16825,12405,13363,9488,3965,7456,1797,1735,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,-70,-184,,-93,-117,-46,-194,-128,-172,
基本每股收益,4.3,2.8,4.23,3.12,3.36,2.39,1,1.88,0.45,0.44,
稀释每股收益,,2.8,4.23,,3.36,2.39,1,1.88,0.45,0.44,
