报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),87511,47922,23266,52084,43541,24472,13550,47488,35835,23784,10162,49615,30419,19561,10419,46514,31367,23763,44201,40600,40743,39039,19179,34735,28332,26208,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),63,,,,,,,,,,,,,,,,,,,,,,,,28,72,
收到的其他与经营活动有关的现金(万元),1228,335,56,1404,331,218,30,546,294,202,131,663,302,166,133,94,69,60,509,888,337,259,63,243,323,44,
经营活动现金流入小计(万元),88802,48257,23321,53488,43872,24690,13580,48033,36129,23986,10292,50278,30721,19726,10552,46608,31436,23822,44710,41488,41080,39299,19242,34978,28683,26324,
购买商品、接受劳务支付的现金(万元),69229,42718,17628,31306,25898,12776,6659,29710,24930,16798,8314,34067,19511,11836,6556,28586,20269,14851,26535,25021,23223,25365,12325,25754,18480,18661,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6949,4587,3036,8197,6914,4929,2964,8231,6521,4610,2199,7535,5657,3732,1780,6886,5382,3793,6302,6136,5107,3507,1976,2685,2443,2169,
支付的各项税费(万元),3205,2001,915,3205,2333,1488,572,2905,2342,1521,406,2842,2342,1888,859,3354,2412,1529,3006,3193,3521,2433,1436,2325,2255,1564,
支付的其他与经营活动有关的现金(万元),1784,587,307,2225,704,497,213,1996,747,533,458,1707,587,380,603,1473,820,653,1574,1637,1776,1610,886,1614,1307,1216,
经营活动现金流出小计(万元),81167,49894,21885,44933,35849,19689,10408,42842,34540,23462,11377,46152,28096,17836,9797,40299,28883,20826,37416,35987,33627,32915,16624,32378,24484,23610,
经营活动产生的现金流量净额(万元),7635,-1637,1436,8555,8023,5001,3172,5191,1589,525,-1085,4127,2624,1890,754,6310,2553,2996,7294,5501,7453,6384,2619,2600,4199,2714,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),144,142,142,221,221,221,0,518,518,259,259,290,,,,529,239,239,577,212,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),38,25,25,132,112,112,112,11,4,0,,39,36,36,,2,2,0,91,9,12,1,,3,2,10,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,37,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,2061,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),182,167,167,353,333,333,112,528,522,259,259,328,36,36,0,532,241,239,668,221,12,1,0,3,2,2109,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1751,785,493,3735,2181,1488,265,3810,2198,1326,494,4292,2948,995,302,1328,1029,876,1670,2889,7773,6275,765,3141,1160,2478,
投资所支付的现金(万元),3852,5355,1500,,3000,,,2500,1000,,,,,,,,,,,,3898,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),7154,,,5991,,,,,,,,,,,,,,,,,,,,,,1302,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,1,,,,0,230,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),12756,6140,1993,9726,5181,1488,265,6310,3198,1326,494,4292,2948,995,302,1328,1029,876,1670,2889,11672,6275,765,3141,1160,4011,
投资活动产生的现金流量净额(万元),-12574,-5973,-1826,-9373,-4849,-1155,-154,-5782,-2676,-1067,-236,-3963,-2911,-959,-302,-797,-788,-636,-1002,-2668,-11660,-6274,-765,-3138,-1158,-1902,
吸收投资收到的现金(万元),,,,,,,,1212,,,,17850,16880,16880,,200,200,200,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,1212,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),13716,5000,,14871,5000,4000,1000,11144,6189,4000,,11078,7600,6600,1865,13895,10679,7179,20407,20075,20751,11952,3000,14000,14769,10358,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),2560,2560,960,5000,,,,,0,0,,,970,970,,,,,,,,,120,,,1000,
筹资活动现金流入小计(万元),16276,7560,960,19871,5000,4000,1000,12356,6189,4000,0,28928,25450,24450,1865,14095,10879,7379,20407,20075,20751,11952,3120,14000,14769,11358,
偿还债务支付的现金(万元),1699,1499,1499,16044,7189,5000,4000,6963,6100,5100,1500,22085,17667,6705,1600,18308,12226,9873,22657,20737,17814,9275,3500,13142,11083,9105,
