报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),88199,50079,24406,76311,52231,36920,19951,80669,52997,39082,19246,75853,52606,33389,65281,53924,38545,20040,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),775,754,554,5609,4251,,161,150,,,,252,252,208,128,84,201,457,
收到的其他与经营活动有关的现金(万元),838,1536,262,3701,3632,1572,581,5354,6238,5750,1100,399,408,128,1477,219,433,418,
经营活动现金流入小计(万元),89812,52368,25222,85621,60114,38492,20693,86174,59236,44832,20346,76504,53265,33725,66886,54228,39180,20915,
购买商品、接受劳务支付的现金(万元),76651,43141,18484,73420,46539,27716,12457,74741,50300,32721,23694,50608,35906,20479,42447,37092,25740,17889,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),15533,9884,4718,16279,11660,7641,3759,13432,10109,7111,3795,11579,8683,5952,10273,7747,5277,4130,
支付的各项税费(万元),1748,1272,389,2321,2492,1542,586,7821,7836,6138,3720,10496,6910,2849,6022,4599,3354,1844,
支付的其他与经营活动有关的现金(万元),6828,4909,1674,2363,5055,2899,1283,4286,6498,9010,2474,4024,4016,2020,3821,3672,1361,1253,
经营活动现金流出小计(万元),100759,59206,25265,94382,65746,39798,18084,100280,74742,54981,33684,76707,55515,31300,62563,53109,35732,25117,
