报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),42086,32417,18727,50849,40172,29626,12943,45075,34786,12320,25312,38650,25923,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,
收到的税费返还(万元),464,300,158,342,49,49,49,1015,932,592,181,2,26,
收到的其他与经营活动有关的现金(万元),992,846,702,779,508,392,265,750,408,153,412,288,67,
经营活动现金流入小计(万元),43542,33563,19587,51970,40730,30068,13257,46839,36126,13065,25905,38940,26016,
购买商品、接受劳务支付的现金(万元),15400,11193,6153,21551,14419,11078,5378,22721,15386,5995,14969,20920,14834,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6873,4368,2167,9311,6771,4509,2091,7333,5345,1621,5396,3279,2500,
支付的各项税费(万元),2680,1858,1242,3941,2562,1782,1181,3585,2695,1649,1990,3197,2124,
支付的其他与经营活动有关的现金(万元),3192,1891,1097,4047,2783,1889,937,3974,2567,827,2918,1944,1935,
经营活动现金流出小计(万元),28146,19310,10660,38849,26535,19258,9587,37613,25993,10092,25274,29341,21393,
经营活动产生的现金流量净额(万元),15396,14254,8927,13121,14195,10810,3670,9227,10133,2973,631,9600,4624,
收回投资所收到的现金(万元),,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,,,11,9,11,,105,92,5,1,3,18,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),519,311,106,143,359,216,,26,,,,,22,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),519,311,106,154,368,227,0,131,92,5,1,3,39,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1104,453,227,5841,5489,4913,1835,3295,2541,1087,5404,1937,1383,
投资所支付的现金(万元),,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,500,,,
支付的其他与投资活动有关的现金(万元),65072,61400,56900,360,360,143,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,
投资活动现金流出小计(万元),66176,61853,57127,6202,5849,5056,1835,3295,2541,1087,5904,1937,1383,
投资活动产生的现金流量净额(万元),-65658,-61542,-57021,-6047,-5481,-4829,-1835,-3164,-2448,-1082,-5904,-1934,-1343,
吸收投资收到的现金(万元),52863,52863,52863,,,,,10000,10000,10000,,3810,2150,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,310,,
取得借款收到的现金(万元),,,,2000,2000,2000,2000,2000,2000,2000,8000,5000,,
发行债券收到的现金(万元),,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,2540,198,1410,
筹资活动现金流入小计(万元),52863,52863,52863,2000,2000,2000,2000,12000,12000,12000,10540,9008,3560,
偿还债务支付的现金(万元),,,,2000,2000,2000,,8000,8000,2000,7000,,,
分配股利、利润或偿付利息所支付的现金(万元),2430,2430,,13,13,13,,4564,4564,490,5620,5472,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,50,,,,200,,,157,583,3808,
筹资活动现金流出小计(万元),2430,2430,0,2063,2013,2013,0,12764,12564,2490,12776,6054,3808,
筹资活动产生的现金流量净额(万元),50433,50433,52863,-63,-13,-13,2000,-764,-564,9510,-2237,2954,-248,
汇率变动对现金及现金等价物的影响(万元),388,20,-241,100,151,-162,-386,-422,-247,-18,465,268,19,
现金及现金等价物净增加额(万元),559,3164,4529,7111,8852,5807,3449,4877,6874,11382,-7044,10887,3051,
加:期初现金及现金等价物余额(万元),19545,19545,19545,12434,12434,12434,12434,7557,7557,7557,14600,3713,662,
期末现金及现金等价物余额(万元),20104,22709,24074,19545,21286,18241,15883,12434,14431,18939,7557,14600,3713,
净利润(万元),,6305,,12601,8579,4335,,9893,5434,2133,6642,6353,8107,
少数股东损益(万元),,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,
资产减值准备(万元),,-356,,646,-51,-372,,267,-12,-57,280,-54,527,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,669,,1208,881,568,,954,689,224,522,330,216,
