报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
销售商品、提供劳务收到的现金(万元),4998759,3160251,1564538,5921881,4428717,2796714,1363127,5407545,3962029,2560478,1147670,3889433,2313535,1506285,767905,2524839,1784170,1027411,523676,2261922,1630985,1025793,440677,1996151,,,1798059,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),210633,138367,77052,140874,125740,100631,69661,150076,125748,101989,47812,131783,110224,48244,8572,135080,123335,83495,33001,160017,126095,89309,69593,129875,,,100874,,
收到的其他与经营活动有关的现金(万元),185601,83229,37172,212571,113583,72503,26282,75209,57466,39283,17833,105909,52713,15335,12399,67872,51977,32568,20001,79797,44717,31586,27824,1056001,,,49851,,
经营活动现金流入小计(万元),5394993,3381848,1678762,6275327,4668040,2969848,1459070,5632830,4145243,2701750,1213314,4127125,2476473,1569864,788876,2727791,1959482,1143474,576678,2501736,1801797,1146689,538094,3182026,1326200,2184100,1948785,2034100,
