报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),25116,13355,7911,32339,23593,18846,12449,29144,19134,11740,4971,14099,9909,5806,2841,11927,6398,9267,4569,2086,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),662,,,3,3,3,3,3,54,54,,,0,,,,,,,,
收到的其他与经营活动有关的现金(万元),467,197,136,326,293,241,99,815,541,444,457,547,484,93,58,1223,100,153,113,56,
经营活动现金流入小计(万元),26245,13552,8048,32667,23889,19090,12551,29961,19729,12237,5427,14646,10393,5899,2899,13150,6498,9420,4682,2142,
购买商品、接受劳务支付的现金(万元),10805,8524,7325,9966,8889,9778,9751,13860,7826,4338,3097,6451,4209,2925,1937,4940,2584,3946,2140,428,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4327,2942,1682,7531,5979,4536,2598,5078,3342,2081,1096,3153,2301,1493,813,2584,1364,1975,1194,747,
支付的各项税费(万元),1112,779,502,4413,3983,2862,1096,2549,1755,1360,697,2704,1906,1188,551,1980,924,1218,947,404,
支付的其他与经营活动有关的现金(万元),1108,727,367,1574,1133,739,825,2064,1461,971,544,1546,1273,776,462,1227,639,976,700,1364,
经营活动现金流出小计(万元),17352,12973,9876,23484,19984,17915,14270,23552,14383,8749,5434,13855,9688,6382,3763,10731,5511,8116,4981,2942,
经营活动产生的现金流量净额(万元),8893,579,-1829,9183,3905,1176,-1719,6409,5346,3488,-7,791,705,-483,-864,2419,988,1305,-300,-800,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,24,2,4,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,-1,0,,,,,0,,,366,360,360,,990,,,2,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,25,25,,,,
收到的其他与投资活动有关的现金(万元),9380,7880,6200,2200,16009,14500,,,0,600,600,300,200,1000,900,1100,1570,,800,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),9380,7880,6198,2200,16009,14500,0,0,0,600,600,666,560,1360,900,2115,1595,24,804,4,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7144,3733,2226,13220,10924,8416,2679,8508,5847,3781,498,3699,3998,2567,1453,3092,1478,2549,968,1050,
投资所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),3200,3200,1714,1780,11676,9400,400,6162,11788,3338,,,0,2000,,,,1977,23,800,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),10344,6933,3940,15000,22600,17816,3079,14670,17635,7119,498,3699,3998,4567,1453,3092,1478,4527,991,1850,
投资活动产生的现金流量净额(万元),-964,947,2258,-12800,-6591,-3316,-3079,-14670,-17635,-6519,102,-3033,-3438,-3207,-553,-977,117,-4502,-187,-1846,
吸收投资收到的现金(万元),,,,,,,,17587,17587,17587,,,0,,,,,4291,10,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,10,,
取得借款收到的现金(万元),15900,100,,2700,2000,2000,,2000,2000,2000,,3000,3000,3000,1000,50,50,200,1000,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),15900,100,0,2700,2000,2000,0,19587,19587,19587,0,3000,3000,3000,1000,50,50,4491,1010,0,
偿还债务支付的现金(万元),1600,1600,500,1100,100,100,100,4900,4900,3000,1000,,0,,,250,200,1000,,600,
分配股利、利润或偿付利息所支付的现金(万元),977,962,21,1105,1078,1052,1,518,517,513,485,433,401,367,0,7,6,647,2,6,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,738,738,738,,,0,,,,,,,,
筹资活动现金流出小计(万元),2577,2562,521,2205,1178,1152,101,6157,6156,4251,1485,433,401,367,0,257,206,1647,2,606,
筹资活动产生的现金流量净额(万元),13323,-2462,-521,495,822,848,-101,13430,13431,15336,-1485,2567,2599,2633,1000,-207,-156,2844,1008,-606,
汇率变动对现金及现金等价物的影响(万元),-32,-6,,1,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),21221,-943,-91,-3119,-1865,-1292,-4899,5170,1142,12304,-1389,324,-133,-1057,-417,1236,949,-353,521,-3252,
加:期初现金及现金等价物余额(万元),4176,4176,4176,7296,7296,7296,7296,2126,2126,2126,2126,1802,1802,1802,1802,566,566,919,398,3651,
期末现金及现金等价物余额(万元),25397,3233,4085,4176,5431,6003,2397,7296,3268,14430,737,2126,1668,745,1385,1802,1515,566,919,398,
净利润(万元),,632,,3713,,6557,,8613,,1922,,3792,,1366,,3349,,2955,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-365,,3968,,730,,400,,48,,354,,287,,276,,183,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1096,,1944,,901,,1078,,474,,761,,364,,519,,322,,,
无形资产摊销(万元),,38,,62,,24,,31,,16,,28,,12,,16,,8,,,
长期待摊费用摊销(万元),,57,,103,,66,,38,,11,,15,,7,,22,,13,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,,,,-133,,-133,,-125,,1,,,
固定资产报废损失(万元),,1,,1,,,,6,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,24,,67,,16,,51,,48,,91,,20,,6,,21,,,
投资损失(万元),,,,,,,,,,0,,,,,,-2,,-0,,,
递延所得税资产减少(万元),,5,,-527,,-104,,-106,,-83,,-63,,-43,,-159,,-44,,,
递延所得税负债增加(万元),,,,,,,,,,0,,,,,,,,,,,
存货的减少(万元),,275,,-3389,,-4599,,-2669,,-71,,-112,,-373,,-1192,,-1686,,,
经营性应收项目的减少(万元),,-138,,-8085,,-6865,,-5926,,674,,-4796,,-2216,,-1364,,-1871,,,
经营性应付项目的增加(万元),,-1047,,11327,,4451,,4894,,448,,854,,224,,1073,,1403,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,579,,9183,,1176,,6409,,3488,,791,,-483,,2419,,1305,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),25397,3233,4085,4176,5431,6003,2397,7296,3268,14430,737,2126,1668,745,1385,1802,1515,566,919,398,
现金的期初余额(万元),4176,4176,4176,7296,7296,7296,7296,2126,2126,2126,2126,1802,1802,1802,1802,566,566,919,398,3651,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),21221,-943,-91,-3119,-1865,-1292,-4899,5170,1142,12304,-1389,324,-133,-1057,-417,1236,949,-353,521,-3252,

