报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),48890,31002,14097,49973,34787,23661,9381,33301,23095,15874,7106,34126,23193,15517,6961,34344,24866,33585,20460,,16572,7320,,20677,7361,20159,16507,12719,12372,12890,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
收到的税费返还(万元),1677,1244,438,,,,,,,0,0,182,182,118,70,479,410,284,164,,312,66,,7,2,2,0,1,0,0,
收到的其他与经营活动有关的现金(万元),892,448,153,764,294,217,184,181,688,558,251,1305,1210,55,17,171,98,352,469,,599,149,,212,116,471,752,1180,2270,1177,
经营活动现金流入小计(万元),51460,32695,14688,50737,35081,23879,9566,33481,23783,16432,7357,35613,24585,15691,7048,34994,25373,34221,21093,,17484,7536,,20896,7479,20633,17259,13899,14642,14067,
购买商品、接受劳务支付的现金(万元),22589,13976,6850,17502,14620,8052,2930,16896,12852,7804,3707,14990,11512,6404,2970,14645,11486,17857,12396,,7360,3189,,12423,5172,10028,8143,6855,7554,7477,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
支付给职工以及为职工支付的现金(万元),15494,10613,5015,14369,10026,6528,2617,11501,8802,5993,2588,10933,7795,5008,2058,9304,6994,8278,6511,,5627,2610,,5073,2599,3956,3029,2234,1788,1550,
支付的各项税费(万元),3009,2088,585,3533,2499,1505,467,2540,2059,1110,429,3894,2718,1787,616,2638,1815,2557,2046,,1607,617,,1417,860,1331,1569,900,1459,819,
支付的其他与经营活动有关的现金(万元),6510,3910,1981,6310,3847,1717,1905,4588,2955,2125,1503,4097,3081,2188,1261,4082,4454,3766,3273,,2652,1745,,3240,2010,2597,3094,3143,3356,675,
经营活动现金流出小计(万元),47601,30587,14432,41715,30991,17802,7918,35526,26667,17032,8227,33915,25107,15386,6905,30669,24749,32458,24225,,17246,8161,,22153,10642,17912,15836,13133,14156,10521,
经营活动产生的现金流量净额(万元),3859,2108,256,9021,4090,6076,1647,-2044,-2884,-600,-871,1698,-521,304,143,4324,625,1763,-3132,-2260,238,-625,-516,-1257,-3163,2720,1423,766,486,3546,
收回投资所收到的现金(万元),225,225,200,2000,,,,42000,,,,,,,,1000,1000,,,,,,,,,0,0,0,0,0,
取得投资收益所收到的现金(万元),97,75,35,62,62,62,52,156,79,0,,38,34,20,16,55,53,4,,,,,,,,0,0,0,1,2,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,,1,0,,,,,,,,,,,8,,,60,,,,,,,7,3,1,3,230,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
投资活动现金流入小计(万元),322,300,235,2062,62,62,52,42156,79,0,0,38,34,20,16,1063,1053,4,60,,0,,,0,0,7,3,1,4,232,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1561,1028,793,6593,3879,2926,1936,6284,3641,2070,1230,8961,5154,4661,2421,2308,1792,1265,412,,734,574,,3323,627,2375,884,317,709,1530,
投资所支付的现金(万元),,,,2000,26000,15600,4600,42000,,0,,,1500,1500,1500,,,1000,,,,,,,,0,0,50,0,50,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
取得子公司及其他营业单位支付的现金净额(万元),,,,24756,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
投资活动现金流出小计(万元),1561,1028,793,33349,29879,18526,6536,48284,3641,2070,1230,8961,6654,6161,3921,2308,1792,2265,412,,734,574,,3323,627,2375,884,367,709,1580,
投资活动产生的现金流量净额(万元),-1239,-728,-559,-31287,-29817,-18465,-6484,-6128,-3562,-2070,-1230,-8922,-6620,-6141,-3905,-1245,-739,-2261,-352,-55,-734,-574,-333,-3323,-627,-2368,-880,-366,-705,-1348,
吸收投资收到的现金(万元),390,,,1863,,,,16785,18865,18865,18865,,,,,,,6336,2224,,,,,,,3180,217,0,0,0,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
取得借款收到的现金(万元),12994,5323,200,37369,32649,8649,1330,4800,1800,600,100,12108,7108,4040,522,5500,3500,6400,8510,,6573,3718,,4155,1111,500,4500,2500,2000,1000,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,1970,0,0,0,0,
收到其他与筹资活动有关的现金(万元),,,,600,600,,,674,,,,,,,,,,,678,,,,,54,,27,0,13,0,2930,
筹资活动现金流入小计(万元),13384,5323,200,39831,33249,8649,1330,22258,20665,19465,18965,12108,7108,4040,522,5500,3500,12736,11412,,6573,3718,,4209,1111,5677,4717,2513,2000,3930,
偿还债务支付的现金(万元),16402,9229,1591,11076,9914,600,100,6208,5708,2140,1000,4900,3800,900,0,6250,5350,7250,7500,,4875,2655,,500,,3500,3500,2000,1000,2533,
分配股利、利润或偿付利息所支付的现金(万元),2033,1552,501,1659,1155,900,155,1380,977,902,76,360,282,188,8,365,280,606,458,,411,117,,247,7,1017,1766,944,295,173,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
支付其他与筹资活动有关的现金(万元),411,129,64,529,452,74,,,1967,1967,1939,119,58,2,77,175,71,1150,683,,,,,63,2,81,0,0,10,2554,
筹资活动现金流出小计(万元),18845,10910,2157,13264,11520,1574,255,7588,8652,5009,3015,5379,4140,1090,85,6790,5701,9006,8641,,5286,2772,,811,9,4598,5266,2944,1305,5260,
筹资活动产生的现金流量净额(万元),-5461,-5587,-1957,26567,21728,7075,1075,14670,12013,14456,15950,6729,2968,2950,437,-1290,-2201,3730,2771,825,1287,946,-455,3399,1102,1079,-549,-430,695,-1330,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
现金及现金等价物净增加额(万元),-2841,-4207,-2259,4301,-3999,-5314,-3762,6497,5568,11786,13849,-495,-4174,-2886,-3325,1789,-2315,3232,-714,,790,-252,,-1181,-2688,1431,-6,-30,476,868,
加:期初现金及现金等价物余额(万元),17457,17457,17457,13156,14400,13156,13156,6659,6659,6659,6659,7154,7154,7154,7154,5365,5365,2133,2847,,2057,2057,,3237,3237,1807,1813,1842,1366,499,
