报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),302929,161830,62521,277346,187580,117035,54850,198932,133467,79275,32124,146302,101337,48645,112219,15227,112023,82652,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2064,1463,762,2735,1440,996,8064,1279,684,769,5097,2546,757,1995,1458,444,1551,1211,
经营活动现金流入小计(万元),304993,163293,63283,280081,189020,118031,62914,200212,134151,80044,37221,148848,102094,50639,113677,15672,113574,83863,
购买商品、接受劳务支付的现金(万元),231080,150452,67752,198753,139898,100321,46583,127027,84968,52652,26459,85526,64128,41255,72503,17906,77767,61561,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),30483,20932,12540,30132,21153,13239,7723,21469,16026,10900,6762,15084,11202,7773,11507,3106,8214,5559,
支付的各项税费(万元),22035,13647,3686,17489,14583,9191,2746,18095,12446,8472,3211,18303,13944,7744,12288,1326,9376,6170,
支付的其他与经营活动有关的现金(万元),31107,16346,10368,53554,23844,16295,13865,23629,20877,10707,14310,18551,13466,7568,15743,2731,12444,14295,
经营活动现金流出小计(万元),314706,201377,94346,299927,199477,139046,70918,190220,134317,82731,50742,137464,102740,64340,112040,25069,107800,87585,
经营活动产生的现金流量净额(万元),-9713,-38084,-31063,-19846,-10457,-21015,-8004,9992,-166,-2687,-13521,11384,-646,-13701,1636,-9397,5774,-3722,
收回投资所收到的现金(万元),85300,64300,58300,153400,83800,20800,,6000,6000,6000,2000,12980,12980,9480,25000,11000,5066,,
取得投资收益所收到的现金(万元),2886,2577,2499,1927,1266,236,,55,107,88,56,50,50,144,109,45,52,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),39,29,13,478,325,471,,31,16,16,1,30,16,16,46,,11,10,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,51,66,51,45,330,,,,,28,69,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),88225,66906,60812,155804,85392,21506,0,6137,6189,6155,2102,13391,13046,9640,25155,11045,5156,79,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),38754,28893,15624,34460,25164,16617,4945,18614,15187,12758,4001,24642,15616,6388,10516,1535,7612,5067,
投资所支付的现金(万元),41875,24300,21300,216858,205758,128800,15000,3000,3000,3000,3000,12980,9980,6480,23000,3000,11066,2000,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,1100,
支付的其他与投资活动有关的现金(万元),,,,,,,,1807,429,926,,345,13,116,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),80629,53193,36924,251318,230922,145417,19945,23421,18616,16684,7001,37967,25608,12984,33516,4535,18678,8167,
