报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),24898,16018,8294,45606,30082,20448,7243,28534,12659,28969,20142,4692,21250,21857,11241,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2462,1570,662,2754,2285,1358,568,776,320,664,495,64,327,430,1209,
经营活动现金流入小计(万元),27360,17588,8956,48361,32367,21806,7811,29310,12980,29633,20637,4756,21577,22287,12450,
购买商品、接受劳务支付的现金(万元),20635,13380,7308,19877,15445,11649,3801,14934,6351,13234,6710,1650,11135,11428,8279,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5285,3776,931,4352,3994,2319,1350,3542,2041,2931,2299,664,2241,1700,1118,
支付的各项税费(万元),3553,3136,768,5636,4638,3470,446,4345,2207,4657,4347,1266,2705,2636,716,
支付的其他与经营活动有关的现金(万元),6050,4748,3840,6837,5270,2271,787,4263,1629,3931,2964,752,2781,2894,1517,
经营活动现金流出小计(万元),35523,25040,12846,36702,29347,19709,6385,27084,12228,24754,16320,4332,18861,18658,11630,
经营活动产生的现金流量净额(万元),-8163,-7452,-3890,11659,3020,2097,1426,2226,752,4879,4317,424,2716,3629,820,
收回投资所收到的现金(万元),43337,17500,,59000,32500,23000,,33579,27475,50510,66804,,11471,,,
取得投资收益所收到的现金(万元),62,59,51,292,90,90,13,133,96,164,257,,95,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),62,0,0,15,6,2,,100,20,93,41,1,5,,6,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,
