报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),63296,46108,95804,99704,89303,89702,
客户存款和同业存放款项净增加额(万元),,,,,,,
向中央银行借款净增加额(万元,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,
收到再保险业务现金净额(万元),,,,,,,
保户储金及投资款净增加额(万元),,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,
拆入资金净增加额(万元),,,,,,,
回购业务资金净增加额(万元),,,,,,,
收到的税费返还(万元),929,397,2035,1086,386,2958,
收到的其他与经营活动有关的现金(万元),390,189,678,393,67,4090,
经营活动现金流入小计(万元),64615,46694,98518,101183,89755,96751,
购买商品、接受劳务支付的现金(万元),50043,30410,75316,70130,68808,79265,
客户贷款及垫款净增加额(万元),,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,
支付保单红利的现金(万元),,,,,,,
支付给职工以及为职工支付的现金(万元),5352,3455,6788,6306,5848,4723,
支付的各项税费(万元),2633,2161,3044,3354,4341,3471,
支付的其他与经营活动有关的现金(万元),4146,2757,4322,6155,3469,4020,
经营活动现金流出小计(万元),62174,38783,89470,85945,82465,91478,
经营活动产生的现金流量净额(万元),2442,7911,9047,15238,7290,5272,
收回投资所收到的现金(万元),6,,791,1607,10886,9361,
取得投资收益所收到的现金(万元),,,0,7,352,66,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,6,,1,,4,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,
收到的其他与投资活动有关的现金(万元),,,60,350,,5000,
减少质押和定期存款所收到的现金(万元),,,,,,,
投资活动现金流入小计(万元),12,6,852,1965,11238,14431,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9065,6825,11228,12895,3700,3695,
投资所支付的现金(万元),6,6,13,700,8283,16766,
质押贷款净增加额(万元),,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,
支付的其他与投资活动有关的现金(万元),162,14,320,236,144,,
增加质押和定期存款所支付的现金(万元),,,,,,,
投资活动现金流出小计(万元),9234,6845,11561,13831,12126,20461,
投资活动产生的现金流量净额(万元),-9222,-6839,-10709,-11866,-888,-6030,
吸收投资收到的现金(万元),,,,,,8750,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,
取得借款收到的现金(万元),21000,15000,17000,18929,15948,17500,
发行债券收到的现金(万元),,,,,,,
收到其他与筹资活动有关的现金(万元),,,,1031,873,400,
筹资活动现金流入小计(万元),21000,15000,17000,19960,16821,26650,
偿还债务支付的现金(万元),16450,13450,15348,17579,19500,12300,
分配股利、利润或偿付利息所支付的现金(万元),660,438,804,779,8168,5589,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,
支付其他与筹资活动有关的现金(万元),549,302,249,,,2305,
筹资活动现金流出小计(万元),17658,14190,16401,18357,27668,20193,
筹资活动产生的现金流量净额(万元),3342,810,599,1603,-10846,6457,
汇率变动对现金及现金等价物的影响(万元),82,27,18,-117,53,-38,
现金及现金等价物净增加额(万元),-3356,1909,-1045,4858,-4392,5662,
加:期初现金及现金等价物余额(万元),7457,7457,8503,3645,8037,2375,
期末现金及现金等价物余额(万元),4102,9366,7457,8503,3645,8037,
净利润(万元),,4390,8904,6379,8253,7242,
少数股东损益(万元),,,,,,,
未确认的投资损失(万元),,,,,,,
资产减值准备(万元),,275,208,431,1096,568,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1458,2513,2141,1957,1665,
无形资产摊销(万元),,147,294,277,237,236,
长期待摊费用摊销(万元),,110,220,220,183,,
待摊费用的减少(万元),,,,,,,
预提费用的增加(万元),,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,
固定资产报废损失(万元),,5,19,2,,20,
公允价值变动损失(万元),,26,,,,-223,
递延收益增加(减：减少)(万元),,,,,,,
预计负债(万元),,,,,,,
财务费用(万元),,435,748,929,729,766,
投资损失(万元),,14,51,-7,-31,-204,
递延所得税资产减少(万元),,27,-56,-319,-286,-3,
递延所得税负债增加(万元),,,,,,,
存货的减少(万元),,-60,1400,-898,1680,-4296,
经营性应收项目的减少(万元),,-790,456,1358,-13355,329,
经营性应付项目的增加(万元),,1874,-5709,4724,6828,-2542,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,
其他(万元),,,,,,1713,
经营活动产生现金流量净额(万元),,7911,9047,15238,7290,5272,
债务转为资本(万元),,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,
融资租入固定资产(万元),,,,,,,
现金的期末余额(万元),4102,9366,7457,8503,3645,8037,
现金的期初余额(万元),7457,7457,8503,3645,8037,2375,
现金等价物的期末余额(万元),,,,,,,
现金等价物的期初余额(万元),,,,,,,
现金及现金等价物的净增加额(万元),-3356,1909,-1045,4858,-4392,5662,

