报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),9491,7092,18431,12049,8165,21591,9430,7542,8242,5410,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),2573,2573,1185,1185,1185,,,,,,
收到的其他与经营活动有关的现金(万元),239,18,285,245,74,347,92,279,156,248,
经营活动现金流入小计(万元),12303,9683,19901,13480,9424,21938,9522,7821,8398,5657,
购买商品、接受劳务支付的现金(万元),4739,2793,5229,4357,2793,7064,3864,5229,5390,5584,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4112,2730,4694,3504,2401,3646,1737,2519,1763,1443,
支付的各项税费(万元),3017,1839,3639,3401,2119,3776,1969,1618,1634,1015,
支付的其他与经营活动有关的现金(万元),1075,668,1747,1317,744,1753,860,1535,958,703,
经营活动现金流出小计(万元),12943,8031,15308,12579,8057,16239,8428,10900,9745,8745,
经营活动产生的现金流量净额(万元),-640,1652,4592,901,1368,5699,1094,-3079,-1347,-3088,
收回投资所收到的现金(万元),,,,,,10000,6000,3700,,3110,
取得投资收益所收到的现金(万元),,,,,,68,44,16,389,6,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,20,8,,,,3,,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,1462,4540,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),0,0,20,8,0,10068,6044,3719,1850,7657,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),752,141,1664,1603,1224,1626,1197,1323,457,451,
投资所支付的现金(万元),,,,,,6000,2000,7200,500,3110,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,150,3229,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),752,141,1664,1603,1224,7626,3197,8523,1107,6790,
投资活动产生的现金流量净额(万元),-752,-141,-1644,-1595,-1224,2442,2847,-4805,743,867,
吸收投资收到的现金(万元),,,158,131,131,,,13500,4563,,
其中：子公司吸收少数股东投资收到的现金(万元),,,158,131,131,,,,,,
