报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2011-09-30,
销售商品、提供劳务收到的现金(万元),735679,482886,248550,879752,724852,494539,252053,896056,690959,452149,236782,873328,679298,434101,202293,742101,540370,417761,563183,451238,402187,,313899,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),959,780,225,2095,1283,399,129,1126,761,366,132,637,756,57,296,1260,421,975,131,93,447,,365,,
收到的其他与经营活动有关的现金(万元),92698,169251,129738,76712,119272,66338,93546,77439,207518,42063,73878,81355,22583,20368,152947,118421,99004,14425,97373,31393,15838,,31713,,
经营活动现金流入小计(万元),829337,652917,378513,958559,845407,561276,345729,974622,899238,494577,310792,955319,702637,454526,355536,861783,639795,433161,660687,482723,418473,,345978,,
购买商品、接受劳务支付的现金(万元),527186,349384,163991,672389,496467,320947,149185,635969,436034,270478,126420,596382,440569,314922,57513,514262,366067,302862,424429,260773,268412,,122941,,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),51711,35795,19552,79027,52230,36707,23107,64156,48907,34337,20657,60192,40230,31497,18079,55272,40468,28435,51331,41548,32568,,24203,,
支付的各项税费(万元),58378,43815,14123,63605,53114,37859,15453,60580,49716,31954,10421,59625,50413,28339,13008,56092,39875,26586,39126,39863,33776,,41093,,
支付的其他与经营活动有关的现金(万元),61495,48059,18652,87205,58703,31220,19530,66646,53791,55314,33180,203845,137478,33735,33395,35038,33056,11096,46461,27921,47261,,45662,,
经营活动现金流出小计(万元),698770,477052,216318,902226,660515,426733,207276,827351,588448,392082,190678,920045,668690,408494,121996,660665,479466,368979,561346,370106,382017,,233899,,
经营活动产生的现金流量净额(万元),130567,175865,162195,56332,184892,134543,138453,147271,310790,102495,120114,35275,33947,46032,233541,201118,160329,64182,99341,112618,36456,53707,112079,106923,
收回投资所收到的现金(万元),218937,213018,21428,482378,257878,254569,694,257222,4264,4091,,18500,18000,18000,,,,,407,,37,,,,
取得投资收益所收到的现金(万元),6890,3862,96,12280,7405,5488,81,18873,16134,1296,60,7253,7067,6764,358,3765,3690,3043,3682,2631,1344,,1274,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),39,6,0,62,7,3,2,217,127,124,49,11,4,2,1,349,306,120,47,10,123,,31,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,783,,
收到的其他与投资活动有关的现金(万元),1,,,23950,24265,1143,58,9196,6310,1157,809,3033,378,355,,5795,331,234,33547,8096,5729,,8531,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),225867,216886,21524,518670,289556,261202,835,285508,26835,6668,918,28798,25449,25120,358,9908,4327,3397,37683,10737,7233,,10618,,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9890,7343,4347,26992,20723,14962,7836,59467,30368,20371,7535,51539,28526,19161,4544,46568,39150,13526,50181,66905,43422,,67240,,
投资所支付的现金(万元),363293,207374,155584,524228,468100,307400,250000,277758,273273,12575,3575,10421,7830,7830,5000,41925,2620,2000,342,50,1091,,3401,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,6854,,
支付的其他与投资活动有关的现金(万元),,,,4122,143,,,4397,4816,4000,4000,1000,1000,1000,,,,200,302,,206,,1895,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),373183,214717,159931,555342,488966,322362,257836,341622,308458,36946,15110,62960,37356,27991,9544,88493,41770,15726,50824,66955,44719,,79389,,
投资活动产生的现金流量净额(万元),-147316,2169,-138407,-36673,-199410,-61160,-257001,-56114,-281623,-30278,-14192,-34162,-11907,-2871,-9186,-78584,-37443,-12329,-13141,-56218,-37485,-14193,-68771,-56285,
吸收投资收到的现金(万元),11319,11259,778,2279,2279,1691,1666,9638,6718,1930,192,411098,410782,326,168,1767,1258,1143,4262,15376,8031,,4511,,
其中：子公司吸收少数股东投资收到的现金(万元),1319,1259,778,2279,2279,1691,1666,4938,2018,1930,192,782,466,326,168,1767,1258,1143,4262,3576,2781,,3599,,
取得借款收到的现金(万元),,,,13625,,,,,,,,,,,,32000,,,30000,,,,,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),1283,838,661,2344,916,879,478,5357,3482,1725,1043,6170,5560,5228,1711,2153,1244,690,3017,455,2010,,3868,,
筹资活动现金流入小计(万元),12602,12097,1439,18248,3195,2570,2144,14995,10200,3655,1235,417268,416342,5554,1879,35920,2502,1833,37279,15831,10040,,8379,,
偿还债务支付的现金(万元),,,,1500,,,,1500,,,,33500,17000,17000,,31500,15000,15000,51500,1500,12500,,4500,,
分配股利、利润或偿付利息所支付的现金(万元),63703,3735,2142,81837,71358,3490,490,56714,49088,3635,295,11711,6623,4057,776,14085,10406,3225,14130,13338,5562,,6516,,
其中：子公司支付给少数股东的股利、利润(万元),11240,3735,2142,20784,10276,3490,490,16794,9326,3635,295,10925,6176,3760,629,8063,5152,2475,6970,4382,2161,,2064,,
支付其他与筹资活动有关的现金(万元),2614,2054,778,6530,3421,2254,621,6052,1831,1289,502,3194,1593,1543,547,2866,1846,796,5564,471,1741,,7918,,
筹资活动现金流出小计(万元),66316,5789,2921,89867,74779,5744,1111,64266,50919,4924,798,48406,25215,22600,1323,48452,27252,19021,71194,15309,19804,,18933,,
筹资活动产生的现金流量净额(万元),-53715,6308,-1481,-71619,-71584,-3175,1033,-49271,-40719,-1269,437,368862,391126,-17046,556,-12531,-24750,-17189,-33915,522,-9763,-10690,-10554,16295,
汇率变动对现金及现金等价物的影响(万元),17,20,-0,-45,35,9,-5,-87,-60,-59,-0,24,6,6,-0,2,-0,1,3,-1,-0,,-2,,
现金及现金等价物净增加额(万元),-70446,184362,22306,-52004,-86067,70218,-117520,41800,-11612,70889,106359,369999,413173,26122,224910,110004,98135,34665,52287,56920,-10793,,32752,,
加:期初现金及现金等价物余额(万元),735183,735183,735183,787187,787187,787187,787187,745387,745387,745387,745387,375388,375388,375388,375388,265383,265383,265383,213096,156176,166969,,134217,,
期末现金及现金等价物余额(万元),664736,919544,757489,735183,701120,857404,669667,787187,733775,816276,851746,745387,788560,401510,600298,375388,363519,300049,265383,213096,156176,,166969,,
净利润(万元),,75118,,162177,,74555,,113608,,67602,,106392,,68782,,103638,,52741,60581,49155,59480,,52529,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-2570,,6282,,566,,7064,,7982,,1861,,1810,,5580,,5037,6375,6932,14527,,2487,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,22972,,50542,,25903,,52001,,26042,,49948,,25155,,49875,,24777,47729,41280,35023,,28640,,
无形资产摊销(万元),,1267,,1470,,289,,775,,383,,603,,259,,639,,320,619,523,402,,334,,
长期待摊费用摊销(万元),,6891,,13747,,7288,,12087,,5873,,14407,,6191,,10963,,5498,9008,7832,6828,,5818,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,
