报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
销售商品、提供劳务收到的现金(万元),718702,475864,219665,904838,622332,400123,229016,932516,1079994,441160,222960,654240,624259,365332,182525,586025,666741,450263,195452,475425,340500,195517,95447,489309,225004,88768,386073,298590,191914,97009,434438,331234,358074,158877,211591,118647,7395,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
收到的税费返还(万元),,,,,,,,,0,,,,0,0,,,0,0,,,,,,,,,,3719,3719,,,,,,,0,,
收到的其他与经营活动有关的现金(万元),12402,6467,2321,8224,12407,1420,6172,8548,14768,898,383,7106,1735,1586,155,3400,8307,1380,82,7053,28105,27019,936,1991,7020,873,2950,98222,50471,30014,1337,88124,134892,5130,264052,61999,24931,
经营活动现金流入小计(万元),731104,482331,221986,913062,634739,401543,235188,941064,1094762,442058,223343,661346,625994,366917,182680,589425,675048,451643,195534,482478,368604,222537,96383,491300,232023,89641,389023,400531,246104,127023,435774,419358,492965,164007,475643,180645,32326,
购买商品、接受劳务支付的现金(万元),222648,138308,65050,216871,172899,133212,78733,330265,567056,174738,56698,254127,321449,166785,83676,210229,331759,220734,123515,120266,155848,99460,48626,276741,115438,51995,199216,187025,92328,65154,188776,153662,227069,96402,165762,113298,7648,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
支付给职工以及为职工支付的现金(万元),98369,54895,20870,110937,78726,55537,26689,93124,73095,43789,28720,89424,67067,42898,22020,68706,68868,42488,18462,67062,40030,24561,12596,63385,25714,5492,35025,29136,16997,7758,34780,22144,25731,12307,12992,469,45,
支付的各项税费(万元),127460,95802,28586,198933,141914,88608,57845,169235,127794,82387,35510,73695,40138,27069,6258,19445,13247,3788,1535,11137,9921,7988,782,25095,13374,4210,31496,33550,21375,6855,35852,20650,12219,7601,2298,2287,66,
支付的其他与经营活动有关的现金(万元),47559,35209,19504,59803,21145,11233,1911,46877,11425,22746,26031,66881,5179,2887,271,42081,8808,6046,1489,14076,3601,2798,920,14177,3662,9867,28988,59420,55327,39187,20002,77844,12127,2628,241326,44697,32886,
经营活动现金流出小计(万元),496036,324213,134010,586543,414683,288590,165178,639501,779370,323660,146958,484127,433833,239640,112226,340463,422682,273056,145002,212541,209400,134806,62923,379398,158187,71565,294726,309131,186027,118954,279409,274300,277146,118937,422378,160751,40645,
经营活动产生的现金流量净额(万元),235068,158118,87977,326519,220056,112953,70010,301563,315392,118397,76385,177219,192162,127277,70454,248962,252366,178587,50531,269937,159204,87730,33460,111902,73836,18076,94297,91400,60077,8068,156365,145057,215819,45070,53265,19894,-8319,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,3456,,,0,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,9350,,,,,,,,,,,,,,,,,1096,150000,100000,,,,,288,,,,1796,,381,,320,0,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,13,,,,,,,,283,,,,,,,,,,,,0,20497,
收到的其他与投资活动有关的现金(万元),77350,57249,3144,46150,,,,546813,,549885,22193,743948,,,,3964,,,,2317,,,,10403,,,6208,,,0,10377,,,,,114952,1877,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
投资活动现金流入小计(万元),77350,57249,12494,46150,0,0,0,546813,0,549885,22193,743948,0,0,0,3978,0,0,0,3413,150000,100000,0,10685,0,0,6495,0,0,19,12172,0,3837,0,320,114952,22375,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),306389,166803,77416,159963,94051,27566,25366,79424,100776,19489,19291,69832,46381,27169,3378,196434,126933,92446,57080,281371,284766,204009,85328,282261,148592,29766,274712,139391,89239,29247,332685,162631,253670,60991,112506,183589,121320,
投资所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,,,3428,,24000,7800,0,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,45654,,,,,,,,,,,,,,,1170,,,12951,,,,,,,,,0,,
支付的其他与投资活动有关的现金(万元),58244,58244,1743,57000,,16909,,271770,,281370,14687,804498,,,,,,,,12001,,,,15652,,,11599,160,152,6855,1000,667,,6734,215,126422,3635,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
投资活动现金流出小计(万元),364633,225047,79159,216963,94051,44475,25366,351195,146430,300860,33978,874330,46381,27169,3378,196434,126933,92446,57080,293373,284766,204009,85328,299082,148592,29766,299261,139641,89481,36102,333685,166726,253670,91726,120521,310011,124955,
投资活动产生的现金流量净额(万元),-287283,-167799,-66665,-170812,-94051,-44475,-25366,195619,-146430,249025,-11785,-130382,-46381,-27169,-3378,-192456,-126933,-92446,-57080,-289959,-134766,-104009,-85328,-288397,-148592,-29766,-292766,-139641,-89481,-36083,-321513,-166726,-249833,-91726,-120201,-195059,-102580,
吸收投资收到的现金(万元),800000,800000,,,,,,15,,15,,,,,,1070,,,,78930,,,,180,,,50000,7000,,,,,402,,,87500,33300,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
取得借款收到的现金(万元),200000,98000,40000,292970,214870,94370,34730,162000,140000,63000,22000,328618,249618,204618,79618,308230,157500,107500,,251842,213842,183842,93842,401650,50000,,147000,43000,28000,8000,134730,67400,115890,,188252,98430,96000,
发行债券收到的现金(万元),,,,89784,89784,89784,89568,,,,,199040,99520,,,89680,,,,29880,,,,,,,70000,29880,29880,,40000,,,,,0,,
收到其他与筹资活动有关的现金(万元),36892,36892,49303,,679,,352,120480,404501,73600,73600,278657,51417,30997,535,,24399,16546,1097,42249,27316,1209,981,,5130,,197065,,,6725,69837,12732,,,,0,11786,
筹资活动现金流入小计(万元),1036892,934892,89303,382754,305333,184154,124650,282495,547115,136615,95600,806315,400555,235616,80153,398980,271579,173846,1097,402902,270958,214851,94823,401830,55130,0,614065,79880,57880,14725,244567,80132,116291,0,188252,185930,141086,
偿还债务支付的现金(万元),474228,281028,47200,315274,197205,124425,35100,408117,247145,142795,46200,362050,253205,201205,50200,396218,286494,218294,3200,250650,197056,159956,10100,170930,33939,,117000,10550,38500,1650,57029,18629,73702,,40940,1700,11000,
分配股利、利润或偿付利息所支付的现金(万元),108373,17279,17033,192175,188397,163760,8421,255349,254074,183560,143038,53072,34378,22567,11399,55346,51515,32847,12300,59813,44336,29040,12216,40262,14163,6938,14899,22989,16584,7427,12212,18775,18744,,33413,10504,2604,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
支付其他与筹资活动有关的现金(万元),79866,54966,21167,90119,73051,,22927,69718,52238,31154,15875,361650,166588,111878,56283,51765,90242,42902,22849,37054,33393,20853,10261,82849,16206,7676,217981,16398,1160,557,295,1388,1561,,153,0,,
筹资活动现金流出小计(万元),662467,353273,85400,597568,458653,334541,66448,776224,553457,357509,205114,776773,454171,335650,117883,503329,428251,294043,38350,347517,274785,209850,32577,294041,64308,14613,349880,49937,56244,9634,69536,38792,94007,0,74507,12204,13604,
筹资活动产生的现金流量净额(万元),374425,581618,3904,-214814,-153321,-150387,58202,-493729,-6341,-220894,-109514,29542,-53617,-100035,-37730,-104349,-156672,-120197,-37253,55384,-3827,5001,62246,107789,-9178,-14613,264185,29943,1636,5090,175032,41340,22285,0,113745,173726,127482,
汇率变动对现金及现金等价物的影响(万元),0,0,,-31,-52,,,-191,-43,-187,-80,707,,,,891,,,,644,,,,,,,,,,,,,,,,0,,
现金及现金等价物净增加额(万元),322210,571937,25215,-59138,-27368,-81910,102846,3262,162577,146341,-44993,77086,92164,73,29345,-46952,-31238,-34056,-43801,36006,20611,-11277,10378,-68706,-83934,-26304,65716,-18298,-27769,-22924,9884,19672,-11729,-46656,46809,-1439,16583,
加:期初现金及现金等价物余额(万元),37570,37570,37570,96707,96707,96707,96707,93445,93445,93445,93355,16359,16359,16359,16359,63311,63246,63246,63246,27240,27240,27240,27240,95946,96148,95946,30230,62283,62283,62283,20345,53301,65030,58019,18221,19660,3077,
期末现金及现金等价物余额(万元),359780,609507,62784,37570,69339,14797,199554,96707,256022,239786,48361,93445,108523,16433,45704,16359,32008,29190,19445,63246,47851,15962,37618,27240,12214,69641,95946,43985,34514,39359,30230,72973,53301,11363,65030,18221,19660,
净利润(万元),,188895,,369552,,,,292344,,,,171848,,,,151463,,,,12628,,,,66279,,,57849,,,,97535,,51114,37123,8062,0,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
