报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,
销售商品、提供劳务收到的现金(万元),1864956,1206006,657748,3015640,1874577,1220633,637270,3316726,2460314,1443004,751345,2671799,1827493,1038440,546550,2888133,1967750,1717531,571353,,1227663,,,,1269996,,1123677,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,3781,,2650,3181,1096,,901,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),5724,2151,2284,2406,2118,1390,1010,863,1679,490,333,9466,2944,1823,336,0,3445,3174,1557,,4819,,,,8696,,14192,
收到的其他与经营活动有关的现金(万元),75895,45904,46307,47524,104495,57721,34460,44756,18722,15542,200753,18376,190952,35903,88694,16447,239885,4707,128061,,256939,,,,5769,,3205,
经营活动现金流入小计(万元),1946574,1254060,706339,3065570,1981190,1279744,672740,3362345,2480716,1459036,952431,2699640,2021389,1076166,635581,2904580,2211080,1725412,700971,,1489421,,3181,1096,1284461,901,1141074,
购买商品、接受劳务支付的现金(万元),1779840,1153824,711001,2657524,1809970,1159133,693089,2833885,2207702,1419845,775494,2501174,1822070,1064155,582670,2592752,1894156,1609125,610203,74321,1311332,,194909,75080,1116461,24919,999517,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),168145,116669,62523,227341,155358,109530,63549,210270,134490,92276,47373,180774,105495,63645,37374,170332,96614,64200,31911,,97770,,,,121977,,111892,
支付的各项税费(万元),52464,44062,23588,76318,51306,39076,23222,91697,66065,44465,22522,88458,50347,34234,14248,92558,59864,46797,18294,23729,82262,53053,24982,15074,84341,20518,58705,
支付的其他与经营活动有关的现金(万元),26731,48191,28111,47290,79215,50517,13913,62481,57799,20766,203830,57508,201582,44025,93245,98241,243145,13012,109529,,202047,,,,90234,,62355,
经营活动现金流出小计(万元),2027179,1362745,825223,3008473,2095849,1358256,793773,3198333,2466055,1577353,1049218,2827914,2179494,1206059,727537,2953882,2293780,1733134,769937,,1693411,178683,219890,90154,1413012,45437,1232469,
经营活动产生的现金流量净额(万元),-80605,-108685,-118884,57097,-114659,-78512,-121033,164012,14660,-118316,-96787,-128274,-158104,-129892,-91956,-49302,-82699,-7722,-68966,,-203990,-229085,-216710,-89058,-128551,-44536,-91395,
收回投资所收到的现金(万元),476076,76580,59464,442781,450442,331480,103417,557079,441016,246658,75734,179306,102578,126341,69470,799367,686125,433983,305656,,687562,,25000,,208824,,311813,
取得投资收益所收到的现金(万元),636,2333,832,12302,11108,7009,2145,11559,9032,3639,51245,9502,8862,4119,1335,16999,18029,12289,5810,196,3065,,,,2654,812,7764,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),119,795,15,516,341,127,2,5752,483,440,88,555,308,61,3,2364,81,564,48,749217,28,,250071,4088,314,91375,9191,
处置子公司及其他营业单位收到的现金净额(万元),8986,8986,8977,9480,,,,1333,,,,0,7790,,,0,,,,,,,,,,,83,
收到的其他与投资活动有关的现金(万元),704,,735,,,,,1325,,,4159,36466,50975,36226,,1273,88543,40809,54150,,,,,,1260,,997,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,3781,,,16880,3926,,,,
投资活动现金流入小计(万元),486520,88693,70022,465078,461891,338615,105565,577048,450531,250737,131226,225829,170513,166747,70809,820002,792778,487645,365663,,690656,,295654,9867,213052,92236,329848,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),77731,16502,15311,25463,13836,12922,8393,30549,30575,23280,25317,14531,9591,6013,12037,25101,19495,12041,5607,822685,17462,,124964,33135,36961,121070,52709,
投资所支付的现金(万元),508504,61874,99044,400100,527558,343518,238046,586872,468683,272546,247338,240252,182588,231685,75074,635584,670183,390900,278796,,866352,,67180,,192959,3970,254473,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),62807,24787,24787,19000,,,,897,897,897,,0,5989,,6021,0,4913,2600,46821,1000,1045,,397,337,,,997,
支付的其他与投资活动有关的现金(万元),25934,,372,1500,,,,,3071,,19457,1,57926,,16208,4599,14566,50000,16910,,-1901,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,76150,,,,,,10830,,
投资活动现金流出小计(万元),674976,103163,139514,446063,541394,356440,246439,618318,503226,296722,292113,254783,256093,237698,109340,665285,709158,455541,348134,,882958,,192541,43611,240890,135870,323879,
投资活动产生的现金流量净额(万元),-188456,-14470,-69492,19015,-79504,-17825,-140875,-41270,-52694,-45985,-160886,-28954,-85580,-70951,-38531,154717,83621,32104,17530,-275856,-192302,-139100,103114,-33744,-27837,-43633,5969,
吸收投资收到的现金(万元),45430,,,101309,105675,,,52490,52490,52490,2400,360744,826,,3000,25515,263,263,,,10000,,4573,1453,116410,33118,1643,
其中：子公司吸收少数股东投资收到的现金(万元),,,,462,,,,2740,,,,239147,,,,263,263,263,,-340,,,,1453,,,997,
取得借款收到的现金(万元),1230131,1078116,609198,1570828,1216534,998498,406384,1534977,908558,960288,527884,1195233,476128,295104,140041,1062591,600480,404902,89077,1031682,660539,,646867,271006,326710,170272,157339,
发行债券收到的现金(万元),,,,,,,,,399963,,,,,190000,,,,200000,,431873,381945,,250000,,,,,
收到其他与筹资活动有关的现金(万元),176924,,32148,15216,37200,15216,15216,96130,70766,1016,10050,61161,359081,12699,41583,0,221657,,158657,,,,,,,,,
筹资活动现金流入小计(万元),1452485,1078116,641346,1687353,1359409,1013714,421600,1683597,1431776,1013793,540334,1617138,836034,497804,184625,1088107,822400,605165,247735,,1052483,,901439,284459,471120,203390,170982,
偿还债务支付的现金(万元),1146462,930811,478064,1648482,1115652,918811,309840,1545832,1152769,870286,521404,1013266,701507,407446,178549,1047711,865093,637149,365896,1230151,804470,,346472,145400,232066,134037,-77300,
分配股利、利润或偿付利息所支付的现金(万元),79403,46966,24168,96375,69630,49790,20228,111417,84402,40118,15353,68923,58358,19964,12092,81075,74204,33012,18277,87964,72563,,70849,7615,13425,8303,-53620,
其中：子公司支付给少数股东的股利、利润(万元),,6899,,13252,,,6417,15634,,,,13592,,,,12972,56,,,63,15,,,,,,9147,
支付其他与筹资活动有关的现金(万元),99043,501,39928,67844,91626,64455,56400,300377,264501,207180,16868,85507,18397,4600,12472,60,23029,14832,2166,,,,,,,,,
筹资活动现金流出小计(万元),1324908,978278,542160,1812702,1276908,1033057,386468,1957625,1501673,1117584,553624,1167697,778262,432010,203113,1128847,962326,684993,386338,,877033,,417321,153015,253818,142340,130920,
筹资活动产生的现金流量净额(万元),127577,99838,99186,-125348,82502,-19343,35133,-274029,-69896,-103791,-13290,449442,57772,65794,-18489,-40740,-139926,-79828,-138603,145101,175450,219803,484118,131444,217302,61051,40062,
汇率变动对现金及现金等价物的影响(万元),1782,794,-456,4260,4197,-683,-3810,-10907,-7730,-5641,-2577,2386,-383,698,-548,1903,2071,-214,236,,1612,1011,-872,,-394,-24,-335,
现金及现金等价物净增加额(万元),-139702,-22524,-89646,-44977,-107464,-116362,-230585,-162194,-115660,-273733,-273540,294599,-186295,-134351,-149523,66578,-136934,-55660,-189803,-225024,-219230,-148383,370522,8642,60519,-27119,-45699,
加:期初现金及现金等价物余额(万元),583158,583158,583013,627989,627989,627989,627989,790183,771422,771422,771422,495584,484779,484779,498184,429006,433102,420786,433249,645616,673960,645616,275965,275965,215446,215447,261146,
期末现金及现金等价物余额(万元),443457,560635,493366,583012,520525,511627,397404,627989,655762,497689,497881,790183,298484,350428,348661,495584,296168,365126,243446,420786,454730,498245,645616,283049,275965,188304,215446,
净利润(万元),,9505,,51020,,,,81735,,,,112106,,,,62332,,,,109722,,,,,113728,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,,,4588,,,,29975,,,,46834,,,,22101,,,,27310,,,,,2574,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,8163,,17684,,,,22548,,,,19454,,,,14683,,,,13392,,,,,12178,,,
无形资产摊销(万元),,2336,,4897,,,,5848,,,,5782,,,,7914,,,,3939,,,,,5892,,,
长期待摊费用摊销(万元),,373,,1429,,,,2213,,,,1323,,,,230,,,,,,,,,158,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-350,,-164,,,,-1649,,,,-173,,,,-6387,,,,-2019,,,,,167,,,
固定资产报废损失(万元),,22,,79,,,,,,,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,-16,,-17,,,,,,,,,,,,,,,,,,,,,489,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,29010,,58798,,,,25497,,,,18654,,,,10407,,,,13610,,,,,9764,,,
投资损失(万元),,634,,-14055,,,,-5138,,,,-17176,,,,-7722,,,,-1338,,,,,-1717,,,
递延所得税资产减少(万元),,263,,-6787,,,,218,,,,-11318,,,,-5395,,,,,,,,,591,,,
递延所得税负债增加(万元),,-4493,,857,,,,1450,,,,5112,,,,-29,,,,,,,,,-596,,,
存货的减少(万元),,-22140,,-39905,,,,-383371,,,,-263102,,,,307838,,,,,,,,,-261138,,,
经营性应收项目的减少(万元),,46728,,-248082,,,,95920,,,,-307553,,,,28033,,,,,,,,,-259683,,,
经营性应付项目的增加(万元),,-31595,,446779,,,,288778,,,,288748,,,,-483306,,,,,,,,,248840,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-108685,,57097,,,,164012,,,,-128274,,,,-49302,,,,150956,,,,,-128551,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),443457,560635,493366,583012,520525,511627,397404,627989,655762,497689,497881,790183,298484,350428,348661,495584,296168,365126,243446,420786,454730,,645616,283049,,188304,215446,
现金的期初余额(万元),583158,583158,583013,627989,627989,627989,627989,790183,771422,771422,771422,495584,484779,484779,498184,429006,433102,420786,433249,645616,673960,,275965,275965,,215447,261146,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,275965,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,215446,,,
现金及现金等价物的净增加额(万元),-139702,-22524,-89646,-44977,-107464,-116362,-230585,-162194,-115660,-273733,-273540,294599,-186295,-134351,-149523,66578,-136934,-55660,-189803,-225024,-219230,,370522,8642,60519,-27119,-45699,

