报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,
客户存款和同业存放款项净增加额(万元),1488504,902826,1471596,430442,273819,915423,919265,
向中央银行借款净增加额(万元,,210000,68900,,,611100,360000,
向其他金融机构拆入资金净增加额(万元),,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,
收取利息、手续费及佣金的现金(万元),592021,326192,695796,464335,276442,505231,376466,
拆入资金净增加额(万元),,567309,,,81144,,2203736,
回购业务资金净增加额(万元),,,661689,,967055,,114766,
收到的税费返还(万元),,,,,,,,
收到的其他与经营活动有关的现金(万元),55200,91728,51085,55599,128785,55195,58304,
经营活动现金流入小计(万元),2387745,2478713,3476323,1384283,1943303,2313781,4032536,
购买商品、接受劳务支付的现金(万元),,,,,,,,
客户贷款及垫款净增加额(万元),2303936,1639110,2498639,1824144,1175638,2311750,1269554,
存放中央银行和同业款项净增加额(万元),296701,220065,,,158683,424998,578532,
支付原保险合同赔付款项的现金(万元),,,,,,,,
支付利息、手续费及佣金的现金(万元),332310,196397,448477,333144,195500,505783,494960,
支付保单红利的现金(万元),,,,,,,,
支付给职工以及为职工支付的现金(万元),68166,51188,82930,62681,46720,68440,63926,
支付的各项税费(万元),52967,39983,62849,61942,42314,93508,91597,
支付的其他与经营活动有关的现金(万元),148792,98866,62553,50740,134690,168286,43388,
经营活动现金流出小计(万元),4208680,2590552,4241584,3774775,2142050,5930661,4323731,
经营活动产生的现金流量净额(万元),-1820935,-111839,-765260,-2390492,-198748,-3616880,-291195,
收回投资所收到的现金(万元),437144753,283335790,534354228,441394228,302538265,366823606,225000585,
取得投资收益所收到的现金(万元),197345,209374,312655,231723,191426,563123,688507,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),72,40,79,5,2,99,334,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,
投资活动现金流入小计(万元),437342170,283545203,534666962,441625956,302729693,367386828,225689427,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),8888,5060,59917,15471,9630,18651,9217,
投资所支付的现金(万元),437262026,283760955,533639101,440689138,302310845,365494707,225125214,
质押贷款净增加额(万元),,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,
投资活动现金流出小计(万元),437270914,283766015,533699018,440704609,302320475,365513358,225134431,
投资活动产生的现金流量净额(万元),71256,-220812,967944,921347,409218,1873469,554996,
吸收投资收到的现金(万元),,,,,,,240000,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,
取得借款收到的现金(万元),,,,,,,,
发行债券收到的现金(万元),12255533,7206083,13757935,11514635,6759796,4101873,14228525,
收到其他与筹资活动有关的现金(万元),,,,,,,,
筹资活动现金流入小计(万元),12255533,7206083,13757935,11514635,6759796,4101873,14468525,
偿还债务支付的现金(万元),10528458,6924000,13782000,9964623,7165000,1685322,14286000,
分配股利、利润或偿付利息所支付的现金(万元),145496,76408,74222,67504,65304,79639,54583,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,
筹资活动现金流出小计(万元),10673954,7000408,13856222,10032127,7230304,1764960,14340583,
筹资活动产生的现金流量净额(万元),1581579,205675,-98287,1482508,-470508,2336912,127942,
汇率变动对现金及现金等价物的影响(万元),-452,1005,3356,1424,3911,1270,-3271,
现金及现金等价物净增加额(万元),-168551,-125971,107753,14786,-256127,594771,388472,
加:期初现金及现金等价物余额(万元),2010318,2010318,1902565,1902565,1902565,1307794,919322,
