报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
销售商品、提供劳务收到的现金(万元),436293,297000,861551,570183,339741,135413,845459,549371,249997,104724,258591,183628,130023,66051,254901,154202,105850,64758,162282,107821,75789,29519,329495,299408,223244,114314,431008,321790,211866,100327,474012,332124,239521,100111,555088,437643,330337,163577,727917,461437,285359,115865,741492,526021,279599,768777,128019,621791,430330,331577,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
收到的税费返还(万元),7646,7601,8913,6866,4767,3177,11200,10813,8081,4055,3608,2069,1419,973,1662,2583,549,,3056,1206,1206,1206,3850,3482,2939,1300,2811,2750,2557,1355,3265,2633,1393,327,4821,3783,3449,2814,10486,7799,3413,2998,5413,4071,3394,4319,473,3654,14139,7862,
收到的其他与经营活动有关的现金(万元),42458,24542,75372,59792,37192,42546,34563,71021,51334,6835,18319,6054,5073,1965,27461,16916,20434,12315,5869,14633,7233,5362,3991,18377,10675,11221,7015,6379,3407,5886,18523,6293,4081,2308,11366,8750,6096,3298,16619,14383,8616,5549,10263,5600,3774,5038,1122,2755,5385,5279,
经营活动现金流入小计(万元),486397,329143,945836,636841,381700,181136,891222,631205,309412,115613,280518,191750,136516,68990,284025,173701,126833,77073,171206,123659,84228,36087,337336,321268,236858,126835,440835,330920,217830,107568,495800,341050,244995,102746,571275,450176,339882,169689,755022,483619,297389,124412,757169,535691,286768,778135,129614,628200,449854,344717,
购买商品、接受劳务支付的现金(万元),405356,290579,753207,530505,331548,146352,580210,407557,273050,128162,151185,108873,76654,43264,165414,110471,72153,33791,202327,144693,99850,58270,272139,215968,147736,78708,385591,340492,222589,126195,494675,385597,254660,134717,605604,497557,369222,181571,626335,457826,290587,128986,592577,470284,334291,622130,120669,469660,336954,268389,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
支付给职工以及为职工支付的现金(万元),86210,64059,139495,100801,70750,40620,132138,90627,61102,34595,88569,64449,45429,31003,80811,59378,42107,23431,122383,87448,49585,31538,122828,76773,59763,37026,79250,61204,39721,20505,113631,71173,44463,23617,106410,66171,39948,19562,115592,64477,37645,17224,116752,62423,41009,102441,9177,84089,65532,49379,
支付的各项税费(万元),23705,15973,27704,22860,15100,8817,24449,18027,14076,7321,12397,7786,7155,5431,10584,9573,1092,1006,4843,2766,1079,693,10989,6071,4390,1278,16500,12869,10049,1743,30902,24496,22117,13665,39021,26538,24230,12714,34650,35648,32297,19070,21469,18058,11634,32068,15480,23768,22704,14744,
支付的其他与经营活动有关的现金(万元),49990,29839,62376,66300,36566,33762,54204,74336,36109,19345,66319,40952,26675,20148,16998,9524,8894,23977,39438,30905,18889,16913,22416,55818,36846,27417,16758,28234,13412,6894,16538,16906,9801,5795,10786,13979,9470,4932,19035,14356,8040,6770,15937,13071,8522,16606,2891,13744,8362,9297,
经营活动现金流出小计(万元),565261,400450,982783,720466,453964,229551,791000,590547,384337,189424,318470,222060,155913,99846,273806,188946,124245,82205,368991,265812,169403,107414,428372,354630,248734,144429,498099,442800,285771,155337,655746,498173,331041,177795,761821,604246,442871,218778,795611,572307,368568,172050,746734,563836,395455,773245,148217,591260,433551,341809,
经营活动产生的现金流量净额(万元),-78864,-71307,-36946,-83626,-72264,-48415,100222,40658,-74926,-73811,-37952,-30310,-19397,-30856,10218,-15245,2588,-5131,-197785,-142153,-85175,-71327,-91037,-33362,-11876,-17594,-57264,-111880,-67941,-47769,-159946,-157123,-86046,-75048,-190545,-154069,-102989,-49089,-40589,-88688,-71180,-47639,10435,-28145,-108687,4890,-18603,36940,16302,2908,
收回投资所收到的现金(万元),17834,17834,,,,,,118,0,,1215,1215,803,,,,,,,,,,,,,,,,,,,,,,2304,,,,,,,,0,,0,0,0,0,0,0,
取得投资收益所收到的现金(万元),585,465,3027,487,1185,87,824,115,16,16,131,84,,,,,,,36,45,,,55,55,37,,60,57,39,,3,1,1,,826,723,704,,5,5,,,6,6,0,3,0,3,3,3,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,,2902,,159,145,1563,1542,1541,1013,3327,3139,3100,2,3,0,0,,0,0,0,,8,1,1,,522,504,504,500,23,11,7,-0,155,120,61,31,125,117,74,12,857,809,112,2389,71,217,3917,235,
处置子公司及其他营业单位收到的现金净额(万元),,,,159,,,708,,,,,,,,331866,258094,258094,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,0,585,0,7257,0,0,
收到的其他与投资活动有关的现金(万元),391,,,,,,,,,,,,,,,,,,600,600,600,,900,900,600,,905,1142,842,244,,12562,11582,600,1846,350,200,200,13434,895,572,572,12981,3126,18666,21343,0,0,0,0,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
投资活动现金流入小计(万元),18810,18299,5929,646,1344,231,3095,1775,1557,1029,4673,4438,3903,2,331869,258094,258094,0,642,646,600,0,963,956,638,0,1487,1704,1386,744,26,12574,11590,600,5131,1193,964,231,13565,1017,647,584,13844,3941,18778,24321,71,7478,3921,238,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3483,2545,31064,24497,18685,9409,28871,18190,12001,4585,5694,4534,3713,895,11496,7498,6630,4720,12521,9198,8329,6794,20392,19273,13362,7644,29702,30709,13719,6485,80030,64449,54894,38363,144917,101485,71797,42893,174528,113695,77257,35318,213933,144029,100750,95034,25885,51036,49221,41200,
投资所支付的现金(万元),,,600,600,600,,2541,2541,400,,,,,,,,,28,,51,5,5,,,,,,,,,,61,3,,2904,,,,,5000,,,5374,35,35,0,0,5000,0,0,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,11,,,,,,,,,,,,,,,,,,,,193,193,193,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
支付的其他与投资活动有关的现金(万元),,,8814,200,245,,1,,,,,,,,35,35,34,,68,,,,662,641,635,1,4716,900,600,1,3795,,,,,,,,,1475,1385,1386,0,,0,0,0,0,0,0,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
投资活动现金流出小计(万元),3483,2545,40478,25297,19530,9409,31425,20731,12401,4585,5694,4534,3713,895,11531,7533,6664,4748,12589,9249,8334,6799,21054,19915,13997,7645,34611,31802,14513,6485,83825,64510,54897,38363,147821,101485,71797,42893,174528,120170,78642,36704,219308,144063,100784,95034,25885,56036,49221,41200,
投资活动产生的现金流量净额(万元),15327,15754,-34549,-24651,-18186,-9177,-28330,-18956,-10844,-3556,-1021,-96,190,-893,320338,250561,251430,-4748,-11947,-8603,-7734,-6799,-20091,-18959,-13359,-7645,-33124,-30098,-13127,-5742,-83799,-51936,-43307,-37763,-142690,-100292,-70832,-42662,-160963,-119154,-77996,-36120,-205464,-140123,-82006,-70714,-25814,-48559,-45300,-40962,
吸收投资收到的现金(万元),,,,,,,703900,,,,,,,,,,,,,,,,,,,,,,,,150000,,,,60,,,,250286,250286,250286,250286,5760,15360,5760,0,0,7057,0,0,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,0,,0,0,0,0,0,0,
取得借款收到的现金(万元),1436,,43195,2295,855,450,83558,36780,35925,4450,11038,3258,3258,2115,166574,164918,163280,13370,390699,158605,101928,75882,720746,599922,416754,185601,778687,573828,459176,234825,818791,572398,373653,167999,479862,337949,275745,89455,460654,331561,255490,124000,510613,373713,254213,474520,66600,242365,176700,109230,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800,50000,,,70000,,,,,,,,0,,0,0,0,0,0,0,
收到其他与筹资活动有关的现金(万元),3071,2733,7125,10541,9021,2118,11320,5346,7605,4861,1378,,515,,6345,6345,6345,6538,116,58,58,863,51071,53337,51290,41290,125,125,125,2520,4704,14982,4004,2476,26011,18903,14942,15878,38148,12333,2823,,20120,16425,425,25938,0,0,10988,15755,
筹资活动现金流入小计(万元),4507,2733,50320,12836,9876,2568,798778,42126,43530,9311,12416,3258,3773,2115,172919,171263,169625,19907,390816,158662,101986,76745,771816,653259,468044,226891,778812,573953,459301,237345,1023295,637380,377657,170475,575933,356853,290686,105333,749088,594180,508599,374286,536494,405498,260398,500458,66600,249422,187688,124985,
偿还债务支付的现金(万元),63537,51679,69692,56306,55890,44428,520406,102347,98741,83574,4501,3666,3305,1180,149740,97714,96450,3589,159427,7369,5524,3235,628459,598990,443844,212202,717433,461084,313402,78644,755026,442205,279120,94500,274061,182571,160807,101026,452156,367813,301153,209280,319303,221562,130362,238352,37500,160353,111399,59147,
分配股利、利润或偿付利息所支付的现金(万元),4708,3321,10005,5422,4376,2156,43849,6116,3874,784,21,17,16,6,754,594,590,387,3546,480,463,353,50998,44007,36341,17033,78678,52218,33526,15201,73773,39991,26570,12404,49730,33583,23752,6620,38647,22702,15390,7108,35902,23991,16672,46220,23842,18166,12640,5268,
其中：子公司支付给少数股东的股利、利润(万元),280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
支付其他与筹资活动有关的现金(万元),2735,1303,5817,5028,4193,3154,10803,21657,6198,5134,12457,9839,6763,3861,16590,12614,8703,2075,9698,3392,3378,3378,15695,2662,2602,588,1796,,,3977,22252,3242,1936,2415,1936,,,,2072,,,0,3326,3326,3326,4071,1014,7530,3986,11183,
筹资活动现金流出小计(万元),70980,56302,85514,66755,64459,49739,575058,130120,108812,89492,16980,13522,10083,5046,167085,110923,105743,6051,172670,11241,9365,6967,695152,645660,482787,229823,797907,513303,346927,97823,851051,485439,307626,109319,325727,216154,184559,107646,492876,390515,316543,216388,358531,248878,150360,288643,62356,186049,128025,75599,
筹资活动产生的现金流量净额(万元),-66473,-53570,-35194,-53920,-54583,-47171,223720,-87994,-65282,-80181,-4564,-10264,-6310,-2931,5834,60340,63882,13856,218145,147421,92621,69779,76664,7600,-14743,-2932,-19095,60651,112374,139522,172243,151941,70031,61155,250206,140699,106128,-2313,256213,203665,192056,157898,177963,156620,110038,211815,4244,63373,59663,49386,
汇率变动对现金及现金等价物的影响(万元),-791,1515,411,923,-289,-1425,1505,2601,109,-4978,-399,-276,-117,-28,284,117,92,42,493,216,75,-116,-239,-152,-49,-57,-344,-246,-215,-83,6,82,2,-11,-364,-366,-99,70,-450,-447,-761,-145,-72,-42,-76,-462,-123,-142,-66,-44,
现金及现金等价物净增加额(万元),-130801,-107608,-106278,-161273,-145322,-106188,297116,-63691,-150942,-162526,-43935,-40945,-25634,-34709,336675,295773,317992,4019,8906,-3120,-214,-8463,-34702,-44874,-40027,-28228,-109827,-81573,31092,85928,-71496,-57035,-59320,-51666,-83394,-114029,-67793,-93994,54211,-4623,42120,73994,-17138,-11690,-80731,145529,-39510,51612,30599,11288,
加:期初现金及现金等价物余额(万元),857572,857572,963850,963850,963850,963850,666734,666734,666734,666734,392358,392358,392358,392358,55683,55683,55683,72252,46777,46777,46777,47491,81479,81479,81479,81479,191306,191306,191306,191306,262802,262802,262802,262802,346196,346196,346196,346196,291986,291986,291986,291986,309124,309124,309124,163595,160591,111983,81384,70096,
期末现金及现金等价物余额(万元),726771,749965,857572,802577,818529,857662,963850,603043,515792,504208,348423,351413,366724,357649,392358,351456,373675,76270,55683,43658,46563,39028,46777,36605,41452,53252,81479,109733,222398,277234,191306,205767,203482,211136,262802,232168,278404,252203,346196,287362,334105,365979,291986,297434,228393,309124,121082,163595,111983,81384,
