报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),320641,230860,427023,321702,617989,611600,538819,485263,442665,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,
收到的其他与经营活动有关的现金(万元),43725,32985,51751,40642,72706,85384,107833,75253,92345,
经营活动现金流入小计(万元),364367,263844,478773,362344,690695,696984,646652,560516,535011,
购买商品、接受劳务支付的现金(万元),284355,153807,191912,152939,279575,198541,382512,268283,418799,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),27225,20482,33921,26060,31477,31467,26319,22739,16286,
支付的各项税费(万元),86460,48446,83885,69891,74156,91052,68952,76997,61656,
支付的其他与经营活动有关的现金(万元),40813,32216,43686,30737,67107,86684,90934,83878,107618,
经营活动现金流出小计(万元),438853,254950,353404,279628,452315,407744,568716,451897,604360,
经营活动产生的现金流量净额(万元),-74487,8894,125369,82716,238381,289240,77936,108619,-69349,
收回投资所收到的现金(万元),127143,127143,110635,61218,93482,80719,12000,6126,11056,
取得投资收益所收到的现金(万元),16022,2780,43854,40149,18570,19082,16302,15509,16217,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9075,1247,579,353,247,41,107,262,43,
处置子公司及其他营业单位收到的现金净额(万元),97647,97647,,,287,5980,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),249886,228816,155067,101720,112586,105821,28409,21897,29259,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),57611,40023,41495,27972,41251,26753,30401,30470,19380,
投资所支付的现金(万元),45103,35894,88587,66870,113276,65656,39349,26907,2566,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),102714,75917,130083,94843,154526,92409,69750,57378,21946,
投资活动产生的现金流量净额(万元),147172,152899,24985,6878,-41940,13413,-41341,-35481,7313,
吸收投资收到的现金(万元),20006,6256,10268,10268,744,1658,25423,26829,4162,
其中：子公司吸收少数股东投资收到的现金(万元),20006,6256,10268,10268,744,1658,25423,26829,4162,
取得借款收到的现金(万元),205961,125371,189964,136552,292557,348926,624325,534504,511360,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,1000,
筹资活动现金流入小计(万元),225967,131627,200232,146821,293301,350584,649747,561333,516522,
偿还债务支付的现金(万元),109993,100477,295988,208580,308552,589392,616299,501969,421810,
分配股利、利润或偿付利息所支付的现金(万元),44193,18624,48746,45113,36884,46221,62495,69425,49500,
其中：子公司支付给少数股东的股利、利润(万元),34293,12216,35131,35131,20278,15236,2888,6401,850,
支付其他与筹资活动有关的现金(万元),1498,283,16541,14318,20,24,2827,79,260,
筹资活动现金流出小计(万元),155684,119384,361275,268011,345456,635637,681621,571473,471570,
筹资活动产生的现金流量净额(万元),70283,12243,-161043,-121191,-52156,-285053,-31874,-10139,44951,
汇率变动对现金及现金等价物的影响(万元),2,0,2,0,0,3,-62,-37,-1,
现金及现金等价物净增加额(万元),142971,174036,-10688,-31597,144285,17602,4659,62961,-17086,
加:期初现金及现金等价物余额(万元),319941,319941,330629,330629,186344,168741,269172,206211,223297,
期末现金及现金等价物余额(万元),462912,493977,319941,299032,330629,186344,273832,269172,206211,
净利润(万元),150072,136392,143462,112333,127647,90514,65466,77340,66674,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
资产减值准备(万元),,,,,,325,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),8519,5651,12065,9259,12601,12981,10825,8247,4427,
无形资产摊销(万元),469,324,798,621,937,660,471,660,506,
长期待摊费用摊销(万元),52,36,59,43,77,185,382,172,122,
待摊费用的减少(万元),,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-365,-290,,111,-9,-13,71,9,
固定资产报废损失(万元),-1330,,,-328,,,,,,
公允价值变动损失(万元),458,509,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,
预计负债(万元),,,,,,,,,,
财务费用(万元),1782,1589,5081,4086,8283,22406,29291,33228,26298,
投资损失(万元),-72206,-66891,-50626,-36188,-58504,-32032,-23390,-19141,-13515,
递延所得税资产减少(万元),9084,3328,4042,1407,-2531,-8043,-11010,214,-10976,
递延所得税负债增加(万元),168,110,,,,,,,,
存货的减少(万元),16755,89352,-42225,-18427,-15920,228036,-87242,60427,-245916,
经营性应收项目的减少(万元),-7555,-17109,19575,60492,7751,12256,21078,-118894,11923,
经营性应付项目的增加(万元),-207077,-157389,38542,-46411,148141,-80795,29848,44747,76146,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,
其他(万元),,,,,,,,,,
经营活动产生现金流量净额(万元),-74487,8894,125369,82716,238381,289240,77936,108619,-69349,
债务转为资本(万元),,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,
现金的期末余额(万元),462912,493977,319941,299032,330629,186344,273832,269172,206211,
现金的期初余额(万元),319941,319941,330629,330629,186344,168741,269172,206211,223297,
现金等价物的期末余额(万元),,,,,,,,,,
