报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),681434,337206,101496,714096,423973,312490,117233,592800,372601,606614,406561,251572,106541,519841,372898,225534,566038,398400,198982,71883,335444,260105,174543,65189,391288,266682,162285,96797,436986,313965,292095,226188,33462,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),471,225,137,4694,4446,206,206,1067,475,996,65,4,2,2232,335,153,59,27,21,7,127,34,32,5,330,30,30,30,50,49,,,,
收到的其他与经营活动有关的现金(万元),23967,15160,5965,36576,10378,7385,8831,71361,66516,46744,61443,51615,26736,22514,39911,30655,73448,37682,19221,19162,42948,34398,27106,10027,34156,80855,62196,46430,39126,10731,53251,49413,15998,
经营活动现金流入小计(万元),705871,352591,107599,755367,438798,320080,126270,665228,439592,654353,468070,303191,133279,544588,413144,256342,639545,436108,218225,91052,378519,294537,201682,75221,425774,347567,224511,143256,476163,324745,345346,275601,49460,
购买商品、接受劳务支付的现金(万元),442975,272174,118546,526466,314517,231429,138619,372333,305335,420311,402864,304740,112215,383085,319123,197580,364982,241116,136946,56879,303292,247041,166003,82877,311990,229478,170980,40820,427421,312052,307360,163977,59502,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),58078,37807,19733,71597,42046,34270,15822,55266,39849,49923,25177,17038,9521,47259,24102,16085,23711,16892,9934,5179,17826,13452,8886,4778,17047,13125,9322,5266,16558,11864,10332,5779,2507,
支付的各项税费(万元),30486,16571,6756,38373,30672,21500,12384,32266,27678,38805,22912,16531,4643,31988,15049,7800,13291,6161,2676,1571,9358,4939,2922,1022,18212,15596,13074,6018,34139,27258,24390,7778,324,
支付的其他与经营活动有关的现金(万元),81447,52314,30740,91298,46338,31516,33936,76105,57693,136174,64506,37070,16218,70994,69478,44389,109112,57176,36875,13234,60802,47022,31272,10272,122970,129269,110882,89714,66235,36848,80818,60993,5802,
经营活动现金流出小计(万元),612986,378866,175775,727734,433573,318715,200760,535970,430554,645213,515459,375379,142597,533326,427752,265855,511096,321346,186432,76863,391277,312455,209083,98950,470219,387469,304258,141818,544353,388022,422901,238527,68135,
经营活动产生的现金流量净额(万元),92885,-26274,-68176,27632,5224,1365,-74490,129258,9038,9140,-47388,-72187,-9318,11262,-14607,-9512,128449,114763,31793,14189,-12758,-17918,-7402,-23729,-44445,-39902,-79747,1438,-68190,-63277,-77555,37074,-18676,
收回投资所收到的现金(万元),13003,13003,8026,32267,500,500,500,210,200,188187,4089,4089,,202545,11639,10839,51922,25969,17892,5000,10661,5661,5661,5661,4000,4000,,,57713,40000,,1000,3000,
取得投资收益所收到的现金(万元),4412,4412,,,,,,10,0,193,166,166,121,772,788,775,4406,2851,1887,29,3340,3296,2365,1974,1589,1143,806,476,94,83,44,53,8,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),21,16,4,8245,27,27,,107,33,1433,1,1,0,576,1,0,15,15,1,0,25,10,1,,44,4,4,2,957,957,7,-0,,
处置子公司及其他营业单位收到的现金净额(万元),26754,26754,,,,,,387,387,159,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),2653,1249,376,18621,6607,4963,1995,122257,111112,15194,,,,19006,1200,1200,,400,,,1533,1468,0,0,,0,,,,,,24,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),46843,45434,8406,59132,7134,5490,2495,122972,111732,205166,4256,4256,122,222900,13629,12815,56343,29235,19780,5029,15559,10436,8027,7635,5633,5146,810,479,58764,41040,51,1077,3008,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),133276,73411,24144,172584,152760,94993,45421,176149,99086,80156,46782,34134,7888,30330,13908,7654,6648,3914,2213,939,7933,6498,4393,3196,12027,9543,6942,3458,25693,11271,17978,5796,6039,
投资所支付的现金(万元),2913,1097,17,,,,19399,44210,44200,256769,54408,51795,4550,164570,11581,11201,32566,22985,15405,7865,56266,47980,16200,15900,61916,32356,22556,,88448,46071,1862,2300,5000,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),9890,,,,,,,1735,1735,599,,,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),22264,2550,37,3756,5249,3314,1547,12297,10370,14600,164,,,9565,,,177,1777,577,,1371,1328,18,18,5,5,5,,1000,12000,68,24,1,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),168343,77058,24198,176340,158009,98306,66366,234391,155392,352124,101354,85929,12438,204465,25488,18854,39391,28676,18195,8804,65570,55806,20611,19114,73948,41904,29503,3458,115141,69342,19909,8120,11040,
投资活动产生的现金流量净额(万元),-121500,-31624,-15792,-117207,-150875,-92816,-63871,-111420,-43659,-146958,-97099,-81673,-12317,18434,-11859,-6039,16953,559,1585,-3775,-50011,-45371,-12584,-11479,-68315,-36758,-28694,-2979,-56377,-28302,-19857,-7043,-8033,
吸收投资收到的现金(万元),126787,126727,126727,3750,3750,1500,17463,26850,26850,154072,52297,41922,,550,60,100,,450,450,,50,50,,,,,,,5700,900,140438,50286,18610,
其中：子公司吸收少数股东投资收到的现金(万元),2060,,0,3750,3750,1500,,,,20000,,,,550,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),168234,115288,17743,153200,112100,107000,59500,250180,189945,202075,162754,125654,19000,178550,92733,74733,52000,42000,34000,8000,97795,77721,46396,,186360,158260,123147,112179,128363,34562,72839,32000,6500,
发行债券收到的现金(万元),,,0,49550,49550,49550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),99703,53513,26641,134619,90294,72014,16764,163805,90851,219512,35000,35000,35000,155739,26140,25000,53580,38580,20322,,2132,96,47,4,46594,,,,39,39,133,631,,
筹资活动现金流入小计(万元),394724,295528,171111,341119,255694,230064,93727,440835,307646,575659,250051,202576,54000,334839,118933,99833,105580,81030,54772,8000,99977,77868,46443,4,232954,158260,123147,112179,134102,35501,213410,82916,25110,
偿还债务支付的现金(万元),70924,64345,6848,138817,114574,84808,15890,178056,104904,152919,97795,97795,29449,231724,190328,169328,68264,47100,39100,5000,75306,70306,42306,20100,110456,85140,48000,15900,49000,39000,25668,27550,,
分配股利、利润或偿付利息所支付的现金(万元),31264,16108,5930,23944,22419,13919,3932,15082,10777,10395,2305,1269,569,13356,10607,10000,12201,11399,10498,9490,13261,12309,11319,10212,3482,2498,1694,1034,10610,1706,1478,785,154,
其中：子公司支付给少数股东的股利、利润(万元),52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),22095,16293,9005,70893,75315,48093,11206,270292,251619,132256,3160,3160,2000,157835,25000,25000,53592,38592,20334,,1086,956,941,878,2189,1189,1157,1129,842,575,325,4500,,
筹资活动现金流出小计(万元),124282,96746,21782,233654,212308,146820,31028,463430,367300,295569,103260,102224,32018,402916,225935,204328,134057,97091,69932,14490,89652,83571,54567,31190,116126,88827,50851,18062,60453,41281,27471,32835,154,
筹资活动产生的现金流量净额(万元),270442,198782,149329,107465,43385,83243,62699,-22595,-59655,280090,146791,100352,21982,-68077,-107002,-104496,-28477,-16061,-15160,-6490,10325,-5703,-8124,-31187,116828,69433,72296,94117,73649,-5779,185939,50082,24956,
汇率变动对现金及现金等价物的影响(万元),6,2,-56,980,312,225,-68,105,364,463,7,5,2,851,17,25,59,61,19,5,-357,-322,-140,-0,0,-0,-0,0,35,35,-30,45,-1297,
现金及现金等价物净增加额(万元),241834,140885,65305,18870,-101954,-7983,-75730,-4651,-93912,142735,2311,-53503,350,-37530,-133452,-120023,116983,99322,18237,3930,-52802,-69313,-28250,-66395,4068,-7227,-36144,92575,-50883,-97323,88496,80157,-3049,
加:期初现金及现金等价物余额(万元),270827,270827,270827,251957,251957,251957,253813,256609,256609,113873,,,,151404,,,79938,,,,132740,,,,128671,,,,179554,179554,91023,10866,13915,
期末现金及现金等价物余额(万元),512661,411712,336132,270827,150004,243974,178083,251957,162696,256609,,,,113873,,,196921,,,,79938,,,,132740,,,,128671,82231,179554,91023,10866,
净利润(万元),,32173,,42275,,14866,,32842,,28796,,,,34660,,,14297,,,,1081,,,,-19583,,,,7654,26548,29997,31235,-7440,
