报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
销售商品、提供劳务收到的现金(万元),268966,181456,85028,339240,248869,167795,84600,378959,274253,190455,85231,603424,434302,288642,130080,565120,401022,259446,105992,528252,398962,322623,180084,741382,572403,383175,213213,633123,434108,281372,130411,499726,357774,227319,109501,427702,316102,210063,97584,329691,237136,153530,82732,303888,217859,132733,60776,174645,93269,60299,30028,251241,161907,109486,53576,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
收到的税费返还(万元),206,136,109,916,459,314,124,3430,1969,39,10,290,236,234,160,808,481,376,236,1778,969,730,341,,377,76,22,19,247,58,7,1426,838,13,13,712,50,25,2,331,760,752,58,325,224,3,1,761,,0,,59,,0,,
收到的其他与经营活动有关的现金(万元),2780,2144,1156,7434,1125,854,118,1847,1603,1546,108,3033,1929,943,155,3861,6584,6197,2323,4838,2764,752,3248,2740,2702,1090,2948,4052,3240,2431,3265,7815,3598,1605,1642,17361,1453,976,535,9191,2632,1864,2273,49587,54733,30360,28585,8951,1531,1181,145,6414,780,690,1172,
经营活动现金流入小计(万元),271952,183736,86292,347590,250452,168963,84842,384236,277826,192040,85348,606747,436467,289819,130395,569789,408087,266019,108551,534869,402695,324106,183673,744123,575483,384342,216183,637194,437595,283860,133683,508967,362210,228937,111157,445775,317605,211064,98121,339212,240528,156146,85062,353800,272816,163095,89362,184358,94800,61480,30173,257715,162687,110175,54748,
购买商品、接受劳务支付的现金(万元),141301,93844,43677,186334,135620,89056,48001,232157,158934,107461,54009,409102,293629,200529,94489,390868,280253,191655,81049,334215,310038,236541,128870,499130,418763,284447,150190,444373,308704,203139,90035,325054,266780,164735,72629,257045,190737,131166,65969,196495,134354,81098,34868,148586,120128,73345,39573,105939,46231,31395,12282,159455,106646,71114,30095,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
