报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),1961478,1252213,603073,2426533,1725646,1101601,526571,2180415,1562292,982642,457500,1744006,1349165,270049,1122911,818452,515541,232544,930217,636864,389533,172540,618883,421585,255883,114041,429588,293015,256175,98866,42249,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
收到的税费返还(万元),931,,,600,600,,,217,,,,3572,3409,566,2428,1932,,0,581,68,,79,2163,1726,1462,895,,763,102,71,0,
收到的其他与经营活动有关的现金(万元),29838,17530,7322,35147,21958,16214,5330,35935,25227,20275,3103,29418,17156,22298,17074,43688,24997,7985,14158,11898,5821,8574,7522,667727,407222,173568,7049,434574,7803,9197,5,
经营活动现金流入小计(万元),1992248,1269744,610395,2462280,1748204,1117815,531901,2216566,1587519,1002918,460604,1776996,1369729,292914,1142412,864073,541021,240529,944955,648830,395353,181193,628568,1091037,664567,288504,436638,728352,264079,108134,42255,
购买商品、接受劳务支付的现金(万元),1070588,641686,326726,1162728,808013,498605,251187,1071317,782739,510143,270802,839665,616200,120185,477024,351541,220981,101232,419904,291183,172406,72943,272209,171598,95984,56056,204418,182064,152479,47020,22033,
客户贷款及垫款净增加额(万元),15386,,,,,,,-1674,-1674,-1674,-676,16112,,,,,,,,,,,,,,,,,,,0,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
支付给职工以及为职工支付的现金(万元),767522,521203,268986,975848,690998,449415,228431,874361,647772,430550,213814,717119,535977,114744,420342,303060,193699,90402,335526,231163,143515,66261,200209,137906,84551,13863,137990,33038,33038,22745,4336,
