报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),63423,44219,95051,73688,48050,87326,65387,49200,87196,108169,99282,94522,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),371,,,,,,,,57,579,489,162,
收到的其他与经营活动有关的现金(万元),1185,220,1617,1512,1407,756,202,24,1171,1408,757,489,
经营活动现金流入小计(万元),64980,44438,96669,75200,49458,88082,65589,49224,88425,110156,100528,95172,
购买商品、接受劳务支付的现金(万元),29151,28125,52305,36484,22919,44830,37613,32856,67187,93697,87551,82821,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6351,3253,5489,3984,2460,4475,3579,1642,2965,2543,2405,2149,
支付的各项税费(万元),7193,5610,16166,11982,7946,11460,8546,4062,3684,1916,1636,1271,
支付的其他与经营活动有关的现金(万元),8928,2274,6829,6902,5769,3117,3648,1436,880,695,715,3235,
经营活动现金流出小计(万元),51623,39263,80789,59352,39094,63883,53387,39996,74716,98851,92307,89475,
经营活动产生的现金流量净额(万元),13357,5175,15880,15848,10364,24200,12202,9228,13709,11304,8221,5697,
收回投资所收到的现金(万元),47299,22000,47300,30300,22000,20620,2500,,,,,,
取得投资收益所收到的现金(万元),36,28,109,76,61,56,7,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,22,18,18,50,23,17,14,54,7,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),47335,22028,47430,30394,22078,20727,2530,17,14,54,7,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7187,4905,20120,16075,12928,8938,2356,2756,6831,5044,9898,16674,
投资所支付的现金(万元),132300,22000,47300,33800,22000,20620,2500,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),15436,,1037,937,18,13,16,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),154923,26905,68457,50812,34946,29570,4872,2756,6831,5044,9898,16674,
投资活动产生的现金流量净额(万元),-107588,-4877,-21027,-20418,-12868,-8844,-2342,-2739,-6816,-4990,-9891,-16674,
吸收投资收到的现金(万元),116928,116928,,,,6428,,,,,,1550,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),3500,3500,17400,13400,5900,17732,14500,4700,18212,24058,18140,37350,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,134,10159,
筹资活动现金流入小计(万元),120428,120428,17400,13400,5900,24161,14500,4700,18212,24058,18273,49059,
偿还债务支付的现金(万元),18700,6000,17600,8700,5700,15532,15176,6376,22926,26248,13569,30350,
分配股利、利润或偿付利息所支付的现金(万元),381,359,799,586,369,846,1641,324,2207,2538,1031,968,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),2965,,8107,5893,5893,12159,,,,,,6650,
筹资活动现金流出小计(万元),22046,6359,26507,15179,11962,28537,16816,6700,25133,28786,14600,37968,
筹资活动产生的现金流量净额(万元),98382,114069,-9107,-1779,-6062,-4376,-2316,-2000,-6921,-4728,3673,11091,
汇率变动对现金及现金等价物的影响(万元),115,10,1061,947,100,-1068,603,,,,,,
现金及现金等价物净增加额(万元),4266,114377,-13193,-5402,-8467,9912,8147,4490,-28,1586,2003,114,
加:期初现金及现金等价物余额(万元),11399,11399,24591,24591,24591,14680,6533,7598,7625,6039,4036,3922,
期末现金及现金等价物余额(万元),15665,125776,11399,19190,16124,24591,14680,12088,7598,7625,6039,4036,
净利润(万元),,8795,24153,,12586,18502,15750,7606,6532,3072,4517,4441,
少数股东损益(万元),,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,
资产减值准备(万元),,80,212,,124,5037,-489,-712,674,1875,43,154,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,2855,4543,,2342,4331,2997,1911,3396,2438,1731,1454,
无形资产摊销(万元),,87,159,,72,114,115,57,114,113,116,85,
长期待摊费用摊销(万元),,6,,,,,,0,0,0,0,0,
待摊费用的减少(万元),,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,-11,,-8,82,-27,-7,11,-11,-3,0,
固定资产报废损失(万元),,,,,,146,,0,0,24,0,0,
公允价值变动损失(万元),,,,,613,4,-6,-1,2,-2,-11,13,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,
财务费用(万元),,345,-262,,283,1750,-83,315,998,1372,1046,894,
投资损失(万元),,-28,929,,-43,-43,9,0,0,0,0,,
递延所得税资产减少(万元),,1,-809,,-597,-1109,329,28,-337,-497,-182,-67,
递延所得税负债增加(万元),,-2,-25,,-23,1,-7,-11,5,19,3,25,
存货的减少(万元),,-1460,-1767,,-2034,-1478,-4903,-729,2398,1970,-3247,-4160,
经营性应收项目的减少(万元),,-9476,-20802,,-11206,-5790,-4919,-664,2554,827,634,-1566,
经营性应付项目的增加(万元),,3971,9561,,8254,1707,3436,1436,-2638,103,3575,4423,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,
其他(万元),,,,,,946,,0,0,0,0,0,
经营活动产生现金流量净额(万元),,5175,15880,,10364,24200,12202,9228,13709,11304,8221,5697,
债务转为资本(万元),,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,
现金的期末余额(万元),15665,125776,11399,19190,16124,24591,14680,12088,7598,7625,6039,4036,
现金的期初余额(万元),11399,11399,24591,24591,24591,14680,6533,7598,7625,6039,4036,3922,
现金等价物的期末余额(万元),,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),4266,114377,-13193,-5402,-8467,9912,8147,4490,-28,1586,2003,114,

