报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),38838,25304,11428,59868,41158,26747,12140,67867,48953,23161,9637,56807,38123,25015,12408,70263,50772,33765,13892,75881,74680,50551,33446,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),656,570,316,1851,1514,1076,652,2019,1339,928,612,3029,2304,1626,806,4106,2930,1775,1067,3836,3066,1365,1221,
收到的其他与经营活动有关的现金(万元),1996,976,411,2865,1304,1849,426,2488,1897,1319,432,1450,723,572,371,803,586,388,292,1805,650,912,271,
经营活动现金流入小计(万元),41489,26850,12155,64584,43977,29673,13218,72373,52189,25408,10682,61286,41150,27213,13585,75172,54288,35928,15251,81521,78396,52827,34938,
购买商品、接受劳务支付的现金(万元),11585,6907,3146,23857,19488,14593,6556,29344,18039,11961,7934,17456,12464,6827,4666,17714,13223,8513,4239,25118,31562,19217,13950,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),11736,8027,4881,13856,10763,7734,4822,14584,11586,7598,4501,11982,9595,5972,3733,9389,7554,4938,3166,8599,7457,5286,3961,
支付的各项税费(万元),5885,4492,2466,7449,6053,3914,1805,9759,7022,5132,3376,15312,11978,8765,4216,15841,12205,8218,3293,13543,9223,6305,3580,
支付的其他与经营活动有关的现金(万元),5658,3835,1529,6860,3727,3768,1595,7442,5074,2820,1384,6671,4755,3272,1638,6923,5047,3046,1491,6993,7310,5338,3763,
经营活动现金流出小计(万元),34864,23262,12022,52022,40031,30010,14778,61129,41721,27511,17195,51421,38793,24837,14254,49866,38028,24715,12189,54253,55552,36146,25254,
经营活动产生的现金流量净额(万元),6625,3589,133,12562,3945,-337,-1561,11244,10468,-2104,-6513,9865,2357,2375,-669,25305,16260,11212,3061,27268,22845,16681,9684,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),1340,686,504,1141,881,504,208,246,246,246,101,99,,,,,,,,,,159,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),471,209,18,46,45,11,,171,145,145,134,34,,,,0,0,0,0,0,58,4192,14,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
