报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),707983,432605,995511,688935,803761,529334,408449,183807,347596,261837,200336,
客户存款和同业存放款项净增加额(万元),,,,,,,,0,,,,
向中央银行借款净增加额(万元,,,,,,,,0,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,0,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,0,,,,
收到再保险业务现金净额(万元),,,,,,,,0,,,,
保户储金及投资款净增加额(万元),,,,,,,,0,,,,
处置交易性金融资产净增加额(万元),,,,,,,,0,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,0,,,,
拆入资金净增加额(万元),,,,,,,,0,,,,
回购业务资金净增加额(万元),,,,,,,,0,,,,
收到的税费返还(万元),,,,,,,5718,916,10664,5615,3985,
收到的其他与经营活动有关的现金(万元),19387,16116,32772,23545,31147,38052,7153,4899,5340,3466,2369,
经营活动现金流入小计(万元),727370,448721,1028283,712480,834907,567386,421320,189621,363600,270918,206690,
购买商品、接受劳务支付的现金(万元),589032,373149,810237,568632,646859,419262,322054,135885,293572,252341,176627,
客户贷款及垫款净增加额(万元),,,,,,,,0,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,0,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,0,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,0,,,,
支付保单红利的现金(万元),,,,,,,,0,,,,
支付给职工以及为职工支付的现金(万元),21691,15277,25332,19451,18804,9395,8927,3735,3893,2476,1824,
支付的各项税费(万元),9745,6959,9158,6198,32642,24829,13586,11025,10502,7662,6187,
支付的其他与经营活动有关的现金(万元),9081,7657,9969,8945,13227,6742,10353,6034,6706,5186,1877,
经营活动现金流出小计(万元),629549,403041,854696,603225,711533,460228,354919,156679,314673,267665,186514,
经营活动产生的现金流量净额(万元),97821,45680,173586,109255,123374,107157,66401,32943,48927,3253,20176,
收回投资所收到的现金(万元),,,,,0,,,402910,732684,330640,403893,
取得投资收益所收到的现金(万元),5551,3560,6161,4499,4046,3155,2613,771,1667,1426,633,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,2,3,1,3158,3,,0,20810,6880,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,0,,,,
收到的其他与投资活动有关的现金(万元),1701311,1175719,1974387,1503776,1030331,253044,844931,0,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),1706864,1179281,1980551,1508276,1037535,256202,847544,403681,755161,338947,404526,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),50838,45415,52162,25600,183905,90743,24212,24022,31453,7823,15348,
投资所支付的现金(万元),36329,1000,,,2490,,,417189,787839,330940,404093,
质押贷款净增加额(万元),,,,,,,,0,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,0,,,,
支付的其他与投资活动有关的现金(万元),1700611,1175719,1974387,1503773,1017018,209846,853125,0,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,
投资活动现金流出小计(万元),1787778,1222134,2026549,1529373,1203413,300589,877338,441211,819292,338763,419441,
投资活动产生的现金流量净额(万元),-80914,-42853,-45997,-21097,-165878,-44387,-29794,-37530,-64131,183,-14915,
吸收投资收到的现金(万元),139646,,200,200,1250,71915,,0,6808,6000,3000,
其中：子公司吸收少数股东投资收到的现金(万元),,,200,200,1250,,,0,,,,
取得借款收到的现金(万元),80000,76000,46700,36700,69590,22960,9960,3000,15000,5600,10900,
发行债券收到的现金(万元),,,,,,,,0,,,,
收到其他与筹资活动有关的现金(万元),12000,12000,19635,19635,46765,11047,,0,,8097,1200,
筹资活动现金流入小计(万元),231646,88000,66535,56535,117605,105922,9960,3000,21808,19697,15100,
偿还债务支付的现金(万元),16280,7877,21092,15415,21600,9719,9511,7068,6255,6700,11100,
分配股利、利润或偿付利息所支付的现金(万元),26040,23266,15073,13545,10373,53150,809,1301,12554,698,654,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,0,,,,
支付其他与筹资活动有关的现金(万元),34374,25609,78192,56222,34585,15238,9733,0,100,,6097,
筹资活动现金流出小计(万元),76694,56751,114357,85183,66558,78106,20053,8369,18909,7398,17850,
筹资活动产生的现金流量净额(万元),154953,31249,-47822,-28648,51047,27816,-10093,-5369,2899,12299,-2750,
汇率变动对现金及现金等价物的影响(万元),-2,3,-3,0,,,,,,,-23,
现金及现金等价物净增加额(万元),171858,34078,79765,59511,8542,90586,26514,-9956,-12305,15736,2487,
加:期初现金及现金等价物余额(万元),227578,227578,147813,147813,139270,48684,22170,22149,34454,18718,16231,
期末现金及现金等价物余额(万元),399435,261656,227578,207324,147813,139270,48684,12193,22149,34454,18718,
净利润(万元),,25041,86182,,,,,7523,13426,5279,6237,
少数股东损益(万元),,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,
资产减值准备(万元),,,,,,,,424,213,246,38,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,16621,27873,,,,,2597,3052,1242,624,
无形资产摊销(万元),,12,23,,,,,,,,,
长期待摊费用摊销(万元),,18,37,,,,,243,487,487,,
待摊费用的减少(万元),,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,3,-3,,,,,,,,,
固定资产报废损失(万元),,,75,,,,,0,0,0,0,
公允价值变动损失(万元),,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,
财务费用(万元),,10440,17533,,,,,1589,2569,701,654,
投资损失(万元),,-3540,-6302,,,,,-571,-1177,-822,-38,
递延所得税资产减少(万元),,-58,-87,,,,,-79,-288,-285,-10,
递延所得税负债增加(万元),,1922,18630,,,,,,,,,
存货的减少(万元),,-1737,-216,,,,,-102,124,-1188,-629,
经营性应收项目的减少(万元),,6538,4473,,,,,-6748,-3954,-15753,393,
经营性应付项目的增加(万元),,-9858,25387,,,,,28066,34475,13347,12906,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,
其他(万元),,,,,,,,,,,,
经营活动产生现金流量净额(万元),,45680,173586,,,,,32943,48927,3253,20176,
债务转为资本(万元),,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,
融资租入固定资产(万元),,23154,,,,,,,29753,7350,,
现金的期末余额(万元),399435,261656,227578,207324,147813,139270,48684,12193,22149,34454,18718,
现金的期初余额(万元),227578,227578,147813,147813,139270,48684,22170,22149,34454,18718,16231,
现金等价物的期末余额(万元),,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,
现金及现金等价物的净增加额(万元),171858,34078,79765,59511,8542,90586,26514,-9956,-12305,15736,2487,

