报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),107104,88028,51388,149182,92772,63886,39377,105960,61197,38775,20304,104377,44703,36318,144919,154109,144924,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),3396,28,,2150,2159,2159,,2427,2427,,,1826,,,1284,915,883,
收到的其他与经营活动有关的现金(万元),16902,11549,2693,10104,7205,5587,4104,10406,7883,5230,3593,13642,8811,4690,17706,11682,12705,
经营活动现金流入小计(万元),127402,99605,54081,161436,102136,71632,43481,118794,71507,44005,23897,119845,53514,41007,163910,166705,158512,
购买商品、接受劳务支付的现金(万元),52260,38108,12601,72546,39396,28279,13836,48206,31833,21299,13372,50654,32660,21023,96334,104825,85449,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),34584,24260,15076,41379,31308,21866,13755,34986,27207,19738,12613,31160,23917,17151,29117,25728,19354,
支付的各项税费(万元),4794,3916,2826,3946,3490,2375,1964,5735,4631,3304,2791,5395,4381,3653,6576,6677,6213,
