报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,
销售商品、提供劳务收到的现金(万元),62456,38951,18532,92766,67024,42952,21534,87001,64497,43999,22110,80999,61050,66287,30544,61571,45933,29228,12870,55286,38992,23859,11276,51321,38387,24333,10890,51838,24771,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),414,,,17,,,,107,107,,,29,,,,33,0,,,295,295,,,22,22,22,,,,
收到的其他与经营活动有关的现金(万元),1308,860,316,1215,858,436,234,1076,763,393,252,1913,524,642,307,716,888,552,199,1111,1011,930,629,1445,447,1515,1477,181,70,
经营活动现金流入小计(万元),64178,39811,18848,93998,67882,43388,21768,88184,65366,44393,22362,82941,61574,66930,30851,62319,46822,29780,13068,56692,40299,24789,11905,52788,38856,25870,12367,52018,24841,
购买商品、接受劳务支付的现金(万元),42425,25554,14022,61072,49699,32839,18159,66786,50067,35091,17364,57611,42966,43443,19328,46560,33617,21042,10390,43682,30084,18961,9112,36240,27536,17131,8049,41488,20532,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
