报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),570540,300301,137951,733019,491463,237463,115674,580481,343619,130885,102680,384902,384563,441418,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),47773,33627,20091,45757,39328,25761,12653,40485,33789,20217,10343,34386,32534,27243,
收到的其他与经营活动有关的现金(万元),104248,59408,54091,227875,61886,61185,18960,69239,58640,63371,26696,60473,78430,120341,
经营活动现金流入小计(万元),722561,393336,212133,1006651,592678,324410,147287,690204,436048,214474,139719,479761,495527,589001,
购买商品、接受劳务支付的现金(万元),595622,291887,179664,719149,498879,256026,115291,578515,376235,170867,121656,395446,309061,379214,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),28097,21038,11701,37802,27302,18631,9484,35647,25972,17930,8301,32273,27200,22536,
支付的各项税费(万元),20991,16137,7691,16361,17828,14497,6458,16911,15920,10106,6000,11813,12481,12709,
支付的其他与经营活动有关的现金(万元),102912,56594,24776,217609,68978,58708,25105,64986,46498,47486,16015,81397,74095,90261,
经营活动现金流出小计(万元),747623,385656,223831,990922,612988,347863,156338,696060,464625,246389,151973,520930,422837,504721,
经营活动产生的现金流量净额(万元),-25061,7680,-11699,15730,-20310,-23453,-9051,-5855,-28576,-31916,-12254,-41168,72691,84280,
收回投资所收到的现金(万元),,,,,,,,793,,793,,,,15315,
取得投资收益所收到的现金(万元),354,204,22,455,184,318,238,1608,1769,582,1290,324,5189,538,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,1,,1645,1379,1432,,25,10,10,,273,53,233,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),121918,75200,13500,432405,40225,10155,10000,40317,37744,20017,7500,105791,131351,27502,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),122278,75406,13522,434504,41789,11904,10238,42744,39524,21403,8790,106388,136592,43588,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),26901,23246,5210,33739,6813,4426,6552,8347,6433,3869,2077,19509,8267,9121,
投资所支付的现金(万元),,,,,,,679,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),232063,180361,28652,426312,36639,36468,362,22799,12089,22210,10000,55475,147791,79274,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,
投资活动现金流出小计(万元),258965,203607,33862,460051,43452,40894,7593,31145,18523,26080,12077,74984,156059,88395,
投资活动产生的现金流量净额(万元),-136687,-128201,-20340,-25547,-1664,-28990,2645,11599,21001,-4677,-3287,31404,-19466,-44807,
吸收投资收到的现金(万元),150605,,,83725,80112,80112,,,,,,,30315,,
其中：子公司吸收少数股东投资收到的现金(万元),150605,,,904,,,,,,,,,,,
取得借款收到的现金(万元),501784,384516,197074,524208,419136,293844,189847,366412,329699,236295,117642,395415,378114,434930,
发行债券收到的现金(万元),,124648,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),21867,23292,17939,62744,100938,94404,75482,163182,146654,167818,73177,309766,325057,343119,
筹资活动现金流入小计(万元),674256,532456,215013,670676,600186,468360,265329,529594,476353,404113,190819,705181,733486,778049,
偿还债务支付的现金(万元),366644,257532,110646,523808,410708,275536,165527,356106,287077,211139,103630,305200,416368,483164,
分配股利、利润或偿付利息所支付的现金(万元),15545,14844,4258,19810,17325,12940,3728,23209,14992,15656,4495,11117,12858,13596,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),120256,103460,63859,96793,123573,92872,91282,172924,180566,169201,89721,347358,350358,320196,
筹资活动现金流出小计(万元),502445,375837,178762,640411,551607,381347,260537,552239,482635,395996,197847,663676,779585,816955,
筹资活动产生的现金流量净额(万元),171812,156619,36251,30265,48579,87012,4792,-22645,-6282,8117,-7028,41505,-46099,-38906,
汇率变动对现金及现金等价物的影响(万元),3275,485,-1108,-2648,2535,316,-1923,-5895,-3640,-873,-697,3588,4407,-1397,
现金及现金等价物净增加额(万元),13338,36583,3104,17801,29141,34885,-3537,-22797,-17497,-29348,-23265,35329,11533,-831,
加:期初现金及现金等价物余额(万元),60632,60632,60632,42832,42832,42832,42832,65629,65629,65629,65629,30300,18767,19598,
期末现金及现金等价物余额(万元),73970,97216,63737,60632,71972,77717,39295,42832,48132,36281,42364,65629,30300,18767,
净利润(万元),,11527,,28263,,10540,,27988,,9729,,33816,16451,9009,
少数股东损益(万元),,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,
资产减值准备(万元),,2303,,1347,,2360,,745,,1067,,-79,-864,793,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,12011,,23494,,10928,,20847,,10367,,18639,16926,14480,
无形资产摊销(万元),,246,,435,,145,,425,,210,,407,325,304,
