报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),25493,17671,11679,38415,29768,25687,11799,25719,19560,13152,15994,23747,3266,28380,26001,22065,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),539,461,287,26,,,,,31,,,,0,,,0,
收到的其他与经营活动有关的现金(万元),2747,2247,717,709,2059,1372,249,2395,1981,1766,549,139,24,2287,753,1262,
经营活动现金流入小计(万元),28779,20379,12683,39150,31827,27059,12048,28115,21572,14918,16543,23887,3290,30667,26754,23327,
购买商品、接受劳务支付的现金(万元),20730,11753,5630,28663,23993,17066,6734,19692,13313,7196,13314,16073,2847,10956,12359,12716,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6705,4957,2098,10429,7529,5003,2743,7790,5590,3616,1823,5711,1338,4246,3486,2087,
支付的各项税费(万元),1966,1467,1129,3133,2464,1864,793,2378,2262,1843,1430,4870,1391,3572,2910,2833,
支付的其他与经营活动有关的现金(万元),5346,3552,1896,2863,5201,3736,1598,2111,1937,981,1259,3023,970,3149,8876,2041,
经营活动现金流出小计(万元),34747,21729,10754,45089,39187,27669,11868,31970,23102,13636,17826,29676,6546,21923,27630,19677,
经营活动产生的现金流量净额(万元),-5969,-1350,1929,-5938,-7360,-610,180,-3855,-1530,1282,-1283,-5789,-3256,8745,-876,3650,
收回投资所收到的现金(万元),,,0,18700,31200,11200,7000,16900,11500,6500,5500,18000,8900,18000,5310,500,
取得投资收益所收到的现金(万元),,,0,132,0,,39,108,67,27,0,142,24,232,135,3,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),102,102,,31360,,,,,,,16,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),102,102,0,50192,31200,11200,7039,17008,11567,6527,5516,18142,8924,18232,5445,503,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),590,590,,1239,548,548,406,2442,2138,1928,399,244,66,1424,649,154,
