报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),44099,29922,19802,47638,26975,15131,8598,25108,17758,11558,5737,25612,16563,10942,6049,23647,16178,10165,19315,19266,18717,16587,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),1,0,,,14,,,,,,,,,,,10,10,,276,,,,
收到的其他与经营活动有关的现金(万元),9210,6106,6095,9616,7074,4178,1787,5368,3698,2315,1021,3697,2294,1594,936,2823,1948,1117,2342,2776,2709,2113,
经营活动现金流入小计(万元),53309,36028,25897,57255,34062,19309,10385,30476,21457,13873,6757,29310,18857,12536,6985,26479,18136,11283,21933,22042,21427,18699,
购买商品、接受劳务支付的现金(万元),20802,14645,10327,18333,11193,6232,3327,7449,5470,4008,2415,6388,4540,3236,1916,4701,3337,2205,3844,4472,4339,2315,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),19055,13900,8928,20478,14804,9824,5263,13768,10550,7177,4129,12323,9258,6289,3563,11172,8501,5638,9831,9669,7376,6095,
支付的各项税费(万元),4015,3339,2085,6624,5355,4374,1117,2743,2141,1481,788,2672,2088,1577,839,2343,1790,985,2298,3073,3639,2413,
支付的其他与经营活动有关的现金(万元),10998,7413,7221,11894,8621,5637,2948,6642,5009,2981,1044,4509,3176,2006,969,3649,2540,1763,3172,3153,4239,4064,
经营活动现金流出小计(万元),54870,39296,28561,57329,39974,26067,12655,30603,23170,15648,8377,25892,19061,13107,7286,21865,16168,10590,19145,20367,19594,14887,
经营活动产生的现金流量净额(万元),-1561,-3268,-2664,-75,-5911,-6758,-2271,-127,-1713,-1775,-1619,3418,-204,-572,-302,4614,1968,693,2788,1676,1833,3813,
收回投资所收到的现金(万元),9400,7400,1200,22100,19100,17300,10101,39500,18500,10000,,10000,,,,,,,,,,6,
取得投资收益所收到的现金(万元),104,80,13,251,217,194,41,348,269,174,,29,,,,,,,,,,7,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),13,7,3,23,21,15,13,7,5,4,0,47,43,17,8,11,6,0,28,23,13,12,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,500,500,500,3993,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),9518,7487,1215,22874,19838,18008,14147,39855,18774,10178,0,10076,43,17,8,11,6,0,28,23,13,25,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1624,668,369,2667,2170,1693,744,3630,2727,1569,824,4994,3926,3152,1515,3469,2354,1813,1408,1520,1947,704,
投资所支付的现金(万元),7336,7051,3455,13756,10655,7300,32400,39500,18500,8500,,21500,,,,,,,,15,178,600,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,28586,28568,23407,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,500,,,,,,,,,,,,,,72,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),8959,7719,3824,45010,41392,32400,33144,43630,21227,10069,824,26494,3926,3152,1515,3469,2354,1813,1408,1535,2125,1376,
投资活动产生的现金流量净额(万元),558,-232,-2608,-22135,-21554,-14392,-18997,-3775,-2453,108,-824,-16418,-3883,-3134,-1508,-3458,-2348,-1813,-1380,-1511,-2112,-1351,
吸收投资收到的现金(万元),1138,,,4050,4050,4050,4050,445,347,347,147,23480,22614,23480,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),1138,,,,,,,445,347,347,147,,,,,,,,,,,,
取得借款收到的现金(万元),4350,3150,1950,27000,25800,18000,17200,,,,,1222,1222,1222,1056,2178,940,534,1370,,1500,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),0,,1,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),5488,3150,1951,31050,29850,22050,21250,445,347,347,147,24702,23836,24702,1056,2178,940,534,1370,0,1500,0,
偿还债务支付的现金(万元),5969,2166,1403,2228,515,3,3,48,29,19,10,3438,130,119,110,1418,1118,1109,66,263,1664,141,
分配股利、利润或偿付利息所支付的现金(万元),2309,1894,316,2530,2186,1837,20,882,881,881,1,449,403,95,44,700,628,430,404,410,1970,401,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,94,
支付其他与筹资活动有关的现金(万元),281,60,60,230,230,200,,,,,,1213,182,,,,,,,,,,
筹资活动现金流出小计(万元),8558,4120,1779,4987,2931,2040,23,930,910,900,10,5100,715,215,154,2118,1747,1538,470,672,3634,542,
筹资活动产生的现金流量净额(万元),-3070,-970,172,26063,26919,20010,21227,-485,-563,-553,137,19602,23121,24488,903,60,-807,-1004,900,-672,-2134,-542,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-4073,-4470,-5100,3853,-547,-1140,-41,-4386,-4730,-2220,-2307,6602,19034,20782,-907,1216,-1187,-2124,2308,-508,-2413,1920,
加:期初现金及现金等价物余额(万元),11426,11426,11667,7573,7573,7573,7573,11959,12063,11959,11959,5358,5358,5358,5358,4142,4142,4142,1834,2342,4755,2835,
期末现金及现金等价物余额(万元),7353,6956,6567,11426,7026,6434,7533,7573,7334,9740,9653,11959,24392,26140,4451,5358,2955,2018,4142,1834,2342,4755,
净利润(万元),,1561,,6803,,547,,6114,,2894,,5784,,2644,1270,5309,,2423,4930,4763,4305,3511,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,976,,3707,,915,,1928,,700,,1155,,529,166,902,,334,544,276,59,318,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,807,,1481,,677,,1099,,532,,792,,341,171,711,,353,692,685,598,541,
无形资产摊销(万元),,98,,197,,90,,68,,30,,57,,28,14,54,,26,50,42,31,29,
长期待摊费用摊销(万元),,442,,754,,322,,594,,294,,512,,244,119,438,,183,369,358,370,204,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,2,,-5,,-7,,-3,,3,,-23,,-7,1,10,,11,-3,-3,-10,-2,
固定资产报废损失(万元),,22,,7,,2,,8,,,,,,,,,,,,0,4,2,
公允价值变动损失(万元),,-12,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,644,,874,,267,,2,,1,,78,,10,5,66,,52,32,21,104,41,
投资损失(万元),,-71,,-239,,-190,,-371,,-174,,-29,,,,,,,,,,-12,
递延所得税资产减少(万元),,-285,,-909,,-295,,-443,,-171,,-211,,-96,-31,-173,,-76,-112,46,-14,-89,
递延所得税负债增加(万元),,-9,,-12,,-3,,,,,,,,,,,,,,,,,
存货的减少(万元),,320,,-2369,,105,,-134,,-24,,-270,,-111,-219,-100,,-1,511,130,-582,-135,
经营性应收项目的减少(万元),,-839,,-15354,,-4313,,-11070,,-5011,,-6166,,-4251,-574,-4337,,-2945,-4604,-3109,-1938,-1706,
经营性应付项目的增加(万元),,-7404,,3831,,-5456,,2083,,-848,,1739,,96,-1225,1732,,333,379,-1534,-1096,1110,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,480,,1159,,580,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-3268,,-75,,-6758,,-127,,-1775,,3418,,-572,-302,4614,,693,2788,1676,1833,3813,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),7353,6956,6567,11426,7026,6434,7533,7573,7334,9740,9653,11959,24392,26140,4451,5358,2955,2018,4142,1834,2342,4755,
现金的期初余额(万元),11426,11426,11667,7573,7573,7573,7573,11959,12063,11959,11959,5358,5358,5358,5358,4142,4142,4142,1834,2342,4755,2835,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-4073,-4470,-5100,3853,-547,-1140,-41,-4386,-4730,-2220,-2307,6602,19034,20782,-907,1216,-1187,-2124,2308,-508,-2413,1920,

