报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
销售商品、提供劳务收到的现金(万元),290721,156992,46154,548909,291428,168190,61701,431868,124359,408057,125578,377073,108788,371820,118780,278355,85162,250071,77812,185082,57080,136233,39032,99206,27416,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),828,573,45,2488,674,522,401,1969,376,1696,696,1425,2079,1155,421,1432,734,695,152,1259,425,855,425,1330,482,
收到的其他与经营活动有关的现金(万元),4688,1358,1335,2327,6744,3190,1922,4181,1780,8863,6102,4456,2120,1939,794,3554,407,4978,366,3723,1569,2164,1089,809,684,
经营活动现金流入小计(万元),296237,158923,47534,553723,298846,171902,64024,438018,126515,418616,132376,382954,112987,374914,119994,283340,86303,255744,78330,190064,59074,139253,40546,101345,28583,
购买商品、接受劳务支付的现金(万元),152670,98202,52248,244351,175588,105998,67389,210764,99731,219622,100875,227379,104061,229082,101549,162514,77599,135943,63696,118970,45266,87214,31980,59996,23022,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),196067,135227,77387,211413,154023,105254,56744,168828,84156,132823,64048,105884,53472,87434,43784,73093,38070,57226,26755,38955,18062,26743,13495,21646,11376,
支付的各项税费(万元),17963,12455,5837,26751,18576,10417,7038,20496,8344,16894,7215,16300,6968,14526,5633,12185,5246,10133,3918,7423,3163,6533,2912,4450,2177,
支付的其他与经营活动有关的现金(万元),9936,10939,5337,14557,18419,8297,7065,12806,7137,8229,9296,7374,5338,15658,14043,18746,2554,22323,5408,13080,2477,8311,1439,5358,668,
经营活动现金流出小计(万元),376637,256823,140809,497071,366607,229966,138236,412894,199368,377567,181434,356938,169838,346698,165009,266538,123469,225625,99777,178428,68968,128801,49826,91450,37243,
经营活动产生的现金流量净额(万元),-80399,-97900,-93275,56652,-67761,-58064,-74212,25124,-72853,41049,-49058,26017,-56851,28216,-45015,16801,-37166,30119,-21447,11636,-9894,10452,-9279,9895,-8660,
收回投资所收到的现金(万元),,,,,,,,,,,,44,,,,,,,,54,,50,,100,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,18,,,,,,2,,2,,27,,28,28,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),42,54,42,25,25,36,8,69,47,3,3,41,,34,34,45,30,11,,32,33,21,21,39,18,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,54,,,,,,,,,0,,50,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,697,875,618,683,412,543,466,444,263,338,189,175,121,91,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),42,54,42,25,25,36,8,69,47,3,700,977,672,717,446,588,495,457,263,427,221,273,142,309,45,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1490,1027,478,2121,1366,1316,463,6127,1505,2370,675,1492,550,1382,604,1763,702,1622,1099,1031,484,1762,289,283,149,
投资所支付的现金(万元),24,24,,260,200,200,50,1363,50,160,,,,,,,,,,100,,100,100,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),1514,1051,478,2381,1566,1516,513,7489,1555,2530,675,1492,550,1382,604,1763,702,1622,1099,1131,484,1862,389,283,149,
投资活动产生的现金流量净额(万元),-1472,-997,-436,-2355,-1541,-1480,-506,-7420,-1508,-2527,25,-514,123,-666,-158,-1174,-207,-1165,-836,-704,-262,-1589,-247,25,-103,
吸收投资收到的现金(万元),62867,,,,,,,,,,,,,,,,,7200,7200,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,0,,1000,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,0,,,,,,0,,,,,
筹资活动现金流入小计(万元),62867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,7200,0,0,0,0,1000,0,
偿还债务支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,0,,1000,,
分配股利、利润或偿付利息所支付的现金(万元),15258,15260,15258,13351,13351,13351,,11444,11444,7630,7629,4238,4238,6358,,5298,5298,4636,0,3373,3373,2812,2811,2256,2250,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,4,9,3,5,2,4,1,2,,
筹资活动现金流出小计(万元),15258,15260,15258,13351,13351,13351,0,11444,11444,7630,7629,4238,4238,6358,0,5298,5302,4645,4,3378,3374,2815,2812,3258,2250,
筹资活动产生的现金流量净额(万元),47609,-15260,-15258,-13351,-13351,-13351,0,-11444,-11444,-7630,-7629,-4238,-4238,-6358,0,-5298,-5302,2555,7196,-3378,-3374,-2815,-2812,-2258,-2250,
