报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),110593,68822,158803,113778,76514,153333,127332,106204,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),49,10,20,15,6,0,,,
收到的其他与经营活动有关的现金(万元),1495,885,4520,2812,1585,2764,1248,1251,
经营活动现金流入小计(万元),112137,69716,163343,116606,78105,156098,128580,107456,
购买商品、接受劳务支付的现金(万元),66192,40817,93598,68288,39246,88588,65314,55588,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),16079,10416,22717,16201,11421,22814,20443,17466,
支付的各项税费(万元),5016,3209,8534,7250,4534,16232,11967,10528,
支付的其他与经营活动有关的现金(万元),6345,3094,8362,2946,3851,7645,7613,7144,
经营活动现金流出小计(万元),93633,57537,133211,94685,59052,135279,105337,90726,
经营活动产生的现金流量净额(万元),18504,12179,30132,21920,19053,20819,23243,16729,
收回投资所收到的现金(万元),,,1711,1000,,,,,
取得投资收益所收到的现金(万元),1038,1038,1038,1038,1038,865,519,346,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),23,37,90,39,24,280,379,27,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,277,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),1060,1074,2838,2077,1062,1422,898,373,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),12651,8623,17109,12021,10003,12656,15157,10159,
投资所支付的现金(万元),,,,,,,,1432,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,559,271,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),12651,8623,17109,12021,10003,12656,15716,11862,
投资活动产生的现金流量净额(万元),-11591,-7548,-14271,-9944,-8941,-11234,-14818,-11489,
吸收投资收到的现金(万元),38187,,,,,1500,889,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),13200,7450,16925,13725,5400,27081,28947,19550,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,4425,1293,
筹资活动现金流入小计(万元),51387,7450,16925,13725,5400,28581,34261,20843,
偿还债务支付的现金(万元),13525,5400,22363,15193,6193,32645,20570,17500,
分配股利、利润或偿付利息所支付的现金(万元),2750,2515,3116,2889,2286,2626,13081,1548,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),158,85,255,236,,45,4943,7908,
筹资活动现金流出小计(万元),16433,7999,25734,18318,8479,35317,38594,26956,
筹资活动产生的现金流量净额(万元),34955,-549,-8809,-4593,-3079,-6736,-4333,-6113,
汇率变动对现金及现金等价物的影响(万元),-6,,,,,,,,
现金及现金等价物净增加额(万元),41861,4082,7052,7383,7033,2849,4092,-873,
加:期初现金及现金等价物余额(万元),16982,16982,9929,10579,9929,7080,2988,3861,
期末现金及现金等价物余额(万元),58843,21063,16982,17962,16962,9929,7080,2988,
净利润(万元),,4707,20551,,,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,1762,1000,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,4131,7157,,,,,,
无形资产摊销(万元),,252,409,,,,,,
长期待摊费用摊销(万元),,520,1162,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-0,1,,,,,,
固定资产报废损失(万元),,,55,,,,,,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,414,1012,,,,,,
投资损失(万元),,-1105,-4024,,,,,,
递延所得税资产减少(万元),,-118,-140,,,,,,
递延所得税负债增加(万元),,-67,484,,,,,,
存货的减少(万元),,-4041,-821,,,,,,
经营性应收项目的减少(万元),,7199,1392,,,,,,
经营性应付项目的增加(万元),,-1006,2117,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,-106,-53,,,,,,
经营活动产生现金流量净额(万元),,12179,30132,,,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),58843,21063,16982,17962,16962,9929,7080,2988,
现金的期初余额(万元),16982,16982,9929,10579,9929,7080,2988,3861,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),41861,4082,7052,7383,7033,2849,4092,-873,

