报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,
货币资金(万元),748080,790514,775737,521102,563908,632913,656009,625827,626755,810446,722010,716968,864139,903998,880743,914429,1757408,1636943,517770,279916,218486,,215099,,331184,278112,
结算备付金(万元),186225,177523,226071,173956,144036,174970,158988,212050,135318,162261,161764,188444,169569,140945,171866,233474,305793,337392,123648,67685,93343,,62144,,37787,62479,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),1547439,1505767,1813364,1217129,1158626,1050920,907631,849720,731643,718137,787435,659290,956228,942707,817500,761712,1171652,726444,624043,815156,425567,,406353,,389303,537615,
衍生金融资产(万元),,,,,,,,,1633,39,92,271,821,916,1006,1350,2576,3109,3474,3022,3016,,982,,3683,16170,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),28589,31554,25624,28885,48098,32248,48098,47777,67969,43858,38841,34119,41390,30603,31261,24432,29088,34197,18789,9568,7948,,,,2268,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,40325,39765,39286,40829,37829,36280,30813,37820,35451,39021,28220,27680,35343,34143,21412,19904,15819,11220,,10057,,9909,10516,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),19157,18455,14432,8893,11853,15068,14046,14321,14565,13607,14392,40577,41467,11594,12149,35910,47468,43930,21438,7990,5435,,5238,,5256,7491,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),172269,251935,297921,474003,414840,505101,687181,455981,466968,540212,601019,578036,495055,489464,679180,577926,432108,285391,163303,31485,69836,,115047,,80813,26539,
存货(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,299420,355945,344604,381913,407950,415542,373020,397671,388345,377723,185660,149159,116560,130718,128055,89927,155482,99072,,121833,,100269,89813,
持有至到期投资(万元),,,,,,,,,,,,,,,,,25000,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),144615,141870,142331,144117,119541,117680,117784,114515,110097,111838,109560,97715,62911,57495,65036,61923,54384,155964,48594,40958,40126,,42423,,37279,28157,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
