报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),42205,47076,75498,91552,22710,78412,52920,88952,43619,85870,28662,29408,21779,16588,19429,13452,10802,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),34000,37200,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),3266,1579,1239,3385,1233,3033,1412,1205,1251,815,1421,2405,1556,594,711,380,2517,
应收账款(万元),46558,47009,42846,43617,43055,43259,40182,38424,39503,37761,31515,31077,28497,27001,26023,21470,18398,
预付款项(万元),822,715,956,413,962,506,498,236,515,658,349,255,537,676,515,598,421,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),433,282,178,,,77,88,,,,,78,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,1551,,989,1629,1343,1269,973,1411,1086,1514,1464,1380,931,656,678,631,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),14732,14397,13666,13651,14851,14239,13790,13962,13783,12667,11938,11833,11470,12525,12049,9802,11329,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,
其他流动资产(万元),258,336,17810,246,62638,8404,34058,163,40390,234,228,221,156,178,156,,,
流动资产合计(万元),143868,150144,153629,153853,147078,149272,144216,143914,140472,139091,75627,76740,65375,58492,59539,46381,44098,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),3303,3377,3259,3279,3190,200,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,
固定资产原值(万元),,33257,,30377,,29574,,29371,,28975,28688,28625,26923,,,,,
累计折旧(万元),,13815,,12881,,11966,,11074,,10235,9761,9268,7409,,,,,
固定资产净值(万元),,19442,,17495,,17608,,18296,,18739,18927,19357,19514,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,19442,,17495,17307,17608,17918,18296,18471,18739,18927,19357,19514,16310,16157,13859,14511,
在建工程(万元),,221,,2363,2436,2132,1790,1476,1667,983,884,36,17,2608,2701,3427,805,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),3602,3535,3495,3524,3552,3580,3609,3637,3666,3694,3701,3717,3799,3877,3883,3920,4010,
开发支出(万元),,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,
长期待摊费用(万元),39,,,,,,,,,,,,,10,12,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1264,1225,1189,1204,1188,1154,1184,1203,1280,1228,1178,1159,1017,1002,858,536,301,
其他非流动资产(万元),352,638,441,293,455,307,232,229,167,154,75,83,268,29,35,88,178,
非流动资产合计(万元),30134,28437,27989,28158,28128,24981,24733,24841,25251,24798,24764,24352,24614,23837,23646,21830,19804,
资产总计(万元),174002,178581,181619,182011,175205,174253,168949,168756,165723,163889,100391,101092,89990,82329,83185,68211,63903,
短期借款(万元),,,,,,,,,,,,,,,,,1000,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,
应付账款(万元),19054,18618,,20771,,19074,16957,19821,19013,18812,17106,18399,17049,16032,16826,11348,13844,
预收账款(万元),1771,2114,2525,2314,2348,2283,1857,1338,2005,1902,2267,2032,1461,2413,2756,2009,1862,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),501,518,654,1829,670,857,702,1266,816,1027,647,1202,958,480,861,428,200,
应交税费(万元),884,1181,1289,1043,556,1166,1151,659,838,1266,1204,1115,1852,2698,3308,2250,2561,
应付利息(万元),,,,,,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,51,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,
其他应付款(万元),,692,,809,610,566,580,565,608,775,572,691,807,684,860,917,533,
预提费用(万元),,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,
流动负债合计(万元),23261,23124,23958,26765,22879,23946,21248,23649,23280,23783,21846,23440,22127,22308,24610,16952,20000,
长期借款(万元),,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,
长期递延收益(万元),4375,4531,4686,4842,5275,5438,5601,5465,5631,5783,5935,6087,6532,6936,7036,6703,7169,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,
非流动负债合计(万元),4375,4531,4686,4842,5275,5438,5601,5465,5631,5783,5935,6087,6532,6936,7036,6703,7169,
负债合计(万元),27637,27655,28644,31607,28154,29384,26849,29114,28911,29566,27781,29527,28660,29245,31646,23655,27169,
实收资本(或股本)(万元),19311,19311,19311,19311,19311,19311,13793,13793,13793,13793,10293,10293,10293,10293,10293,7569,7269,
资本公积(万元),70866,70866,70866,70866,70850,70866,76384,76384,76384,76384,22616,22616,22616,22616,22616,24584,22484,
减:库存股(万元),10505,3031,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,
盈余公积(万元),7734,7734,7734,7734,6417,6400,6400,6400,5146,5146,5146,5146,4016,2891,2891,1991,1336,
一般风险准备(万元),,,,,,,,,,,,,,,,,,
